timestep,t,sor_iters,residual
1,0.005000,100,2.180361e+01
2,0.012500,100,1.079846e+01
3,0.018750,100,1.129498e+01
4,0.025000,100,5.904265e+00
5,0.031250,100,1.039271e+00
6,0.037500,100,2.345261e+00
7,0.043750,100,4.497716e+00
8,0.050000,100,6.177415e+00
9,0.056250,100,7.092316e+00
10,0.062500,100,7.148343e+00
11,0.068750,100,6.436584e+00
12,0.075000,100,5.125991e+00
13,0.081250,100,3.428921e+00
14,0.087500,100,1.577083e+00
15,0.093750,100,2.117586e-01
16,0.100000,100,1.738569e+00
17,0.106250,100,2.875601e+00
18,0.112500,100,3.542528e+00
19,0.118750,100,3.722941e+00
20,0.125000,100,3.456301e+00
21,0.131250,100,2.826861e+00
22,0.137500,100,1.948953e+00
23,0.143750,100,9.506931e-01
24,0.150000,50,4.198476e-02
25,0.156250,100,9.186693e-01
26,0.162500,100,1.595569e+00
27,0.168750,100,2.020963e+00
28,0.175000,100,2.177410e+00
29,0.181250,100,2.079500e+00
30,0.187500,100,1.768367e+00
31,0.193750,100,1.303924e+00
32,0.200000,100,7.559455e-01
33,0.206250,92,1.952310e-01
34,0.212500,100,3.152564e-01
35,0.218750,100,7.242074e-01
36,0.225000,100,9.990434e-01
37,0.231250,100,1.125509e+00
38,0.237500,100,1.107574e+00
39,0.243750,100,9.647655e-01
40,0.250000,100,7.281299e-01
41,0.256250,100,4.353959e-01
42,0.262500,86,1.259806e-01
43,0.268750,90,1.636010e-01
44,0.275000,100,4.034156e-01
45,0.281250,100,5.726890e-01
46,0.287500,100,6.609837e-01
47,0.293750,100,6.681254e-01
48,0.300000,100,6.029850e-01
49,0.306250,100,4.814052e-01
50,0.312500,100,3.236004e-01
51,0.318750,88,1.513877e-01
52,0.325000,34,1.472386e-02
53,0.331250,90,1.563776e-01
54,0.337500,100,2.614682e-01
55,0.343750,100,3.226018e-01
56,0.350000,100,3.383345e-01
57,0.356250,100,3.124416e-01
58,0.362500,100,2.528677e-01
59,0.368750,90,1.703416e-01
60,0.375000,64,7.685134e-02
61,0.381250,35,1.583757e-02
62,0.387500,69,9.748181e-02
63,0.393750,90,1.602777e-01
64,0.400000,94,1.994691e-01
65,0.406250,95,2.134926e-01
66,0.412500,94,2.037757e-01
67,0.418750,91,1.742134e-01
68,0.425000,86,1.304387e-01
69,0.431250,64,7.898944e-02
70,0.437500,43,2.646523e-02
71,0.443750,40,2.118575e-02
72,0.450000,60,5.930943e-02
73,0.456250,66,8.483966e-02
74,0.462500,69,9.648792e-02
75,0.468750,69,9.466159e-02
76,0.475000,65,8.121493e-02
77,0.481250,60,5.906143e-02
78,0.487500,46,3.174132e-02
79,0.493750,4,1.900215e-03
80,0.500000,41,2.372457e-02
81,0.506250,50,4.584214e-02
82,0.512500,61,6.136077e-02
83,0.518750,63,6.932745e-02
84,0.525000,63,6.974160e-02
85,0.531250,62,6.344294e-02
86,0.537500,59,5.191675e-02
87,0.543750,48,3.704952e-02
88,0.550000,39,2.087694e-02
89,0.556250,10,4.589900e-03
90,0.562500,30,7.835327e-03
91,0.568750,36,1.771015e-02
92,0.575000,41,2.346272e-02
93,0.581250,42,2.498422e-02
94,0.587500,40,2.263374e-02
95,0.593750,36,1.715797e-02
96,0.600000,13,8.769678e-03
97,0.606250,1,9.349789e-04
98,0.612500,29,7.328044e-03
99,0.618750,34,1.475532e-02
100,0.625000,39,2.049196e-02
101,0.631250,41,2.406228e-02
102,0.637500,42,2.531240e-02
103,0.643750,42,2.436707e-02
104,0.650000,40,2.158000e-02
105,0.656250,36,1.746928e-02
106,0.662500,33,1.264084e-02
107,0.668750,10,6.939099e-03
108,0.675000,4,2.875634e-03
109,0.681250,1,9.837475e-04
110,0.687500,2,1.787119e-03
111,0.693750,9,3.422779e-03
112,0.700000,10,3.490340e-03
113,0.706250,4,2.659163e-03
114,0.712500,1,9.975364e-04
115,0.718750,0,9.641117e-04
116,0.725000,26,3.684503e-03
117,0.731250,8,5.212290e-03
118,0.737500,11,7.326591e-03
119,0.743750,32,9.832959e-03
120,0.750000,33,1.085123e-02
121,0.756250,15,1.025884e-02
122,0.762500,33,1.070563e-02
123,0.768750,13,8.908832e-03
124,0.775000,12,7.616593e-03
125,0.781250,9,6.102762e-03
126,0.787500,27,5.356068e-03
127,0.793750,9,3.451917e-03
128,0.800000,1,1.182257e-03
129,0.806250,1,9.667027e-04
130,0.812500,1,9.803174e-04
131,0.818750,0,1.025724e-03
132,0.825000,2,1.682053e-03
133,0.831250,3,2.072660e-03
134,0.837500,27,4.107872e-03
135,0.843750,27,4.825797e-03
136,0.850000,27,5.383639e-03
