timestep,t,sor_iters,residual
1,0.050000,61,1.544300e+00
2,0.067816,40,1.513491e-01
3,0.101765,57,9.385461e-01
4,0.136104,54,6.281209e-01
5,0.170397,38,1.181193e-01
6,0.204395,40,1.419876e-01
7,0.238878,40,1.465895e-01
8,0.274375,30,5.469290e-02
9,0.310953,19,1.297266e-02
10,0.348396,27,2.879903e-02
11,0.386447,23,1.617490e-02
12,0.424943,2,9.391374e-04
13,0.463843,16,4.482826e-03
14,0.503171,15,4.172499e-03
15,0.542960,2,9.835128e-04
16,0.583246,1,9.986476e-04
17,0.623863,2,9.888513e-04
18,0.664415,2,9.800021e-04
19,0.705202,2,9.679969e-04
20,0.746270,2,9.207066e-04
21,0.787620,1,9.905570e-04
22,0.829256,2,9.734671e-04
23,0.871175,2,9.035467e-04
24,0.913372,2,9.489191e-04
25,0.955846,2,8.995529e-04
26,0.998601,2,8.843550e-04
27,1.041649,2,9.260311e-04
28,1.084661,2,9.247585e-04
29,1.127603,2,8.560478e-04
30,1.170592,2,9.200362e-04
31,1.213654,2,9.229456e-04
32,1.256820,2,9.259737e-04
33,1.300117,2,9.925029e-04
34,1.343573,2,9.230029e-04
35,1.387203,2,9.227523e-04
36,1.431010,1,9.832617e-04
37,1.474900,1,9.881206e-04
38,1.518564,2,8.790769e-04
39,1.562220,2,9.803141e-04
40,1.605896,2,9.395112e-04
41,1.649620,2,9.398084e-04
42,1.693428,2,9.634004e-04
43,1.737362,2,8.776784e-04
44,1.781464,1,9.502119e-04
45,1.825776,2,8.617315e-04
46,1.869859,2,9.969662e-04
47,1.913887,2,9.815894e-04
48,1.957875,1,9.677645e-04
49,2.001850,2,9.883229e-04
50,2.045854,2,9.936791e-04
51,2.089909,2,9.931086e-04
52,2.134034,2,9.512498e-04
53,2.178134,1,9.983070e-04
54,2.222092,2,9.070470e-04
55,2.266037,2,9.590392e-04
56,2.309992,1,9.926878e-04
57,2.353978,1,9.808079e-04
58,2.398014,2,9.088377e-04
59,2.442117,1,9.680736e-04
60,2.486297,2,9.882924e-04
61,2.530476,1,9.360378e-04
62,2.574561,2,8.699751e-04
63,2.618652,1,9.986742e-04
64,2.662761,2,9.570440e-04
65,2.706899,2,9.961429e-04
66,2.751074,2,9.800410e-04
67,2.795295,2,9.712971e-04
68,2.839568,2,9.891608e-04
69,2.883896,2,9.758129e-04
70,2.928276,1,9.961390e-04
71,2.972570,2,9.816426e-04
72,3.016865,1,9.914871e-04
73,3.061167,2,9.762973e-04
74,3.105481,1,9.998459e-04
75,3.149810,1,9.967926e-04
76,3.194156,2,9.642936e-04
77,3.238518,1,9.924159e-04
78,3.282898,1,9.869317e-04
79,3.327294,1,9.875461e-04
80,3.371709,2,9.544795e-04
81,3.416141,1,9.816300e-04
82,3.460591,2,9.883564e-04
83,3.504985,1,9.910635e-04
84,3.549355,1,9.782790e-04
85,3.593710,1,9.724391e-04
86,3.638054,2,8.778160e-04
87,3.682390,1,9.717642e-04
88,3.726722,2,9.899052e-04
89,3.771055,1,9.759793e-04
90,3.815393,2,8.841317e-04
91,3.859739,1,9.987471e-04
92,3.904097,1,9.772319e-04
93,3.948470,1,9.963614e-04
94,3.992861,2,8.849631e-04
95,4.037242,1,9.816254e-04
96,4.081583,1,9.981477e-04
97,4.125915,2,9.753571e-04
98,4.170241,1,9.879702e-04
99,4.214565,1,9.719109e-04
100,4.258891,1,9.890372e-04
101,4.303221,2,9.502648e-04
102,4.347559,2,8.762896e-04
103,4.391907,2,9.504234e-04
104,4.436268,2,9.086924e-04
105,4.480643,2,9.958036e-04
106,4.525034,2,8.608539e-04
107,4.569442,2,9.167567e-04
108,4.613858,2,9.984770e-04
109,4.658242,1,9.753477e-04
110,4.702622,1,9.995562e-04
111,4.746998,1,9.942497e-04
112,4.791371,2,9.966702e-04
113,4.835744,1,9.696699e-04
114,4.880115,2,8.473896e-04
115,4.924487,1,9.625921e-04
116,4.968860,1,9.607346e-04
117,5.013235,2,9.937987e-04
118,5.057613,2,8.848367e-04
119,5.101996,1,9.756584e-04
120,5.146384,2,9.815499e-04
121,5.190779,2,9.816234e-04
122,5.235181,2,8.744692e-04
123,5.279593,2,8.424469e-04
124,5.324014,1,9.629170e-04
125,5.368421,2,9.952852e-04
126,5.412814,2,9.341909e-04
127,5.457200,1,9.916111e-04
128,5.501584,2,9.823309e-04
129,5.545964,2,9.904551e-04
130,5.590343,1,9.971998e-04
131,5.634720,2,8.525956e-04
132,5.679098,2,8.855226e-04
133,5.723476,2,9.362060e-04
134,5.767857,2,9.700579e-04
135,5.812239,2,8.510766e-04
136,5.856624,2,9.097547e-04
137,5.901013,2,8.854847e-04
138,5.945407,2,9.201228e-04
139,5.989807,1,9.373078e-04
140,6.034212,2,9.241285e-04
141,6.078625,1,9.768144e-04
142,6.123046,1,9.770297e-04
143,6.167475,1,9.760361e-04
144,6.211887,2,9.478658e-04
145,6.256295,2,8.695447e-04
146,6.300699,1,9.468889e-04
147,6.345101,2,9.314109e-04
148,6.389502,1,9.875451e-04
149,6.433902,2,8.622774e-04
150,6.478302,1,9.706843e-04
151,6.522704,1,9.335008e-04
152,6.567107,2,9.954163e-04
153,6.611514,1,9.755755e-04
154,6.655923,2,9.091614e-04
155,6.700337,2,8.837911e-04
156,6.744754,1,9.678654e-04
157,6.789175,1,9.597673e-04
158,6.833600,1,9.780683e-04
159,6.878031,1,9.426167e-04
160,6.922467,1,9.401736e-04
161,6.966908,2,9.167202e-04
162,7.011356,2,9.296047e-04
163,7.055809,2,9.128998e-04
164,7.100270,2,9.601403e-04
165,7.144733,1,9.599171e-04
166,7.189185,1,9.611150e-04
167,7.233634,2,9.519682e-04
168,7.278084,1,9.673966e-04
169,7.322531,1,9.990296e-04
170,7.366979,1,9.740849e-04
171,7.411429,1,9.447527e-04
172,7.455879,2,9.827193e-04
173,7.500333,2,9.839889e-04
174,7.544789,2,8.984137e-04
175,7.589249,2,8.427936e-04
176,7.633713,1,9.567409e-04
177,7.678180,1,9.990025e-04
178,7.722652,2,9.634156e-04
179,7.767129,1,9.049332e-04
180,7.811611,1,9.419543e-04
181,7.856098,1,9.571877e-04
182,7.900590,2,9.679731e-04
183,7.945089,1,9.286479e-04
184,7.989592,1,9.604564e-04
185,8.034101,2,9.348093e-04
186,8.078617,1,9.860488e-04
187,8.123137,1,9.752722e-04
188,8.167664,1,9.895629e-04
189,8.212197,1,9.407639e-04
190,8.256728,2,9.007691e-04
191,8.301255,1,9.483033e-04
192,8.345781,1,9.790783e-04
