timestep,t,sor_iters,residual
1,0.050000,136,9.711184e-04
2,0.186292,130,9.906601e-04
3,0.273811,102,9.174468e-04
4,0.361683,90,9.876140e-04
5,0.442914,82,9.613071e-04
6,0.518761,70,9.538418e-04
7,0.591343,58,9.659836e-04
8,0.661157,57,9.763916e-04
9,0.728582,42,9.619506e-04
10,0.793920,46,9.783437e-04
11,0.857416,46,9.902395e-04
12,0.919271,53,9.769068e-04
13,0.979657,44,9.905218e-04
14,1.038718,46,9.884985e-04
15,1.096577,43,9.954759e-04
16,1.153343,42,9.817383e-04
17,1.209109,41,9.980417e-04
18,1.263957,41,9.806587e-04
19,1.317961,41,9.864082e-04
20,1.371186,42,9.483601e-04
21,1.423689,42,9.571377e-04
22,1.475523,42,9.885106e-04
23,1.526735,43,9.594837e-04
24,1.577369,43,9.655685e-04
25,1.627463,43,9.855129e-04
26,1.677053,44,9.561922e-04
27,1.726173,43,9.927360e-04
28,1.774853,44,9.828065e-04
29,1.823120,44,9.719487e-04
30,1.871000,44,9.761479e-04
31,1.918518,44,9.860646e-04
32,1.965696,44,9.848991e-04
33,2.012555,44,9.855938e-04
34,2.059114,44,9.805752e-04
35,2.105392,44,9.785390e-04
36,2.151406,44,9.741194e-04
37,2.197172,44,9.685482e-04
38,2.242705,44,9.610325e-04
39,2.288021,44,9.545982e-04
40,2.333132,43,9.903053e-04
41,2.378051,43,9.822857e-04
42,2.422792,43,9.783482e-04
43,2.467364,43,9.592175e-04
44,2.511781,43,9.539222e-04
45,2.556051,42,9.870450e-04
46,2.600186,42,9.752531e-04
47,2.644195,42,9.678082e-04
48,2.688087,42,9.475577e-04
49,2.731871,41,9.956235e-04
50,2.775148,40,9.945952e-04
51,2.818033,39,9.717923e-04
52,2.860600,38,9.809595e-04
53,2.902859,38,9.943344e-04
54,2.944820,38,9.451847e-04
55,2.986492,37,9.785226e-04
56,3.027884,37,9.790641e-04
57,3.069006,37,9.767295e-04
58,3.109865,37,9.415616e-04
59,3.150471,37,9.526695e-04
60,3.190831,36,9.830611e-04
61,3.230955,36,9.834503e-04
62,3.270849,36,9.887596e-04
63,3.310522,35,9.787028e-04
64,3.349981,35,9.865910e-04
65,3.389234,35,9.911860e-04
66,3.428288,35,9.432097e-04
67,3.467150,35,9.605880e-04
68,3.505827,34,9.878819e-04
69,3.544326,34,9.834800e-04
70,3.582654,34,9.854014e-04
71,3.620817,34,9.470587e-04
72,3.658821,34,9.583342e-04
