timestep,t,sor_iters,residual
1,0.050000,69,8.793502e-04
2,0.186292,66,9.095048e-04
3,0.273811,51,9.656997e-04
4,0.361683,46,9.265013e-04
5,0.442914,41,9.872018e-04
6,0.518762,35,9.792399e-04
7,0.591344,30,9.062195e-04
8,0.661158,29,8.322182e-04
9,0.728583,22,9.360315e-04
10,0.793921,23,9.576015e-04
11,0.857417,24,9.647643e-04
12,0.919272,26,9.856100e-04
13,0.979658,23,9.833643e-04
14,1.038718,23,9.823519e-04
15,1.096578,22,9.625603e-04
16,1.153343,21,9.921882e-04
17,1.209109,21,9.610590e-04
18,1.263958,21,9.334314e-04
19,1.317962,21,9.357431e-04
20,1.371186,21,9.573197e-04
21,1.423689,21,9.833767e-04
22,1.475523,22,9.028739e-04
23,1.526735,22,9.028598e-04
24,1.577369,22,9.272861e-04
25,1.627463,22,9.487055e-04
26,1.677053,22,9.617386e-04
27,1.726173,22,9.738739e-04
28,1.774852,22,9.826019e-04
29,1.823119,22,9.892539e-04
30,1.871000,22,9.937303e-04
31,1.918517,22,9.962063e-04
32,1.965695,22,9.969201e-04
33,2.012554,22,9.958994e-04
34,2.059113,22,9.934081e-04
35,2.105391,22,9.896057e-04
36,2.151405,22,9.845807e-04
37,2.197171,22,9.784989e-04
38,2.242704,22,9.713182e-04
39,2.288020,22,9.633052e-04
40,2.333131,22,9.544693e-04
41,2.378050,22,9.448821e-04
42,2.422790,22,9.346822e-04
43,2.467363,22,9.239172e-04
44,2.511779,22,9.126070e-04
45,2.556049,21,9.921351e-04
46,2.600185,22,9.002798e-04
47,2.644193,21,9.517478e-04
48,2.688086,21,9.695026e-04
49,2.731870,21,9.559863e-04
50,2.775146,21,8.846123e-04
51,2.818031,20,9.040247e-04
52,2.860599,19,9.961082e-04
53,2.902857,20,8.892802e-04
54,2.944819,19,8.839932e-04
55,2.986490,19,9.541065e-04
56,3.027883,19,9.350838e-04
57,3.069005,18,9.942890e-04
58,3.109865,19,9.476556e-04
59,3.150471,18,9.819517e-04
60,3.190832,18,9.858105e-04
61,3.230956,19,9.074254e-04
62,3.270850,17,9.722238e-04
63,3.310523,19,9.404777e-04
64,3.349983,18,9.554371e-04
65,3.389236,17,9.733585e-04
66,3.428290,19,8.834153e-04
67,3.467152,13,9.967944e-04
68,3.505830,21,9.386364e-04
69,3.544329,10,8.521039e-04
70,3.582658,20,9.897839e-04
71,3.620821,10,8.941744e-04
72,3.658825,21,9.274844e-04
73,3.696676,10,7.585708e-04
74,3.734381,19,9.809388e-04
75,3.771944,12,9.989061e-04
76,3.809372,20,9.529159e-04
77,3.846671,9,9.267460e-04
78,3.883844,18,9.017494e-04
79,3.920899,18,8.823948e-04
80,3.957840,12,9.763683e-04
81,3.994671,18,8.662646e-04
82,4.031398,9,9.117589e-04
83,4.068025,19,9.383840e-04
84,4.104558,9,7.464557e-04
85,4.141000,17,9.903770e-04
86,4.177357,8,9.928522e-04
87,4.213632,19,9.780933e-04
88,4.249828,8,9.087840e-04
89,4.285952,16,8.827059e-04
90,4.322006,16,9.068325e-04
91,4.357994,8,9.189958e-04
92,4.393920,17,9.955847e-04
93,4.429787,8,9.634194e-04
94,4.465600,17,9.807426e-04
95,4.501361,7,9.507048e-04
96,4.537075,14,9.857040e-04
97,4.572745,16,7.587065e-04
98,4.608374,7,9.128472e-04
99,4.643964,14,9.680930e-04
100,4.679521,16,7.580662e-04
101,4.715046,8,8.310693e-04
102,4.750542,10,9.761991e-04
103,4.786012,14,9.967674e-04
104,4.821460,9,9.868269e-04
105,4.856888,16,9.894878e-04
106,4.892299,7,8.279435e-04
107,4.927695,14,9.747075e-04
108,4.963080,7,8.739030e-04
109,4.998455,18,9.228910e-04
110,5.033824,7,9.163141e-04
111,5.069189,8,9.748398e-04
112,5.104552,12,9.606822e-04
113,5.139915,15,8.967574e-04
114,5.175282,7,9.594817e-04
115,5.210654,9,9.619759e-04
116,5.246033,12,9.608191e-04
117,5.281421,14,9.774493e-04
118,5.316822,11,8.987375e-04
119,5.352237,9,9.600147e-04
120,5.387667,16,9.743932e-04
121,5.423116,7,7.707447e-04
122,5.458584,8,9.220527e-04
123,5.494074,16,9.913300e-04
124,5.529589,7,8.705940e-04
125,5.565129,9,9.506024e-04
126,5.600697,18,9.271039e-04
127,5.636293,7,9.709594e-04
128,5.671921,8,8.416292e-04
129,5.707582,11,9.686488e-04
130,5.743278,14,9.815616e-04
131,5.779009,7,8.084978e-04
132,5.814779,9,8.654365e-04
133,5.850589,17,9.487645e-04
134,5.886439,7,9.615585e-04
135,5.922333,9,8.509319e-04
136,5.958271,16,9.768988e-04
137,5.994254,7,9.343071e-04
138,6.030287,17,9.268354e-04
139,6.066368,7,8.974087e-04
140,6.102500,14,9.421711e-04
141,6.138684,7,9.006332e-04
142,6.174923,18,9.844475e-04
143,6.211217,8,8.477013e-04
144,6.247569,11,8.878887e-04
145,6.283979,15,9.722071e-04
146,6.320450,8,9.745304e-04
147,6.356981,19,9.120729e-04
148,6.393576,9,7.661749e-04
149,6.430235,12,9.971904e-04
150,6.466959,16,9.277216e-04
151,6.503750,9,9.769946e-04
152,6.540609,19,9.725196e-04
153,6.577538,9,9.454924e-04
154,6.614537,16,9.605739e-04
155,6.651608,17,9.313468e-04
156,6.688752,10,9.357504e-04
157,6.725970,16,9.997966e-04
158,6.763264,17,9.991709e-04
