timestep,t,sor_iters,residual
1,0.050000,346,9.912114e-04
2,0.186296,328,9.829543e-04
3,0.273811,225,9.860468e-04
4,0.361669,186,9.866951e-04
5,0.442869,146,9.931053e-04
6,0.518672,111,9.874529e-04
7,0.591203,77,9.880478e-04
8,0.660963,44,9.967830e-04
9,0.728333,23,9.910010e-04
10,0.793615,19,9.785514e-04
11,0.857056,19,9.548461e-04
12,0.918862,20,9.995816e-04
13,0.979204,24,9.837520e-04
14,1.038227,24,9.952068e-04
15,1.096055,23,9.778250e-04
16,1.152795,21,9.746610e-04
17,1.208540,20,9.743930e-04
18,1.263370,19,9.943943e-04
19,1.317357,19,9.922079e-04
20,1.370566,19,9.841607e-04
21,1.423055,19,9.836595e-04
22,1.474875,19,9.927291e-04
23,1.526073,20,9.645297e-04
24,1.576693,19,9.928026e-04
25,1.626772,20,9.814505e-04
26,1.676347,20,9.737246e-04
27,1.725451,20,9.714068e-04
28,1.774114,20,9.724371e-04
29,1.822364,20,9.753101e-04
30,1.870227,20,9.788944e-04
31,1.917726,20,9.825190e-04
32,1.964886,20,9.857017e-04
33,2.011726,20,9.879170e-04
34,2.058265,20,9.888767e-04
35,2.104523,20,9.882525e-04
36,2.150516,20,9.859435e-04
37,2.196261,20,9.820238e-04
38,2.241772,20,9.766163e-04
39,2.287065,20,9.700306e-04
40,2.332153,19,9.927882e-04
41,2.377049,20,9.795357e-04
42,2.421765,19,9.909382e-04
43,2.466313,19,9.976687e-04
44,2.510704,19,9.970613e-04
45,2.554949,19,9.899593e-04
46,2.599057,19,9.781411e-04
47,2.643039,18,9.931609e-04
48,2.686904,19,9.735851e-04
49,2.730660,18,9.788163e-04
50,2.773927,17,9.975335e-04
51,2.816791,18,9.792218e-04
52,2.859338,17,9.737191e-04
53,2.901576,16,9.776767e-04
54,2.943516,15,9.950265e-04
55,2.985166,15,9.964432e-04
56,3.026537,15,9.878868e-04
57,3.067637,15,9.714215e-04
58,3.108474,14,9.846128e-04
59,3.149058,14,9.852850e-04
60,3.189396,14,9.786896e-04
61,3.229496,14,9.676109e-04
62,3.269368,13,9.958242e-04
63,3.309017,14,9.685415e-04
64,3.348453,13,9.894966e-04
65,3.387683,13,9.980822e-04
66,3.426713,14,9.617947e-04
67,3.465551,13,9.709785e-04
68,3.504204,13,9.693748e-04
69,3.542678,13,9.638172e-04
70,3.580981,13,9.552345e-04
71,3.619119,12,9.880808e-04
72,3.657097,13,9.585943e-04
73,3.694923,12,9.801333e-04
74,3.732602,12,9.845060e-04
