timestep,t,sor_iters,residual
1,0.050000,31,1.544307e+00
2,0.067815,21,1.513537e-01
3,0.101765,29,9.385559e-01
4,0.136104,27,6.281286e-01
5,0.170397,19,1.181250e-01
6,0.204396,20,1.419833e-01
7,0.238878,20,1.465857e-01
8,0.274375,16,5.467625e-02
9,0.310952,10,1.296347e-02
10,0.348396,14,2.878570e-02
11,0.386447,12,1.616359e-02
12,0.424944,1,9.965909e-04
13,0.463843,4,4.041344e-03
14,0.503171,3,3.558853e-03
15,0.542960,1,9.972611e-04
16,0.583246,1,9.720805e-04
17,0.623864,1,9.963584e-04
18,0.664412,1,9.990385e-04
19,0.705199,1,9.640604e-04
20,0.746267,1,9.786287e-04
21,0.787617,1,9.676889e-04
22,0.829252,1,9.772809e-04
23,0.871171,1,9.673081e-04
24,0.913367,1,9.729811e-04
25,0.955840,1,9.758171e-04
26,0.998594,1,9.423548e-04
27,1.041641,1,9.922755e-04
28,1.084652,1,9.848139e-04
29,1.127592,1,9.965096e-04
30,1.170579,1,9.972456e-04
31,1.213642,1,9.897775e-04
32,1.256808,1,9.782985e-04
33,1.300105,1,9.947737e-04
34,1.343562,1,9.428950e-04
35,1.387191,1,9.427773e-04
36,1.430999,1,9.179505e-04
37,1.474889,1,9.815012e-04
38,1.518553,1,9.885430e-04
39,1.562209,1,9.324439e-04
40,1.605885,1,9.166758e-04
41,1.649610,1,9.084164e-04
42,1.693418,1,9.054167e-04
43,1.737352,1,9.595361e-04
44,1.781454,1,9.265670e-04
45,1.825765,1,9.634830e-04
46,1.869848,1,9.370201e-04
47,1.913876,1,9.481661e-04
48,1.957864,1,9.547490e-04
49,2.001839,1,9.930206e-04
50,2.045843,1,9.671396e-04
51,2.089898,1,9.628522e-04
52,2.134024,1,9.608914e-04
53,2.178124,1,9.579550e-04
54,2.222082,1,9.595757e-04
55,2.266027,1,9.572004e-04
56,2.309982,1,9.584688e-04
57,2.353967,1,9.519534e-04
58,2.398003,1,9.677623e-04
59,2.442106,1,9.624033e-04
60,2.486286,1,9.482985e-04
61,2.530464,1,9.469242e-04
62,2.574549,1,9.625957e-04
63,2.618640,1,9.599936e-04
64,2.662749,1,9.545965e-04
65,2.706886,1,9.560941e-04
66,2.751061,1,9.672258e-04
67,2.795282,1,9.543916e-04
68,2.839554,1,9.639531e-04
69,2.883882,1,9.524474e-04
70,2.928263,1,9.483652e-04
71,2.972556,1,9.932329e-04
72,3.016851,1,9.468986e-04
73,3.061153,1,9.962778e-04
74,3.105467,1,9.449655e-04
75,3.149796,1,9.450329e-04
76,3.194141,1,9.870917e-04
77,3.238503,1,9.411629e-04
78,3.282883,1,9.356135e-04
79,3.327279,1,9.454801e-04
80,3.371693,1,9.804785e-04
81,3.416125,1,9.411119e-04
82,3.460576,1,9.822849e-04
83,3.504969,1,9.766937e-04
84,3.549339,1,9.404101e-04
85,3.593694,1,9.950589e-04
86,3.638038,1,9.443274e-04
87,3.682373,1,9.407585e-04
88,3.726705,1,9.816854e-04
89,3.771038,1,9.425705e-04
90,3.815375,1,9.927652e-04
91,3.859721,1,9.962865e-04
92,3.904079,1,9.806940e-04
93,3.948452,1,9.385052e-04
94,3.992843,1,9.992358e-04
95,4.037223,1,9.903334e-04
96,4.081565,1,9.997947e-04
97,4.125896,1,9.749235e-04
98,4.170222,1,9.318148e-04
99,4.214546,1,9.266350e-04
100,4.258871,1,9.384207e-04
101,4.303201,1,9.850684e-04
102,4.347539,1,9.723113e-04
103,4.391887,1,9.767226e-04
104,4.436248,1,9.888815e-04
105,4.480623,1,9.897287e-04
106,4.525014,1,9.921755e-04
107,4.569421,1,9.954855e-04
108,4.613836,1,9.444024e-04
109,4.658220,1,9.762285e-04
110,4.702599,1,9.893880e-04
111,4.746975,1,9.406171e-04
112,4.791349,1,9.381989e-04
113,4.835721,1,9.913326e-04
114,4.880092,1,9.381981e-04
115,4.924464,1,9.332719e-04
116,4.968837,1,9.696707e-04
117,5.013211,1,9.617842e-04
118,5.057589,1,9.371757e-04
119,5.101971,1,9.104855e-04
120,5.146359,1,9.533641e-04
121,5.190754,1,9.101110e-04
122,5.235156,1,9.711716e-04
123,5.279567,1,9.474090e-04
124,5.323989,1,9.396061e-04
125,5.368396,1,9.250454e-04
126,5.412788,1,9.473930e-04
127,5.457176,1,9.300992e-04
128,5.501558,1,9.904429e-04
129,5.545939,1,9.130386e-04
130,5.590318,1,9.117388e-04
131,5.634695,1,9.542713e-04
132,5.679073,1,9.138470e-04
133,5.723452,1,9.149557e-04
134,5.767831,1,9.575650e-04
135,5.812214,1,9.176571e-04
136,5.856599,1,9.166399e-04
137,5.900988,1,9.192430e-04
138,5.945381,1,9.187076e-04
139,5.989781,1,9.153831e-04
140,6.034186,1,9.099301e-04
141,6.078600,1,9.077427e-04
142,6.123021,1,9.036371e-04
143,6.167450,1,8.970787e-04
144,6.211862,1,9.952801e-04
145,6.256269,1,9.790146e-04
146,6.300673,1,9.619728e-04
147,6.345075,1,9.944136e-04
148,6.389476,1,9.138917e-04
149,6.433876,1,9.700413e-04
150,6.478277,1,9.930950e-04
151,6.522679,1,9.498222e-04
152,6.567082,1,9.646255e-04
153,6.611489,1,9.836463e-04
154,6.655898,1,9.702248e-04
155,6.700311,1,9.715110e-04
156,6.744729,1,9.728683e-04
157,6.789150,1,9.739984e-04
158,6.833576,1,9.749850e-04
159,6.878007,1,9.759981e-04
160,6.922443,1,9.774649e-04
161,6.966885,1,9.795652e-04
162,7.011332,1,9.821561e-04
163,7.055785,1,9.848825e-04
164,7.100245,1,9.873179e-04
165,7.144709,1,9.891452e-04
166,7.189161,1,9.902298e-04
167,7.233611,1,9.901238e-04
168,7.278060,1,9.888377e-04
169,7.322508,1,9.884972e-04
170,7.366956,1,9.869239e-04
171,7.411406,1,9.836640e-04
172,7.455857,1,9.788559e-04
173,7.500310,1,9.854607e-04
174,7.544766,1,9.553219e-04
175,7.589226,1,9.659550e-04
176,7.633689,1,9.672624e-04
177,7.678157,1,9.774881e-04
178,7.722629,1,9.838348e-04
179,7.767107,1,9.411853e-04
180,7.811589,1,9.811494e-04
181,7.856076,1,9.403412e-04
182,7.900568,1,9.426993e-04
183,7.945066,1,9.459751e-04
184,7.989570,1,9.473278e-04
185,8.034079,1,9.469247e-04
186,8.078594,1,9.453736e-04
187,8.123115,1,9.430999e-04
188,8.167642,1,9.404548e-04
189,8.212175,1,9.847188e-04
190,8.256706,1,9.620398e-04
191,8.301232,1,9.589687e-04
192,8.345758,1,9.445948e-04
193,8.390285,1,9.751739e-04
194,8.434811,1,9.373704e-04
195,8.479339,1,9.712871e-04
196,8.523868,1,9.326050e-04
197,8.568400,1,9.831447e-04
198,8.612935,1,9.758600e-04
199,8.657472,1,9.327381e-04
200,8.702014,1,9.430780e-04
201,8.746559,1,9.868464e-04
202,8.791109,1,9.672415e-04
203,8.835664,1,9.874657e-04
204,8.880223,1,9.921762e-04
205,8.924786,1,9.857102e-04
206,8.969355,1,9.847266e-04
207,9.013929,1,9.850293e-04
208,9.058508,1,9.848811e-04
209,9.103092,1,9.833403e-04
210,9.147681,1,9.727270e-04
211,9.192276,1,9.682886e-04
212,9.236877,1,9.616026e-04
213,9.281484,1,9.533608e-04
214,9.326097,1,9.445022e-04
