timestep,t,sor_iters,residual
1,0.050000,136,9.711184e-04
2,0.186292,130,9.898538e-04
3,0.273764,102,9.202557e-04
4,0.361571,90,9.950106e-04
5,0.442429,82,9.786191e-04
6,0.517732,70,9.955724e-04
7,0.589584,58,9.695562e-04
8,0.658495,57,9.823735e-04
9,0.724854,43,9.753611e-04
10,0.788973,53,9.885081e-04
11,0.851103,45,9.972088e-04
12,0.911455,56,9.475604e-04
13,0.970205,43,9.778169e-04
14,1.027503,52,9.907391e-04
15,1.083477,42,9.974039e-04
16,1.138239,44,9.665354e-04
17,1.191888,42,9.618178e-04
18,1.244509,41,9.596915e-04
19,1.296178,41,9.353366e-04
20,1.346963,40,9.924150e-04
21,1.396924,41,9.492982e-04
22,1.446115,41,9.508218e-04
23,1.494587,41,9.772442e-04
24,1.542383,42,9.474500e-04
25,1.589543,42,9.549750e-04
26,1.636106,42,9.770686e-04
27,1.682105,42,9.993190e-04
28,1.727571,43,9.570615e-04
29,1.772534,43,9.575866e-04
30,1.817019,43,9.711317e-04
31,1.861052,43,9.835657e-04
32,1.904655,43,9.901858e-04
33,1.947850,43,9.954967e-04
34,1.990656,43,9.991949e-04
35,2.033092,44,9.547307e-04
36,2.075176,43,9.860453e-04
37,2.116923,43,9.987564e-04
38,2.158349,44,9.554182e-04
39,2.199469,43,9.812131e-04
40,2.240295,43,9.935028e-04
41,2.280414,42,9.730075e-04
42,2.319787,40,9.520675e-04
43,2.358599,38,9.642502e-04
44,2.396871,38,9.910938e-04
45,2.434622,38,9.571532e-04
46,2.471872,37,9.806214e-04
47,2.508639,38,9.537700e-04
48,2.544941,37,9.826839e-04
49,2.580794,38,9.489174e-04
50,2.616216,38,9.384434e-04
51,2.651223,37,9.940912e-04
52,2.685829,38,9.822914e-04
53,2.720049,38,9.445715e-04
54,2.753897,38,9.472061e-04
55,2.787388,38,9.672753e-04
56,2.820534,38,9.622145e-04
57,2.853347,38,9.646116e-04
58,2.885841,38,9.665360e-04
59,2.918027,38,9.650042e-04
60,2.949917,38,9.667781e-04
61,2.981520,38,9.650149e-04
62,3.012848,38,9.638858e-04
63,3.043910,38,9.617624e-04
64,3.074717,38,9.560340e-04
65,3.105276,38,9.537002e-04
66,3.135598,38,9.488495e-04
67,3.165690,38,9.452652e-04
68,3.195561,37,9.989491e-04
69,3.225218,38,9.595115e-04
70,3.254669,37,9.805048e-04
71,3.283921,37,9.809323e-04
72,3.312981,38,9.371361e-04
73,3.341856,36,9.788705e-04
74,3.370552,37,9.918019e-04
75,3.399075,37,9.759688e-04
76,3.427431,35,9.940060e-04
77,3.455625,37,9.894878e-04
78,3.483664,36,9.738841e-04
79,3.511552,35,9.764269e-04
80,3.539295,37,9.621012e-04
81,3.566897,34,9.783275e-04
82,3.594364,35,9.957116e-04
83,3.621699,36,9.926359e-04
84,3.648907,32,9.630583e-04
85,3.675992,37,9.563226e-04
86,3.702958,32,9.940209e-04
87,3.729810,34,9.994915e-04
88,3.756550,36,9.777642e-04
89,3.783184,26,9.749108e-04
90,3.809713,38,9.675937e-04
91,3.836142,19,9.815539e-04
92,3.862474,42,9.744760e-04
93,3.888712,18,9.784142e-04
94,3.914859,36,9.886515e-04
95,3.940918,35,9.886598e-04
96,3.966892,25,9.468831e-04
97,3.992784,35,9.777231e-04
98,4.018596,21,9.832649e-04
99,4.044332,39,9.668963e-04
100,4.069993,18,8.631022e-04
101,4.095582,34,9.930037e-04
102,4.121102,34,9.848439e-04
103,4.146554,23,9.615612e-04
104,4.171942,34,9.725106e-04
105,4.197267,20,9.793837e-04
106,4.222532,38,9.604940e-04
107,4.247738,17,8.721067e-04
108,4.272888,31,9.934083e-04
109,4.297983,33,9.711108e-04
110,4.323027,16,8.738291e-04
111,4.348020,33,9.823293e-04
112,4.372965,34,9.309917e-04
113,4.397863,22,9.409768e-04
114,4.422716,24,9.868899e-04
115,4.447526,34,9.516335e-04
116,4.472295,15,9.893092e-04
117,4.497024,31,9.997565e-04
118,4.521715,32,9.742479e-04
119,4.546369,15,9.609237e-04
120,4.570987,30,9.950615e-04
121,4.595571,33,9.861660e-04
122,4.620123,16,9.780006e-04
123,4.644644,24,9.574513e-04
124,4.669135,33,9.467025e-04
125,4.693597,16,8.760502e-04
126,4.718032,34,9.992631e-04
127,4.742440,16,9.328225e-04
128,4.766823,36,9.801576e-04
129,4.791183,17,8.538100e-04
130,4.815520,22,9.744758e-04
131,4.839835,38,9.830188e-04
132,4.864129,17,9.157028e-04
133,4.888404,19,9.824198e-04
134,4.912660,34,9.937715e-04
135,4.936898,17,9.621458e-04
136,4.961120,38,9.351212e-04
137,4.985326,17,8.420267e-04
138,5.009517,22,9.939684e-04
139,5.033695,32,9.831569e-04
140,5.057860,18,9.487122e-04
141,5.082012,39,9.559667e-04
142,5.106154,17,9.937918e-04
143,5.130285,25,9.600903e-04
144,5.154407,32,9.910842e-04
145,5.178520,19,9.512772e-04
146,5.202626,40,9.701665e-04
147,5.226725,19,8.532946e-04
148,5.250817,29,9.765487e-04
149,5.274905,34,9.561779e-04
150,5.298987,20,9.702287e-04
151,5.323067,41,9.716293e-04
152,5.347143,20,9.536911e-04
153,5.371217,36,9.954533e-04
154,5.395290,35,9.883808e-04
155,5.419362,28,9.657468e-04
156,5.443435,39,9.709196e-04
157,5.467508,24,9.991804e-04
158,5.491583,43,9.679142e-04
159,5.515660,24,9.740765e-04
160,5.539741,41,9.802204e-04
161,5.563825,28,9.845644e-04
162,5.587914,44,9.883674e-04
163,5.612008,26,9.862302e-04
164,5.636108,42,9.963779e-04
165,5.660214,31,9.867432e-04
166,5.684328,45,9.683177e-04
167,5.708451,28,9.544566e-04
168,5.732581,43,9.821679e-04
169,5.756722,31,9.865455e-04
170,5.780872,46,9.705571e-04
171,5.805033,28,9.726310e-04
172,5.829206,42,9.994349e-04
173,5.853390,40,9.884084e-04
174,5.877588,35,9.887462e-04
175,5.901799,42,9.822051e-04
176,5.926024,30,9.871933e-04
177,5.950205,47,9.969472e-04
178,5.974084,46,9.861409e-04
179,5.997357,50,9.695617e-04
180,6.020578,28,9.295947e-04
181,6.043826,35,9.628939e-04
182,6.067122,27,9.840547e-04
183,6.089936,44,9.687815e-04
184,6.112496,41,9.585114e-04
185,6.135148,30,9.828630e-04
186,6.157926,34,9.545485e-04
187,6.180829,41,9.952593e-04
188,6.203135,23,9.691584e-04
189,6.225422,44,9.955419e-04
190,6.247890,29,9.889332e-04
191,6.270464,42,9.579412e-04
192,6.292683,23,9.616249e-04
193,6.314698,38,9.837149e-04
194,6.336581,39,9.205533e-04
195,6.358357,23,9.103875e-04
196,6.380054,27,9.938089e-04
197,6.401692,33,9.736033e-04
198,6.423293,24,9.699407e-04
199,6.444747,28,9.794023e-04
200,6.466104,26,9.844915e-04
201,6.487418,26,9.723226e-04
202,6.508709,25,9.762747e-04
203,6.529988,25,9.789506e-04
204,6.551266,25,9.737022e-04
205,6.572549,25,9.718897e-04
206,6.593840,25,9.689696e-04
207,6.615141,25,9.531352e-04
208,6.636453,24,9.938514e-04
209,6.657776,25,9.351227e-04
210,6.679109,24,9.584430e-04
211,6.700453,24,9.829169e-04
212,6.721806,24,9.942705e-04
213,6.743170,25,9.292241e-04
214,6.764546,24,9.772918e-04
215,6.785934,25,9.381163e-04
216,6.807336,24,9.774463e-04
217,6.828753,25,9.412177e-04
218,6.850186,24,9.810302e-04
219,6.871637,25,9.366631e-04
220,6.893105,24,9.853838e-04
221,6.914594,25,9.398798e-04
222,6.936102,24,9.929955e-04
223,6.957632,25,9.446447e-04
224,6.979183,25,9.288000e-04
225,7.000755,25,9.214164e-04
226,7.022350,25,9.293313e-04
227,7.043967,25,9.363793e-04
228,7.065607,25,9.464411e-04
229,7.087269,25,9.562589e-04
230,7.108954,25,9.678131e-04
231,7.130625,26,9.112580e-04
232,7.152213,26,9.811343e-04
233,7.173775,27,9.633779e-04
234,7.195313,27,9.378387e-04
235,7.216829,26,9.723269e-04
236,7.238324,26,9.903822e-04
237,7.259800,26,9.739320e-04
238,7.281256,26,9.537738e-04
239,7.302696,26,9.523832e-04
240,7.324122,26,9.480890e-04
241,7.345537,26,9.443712e-04
242,7.366942,26,9.443235e-04
243,7.388340,26,9.457719e-04
244,7.409732,26,9.456603e-04
245,7.431119,26,9.473970e-04
246,7.452503,26,9.511623e-04
247,7.473883,26,9.539358e-04
248,7.495260,26,9.601437e-04
249,7.516635,26,9.579132e-04
250,7.538008,26,9.604720e-04
251,7.559378,26,9.686762e-04
252,7.580745,26,9.770740e-04
253,7.602110,26,9.825266e-04
254,7.623473,26,9.822016e-04
255,7.644832,26,9.920253e-04
256,7.666188,26,9.978465e-04
257,7.687542,27,9.641992e-04
258,7.708892,24,9.939159e-04
259,7.730238,29,9.312831e-04
260,7.751581,19,9.737193e-04
261,7.772919,30,9.695858e-04
262,7.794254,18,9.929398e-04
263,7.815583,30,9.876303e-04
264,7.836908,18,9.977923e-04
265,7.858228,30,9.953926e-04
266,7.879543,19,9.058428e-04
267,7.900851,30,9.974698e-04
268,7.922154,19,9.178966e-04
269,7.943450,31,9.424066e-04
270,7.964740,18,9.867802e-04
271,7.986022,30,9.924472e-04
272,8.007296,19,9.337058e-04
273,8.028563,31,9.835863e-04
274,8.049820,18,9.795816e-04
275,8.071068,31,9.496707e-04
276,8.092306,19,9.139731e-04
277,8.113534,31,9.797391e-04
278,8.134751,19,8.982024e-04
279,8.155956,31,9.848798e-04
280,8.177149,19,9.080936e-04
281,8.198329,31,9.946619e-04
282,8.219495,19,9.045019e-04
283,8.240646,32,9.425037e-04
284,8.261782,18,9.708653e-04
285,8.282903,31,9.868021e-04
286,8.304006,19,9.420260e-04
287,8.325092,32,9.851127e-04
288,8.346159,18,9.680031e-04
289,8.367208,31,9.967649e-04
290,8.388236,19,9.552433e-04
291,8.409243,32,9.987183e-04
292,8.430229,18,9.598707e-04
293,8.451192,32,9.494150e-04
294,8.472132,18,9.952040e-04
295,8.493048,32,9.753072e-04
296,8.513938,18,9.701890e-04
297,8.534802,32,9.799159e-04
298,8.555639,18,9.788461e-04
299,8.576449,32,9.740671e-04
300,8.597230,18,9.736474e-04
301,8.617981,32,9.775114e-04
302,8.638702,18,9.720466e-04
303,8.659392,32,9.657547e-04
304,8.680049,18,9.726169e-04
305,8.700675,32,9.640477e-04
306,8.721266,18,9.756859e-04
307,8.741824,32,9.567456e-04
308,8.762347,18,9.749772e-04
309,8.782835,31,9.994895e-04
310,8.803287,19,9.268934e-04
311,8.823703,32,9.580747e-04
312,8.844082,18,9.632421e-04
313,8.864425,30,9.895178e-04
314,8.884731,19,9.992698e-04
315,8.904999,32,9.595601e-04
316,8.925230,18,9.353608e-04
317,8.945424,28,9.724403e-04
318,8.965582,27,9.653093e-04
319,8.985702,22,9.879913e-04
320,9.005787,28,9.553433e-04
321,9.025835,21,9.832254e-04
322,9.045849,28,9.919652e-04
323,9.065828,21,9.666548e-04
324,9.085773,27,9.772476e-04
325,9.105686,22,9.997939e-04
326,9.125567,25,9.999377e-04
327,9.145418,24,9.968777e-04
