timestep,t,sor_iters,residual
1,0.050000,69,8.793502e-04
2,0.186292,66,9.088082e-04
3,0.273764,51,9.683540e-04
4,0.361571,46,9.326618e-04
5,0.442429,42,8.782951e-04
6,0.517732,37,8.937330e-04
7,0.589585,30,9.094738e-04
8,0.658496,29,8.269776e-04
9,0.724856,22,9.723960e-04
10,0.788974,26,9.978917e-04
11,0.851105,25,9.840806e-04
12,0.911457,28,9.271597e-04
13,0.970207,23,9.538183e-04
14,1.027504,26,9.682149e-04
15,1.083477,22,9.453189e-04
16,1.138240,22,9.634548e-04
17,1.191888,21,9.733152e-04
18,1.244509,21,9.240162e-04
19,1.296177,21,8.870585e-04
20,1.346962,20,9.951789e-04
21,1.396922,21,9.079433e-04
22,1.446114,21,8.988368e-04
23,1.494584,21,9.231390e-04
24,1.542380,21,9.512242e-04
25,1.589540,21,9.705101e-04
26,1.636103,21,9.900230e-04
27,1.682102,22,9.047366e-04
28,1.727568,21,9.921806e-04
29,1.772530,22,9.347841e-04
30,1.817015,22,9.263012e-04
31,1.861048,22,9.299286e-04
32,1.904650,22,9.456359e-04
33,1.947845,22,9.469232e-04
34,1.990651,22,9.518401e-04
35,2.033087,22,9.534092e-04
36,2.075170,22,9.542062e-04
37,2.116917,22,9.534527e-04
38,2.158344,22,9.518479e-04
39,2.199463,22,9.490006e-04
40,2.240289,22,9.452528e-04
41,2.280406,21,9.665215e-04
42,2.319777,20,9.552581e-04
43,2.358589,19,9.587779e-04
44,2.396860,19,9.902853e-04
45,2.434611,19,9.600127e-04
46,2.471860,19,9.199256e-04
47,2.508626,19,9.316853e-04
48,2.544928,19,9.297306e-04
49,2.580782,19,9.351265e-04
50,2.616204,19,9.405375e-04
51,2.651210,19,9.472341e-04
52,2.685816,19,9.508990e-04
53,2.720036,19,9.563325e-04
54,2.753884,19,9.591003e-04
55,2.787375,19,9.626802e-04
56,2.820521,19,9.642897e-04
57,2.853334,19,9.663386e-04
58,2.885829,19,9.666510e-04
59,2.918015,19,9.672148e-04
60,2.949904,19,9.661886e-04
61,2.981507,19,9.652521e-04
62,3.012835,19,9.629289e-04
63,3.043897,19,9.606224e-04
64,3.074704,19,9.570532e-04
65,3.105263,19,9.534631e-04
66,3.135585,19,9.487229e-04
67,3.165677,19,9.439668e-04
68,3.195548,19,9.381957e-04
69,3.225205,19,9.324290e-04
70,3.254656,19,9.257287e-04
71,3.283908,19,9.190378e-04
72,3.312968,19,9.115172e-04
73,3.341843,19,9.040432e-04
74,3.370538,18,9.921856e-04
75,3.399061,19,9.370602e-04
76,3.427417,18,9.658069e-04
77,3.455612,18,9.759575e-04
78,3.483650,19,9.120006e-04
79,3.511538,17,9.600306e-04
80,3.539281,19,9.457079e-04
81,3.566883,18,9.534422e-04
82,3.594349,17,9.668677e-04
83,3.621684,19,8.989287e-04
84,3.648892,14,9.971680e-04
85,3.675977,21,9.226805e-04
86,3.702943,10,8.960796e-04
87,3.729795,21,9.445805e-04
88,3.756535,10,8.520653e-04
89,3.783168,21,9.169279e-04
90,3.809697,10,8.087710e-04
91,3.836126,20,9.692538e-04
92,3.862458,10,8.478842e-04
