timestep,t,sor_iters,residual
1,0.050000,346,9.912114e-04
2,0.186296,327,9.983093e-04
3,0.273764,225,9.883127e-04
4,0.361557,186,9.947710e-04
5,0.442383,147,9.927206e-04
6,0.517642,112,9.950984e-04
7,0.589443,79,9.847568e-04
8,0.658300,45,9.992371e-04
9,0.724604,24,9.728900e-04
10,0.788667,19,9.592814e-04
11,0.850744,19,9.600891e-04
12,0.911048,22,9.651263e-04
13,0.969755,26,9.866679e-04
14,1.027017,26,9.996373e-04
15,1.082962,24,9.847187e-04
16,1.137700,21,9.977743e-04
17,1.191328,20,9.935427e-04
18,1.243931,19,9.887533e-04
19,1.295585,19,9.547112e-04
20,1.346355,18,9.688291e-04
21,1.396303,18,9.797477e-04
22,1.445482,18,9.895425e-04
23,1.493942,19,9.543540e-04
24,1.541726,18,9.846850e-04
25,1.588874,19,9.728304e-04
26,1.635425,19,9.683322e-04
27,1.681412,19,9.707376e-04
28,1.726865,19,9.766324e-04
29,1.771815,19,9.838595e-04
30,1.816287,19,9.913099e-04
31,1.860306,19,9.984163e-04
32,1.903895,20,9.689782e-04
33,1.947076,19,9.826667e-04
34,1.989867,19,9.998131e-04
35,2.032288,20,9.796436e-04
36,2.074357,19,9.955521e-04
37,2.116088,20,9.771774e-04
38,2.157499,19,9.927631e-04
39,2.198602,20,9.743661e-04
40,2.239412,19,9.882390e-04
41,2.279521,18,9.914187e-04
42,2.318880,18,9.768603e-04
43,2.357679,17,9.813217e-04
44,2.395937,16,9.912383e-04
45,2.433674,16,9.723909e-04
46,2.470909,15,9.839640e-04
47,2.507662,15,9.836619e-04
48,2.543949,15,9.838238e-04
49,2.579788,15,9.822468e-04
50,2.615196,15,9.765886e-04
51,2.650187,15,9.677376e-04
52,2.684778,15,9.589736e-04
53,2.718983,15,9.537170e-04
54,2.752817,15,9.538458e-04
55,2.786293,15,9.591865e-04
56,2.819424,15,9.679741e-04
57,2.852222,15,9.777930e-04
58,2.884702,15,9.864258e-04
59,2.916873,15,9.923089e-04
60,2.948747,15,9.947029e-04
61,2.980335,15,9.936383e-04
62,3.011648,15,9.896977e-04
63,3.042695,15,9.837426e-04
64,3.073487,15,9.766783e-04
65,3.104031,15,9.692406e-04
66,3.134338,15,9.619120e-04
67,3.164415,15,9.549209e-04
68,3.194271,14,9.935479e-04
69,3.223913,15,9.691117e-04
70,3.253349,15,9.559310e-04
71,3.282586,14,9.847921e-04
72,3.311631,14,9.972546e-04
73,3.340491,15,9.608800e-04
74,3.369172,14,9.763056e-04
75,3.397679,14,9.775471e-04
76,3.426020,14,9.749814e-04
77,3.454200,14,9.691987e-04
78,3.482224,14,9.605528e-04
79,3.510097,13,9.994830e-04
80,3.537825,14,9.646669e-04
81,3.565412,13,9.931934e-04
82,3.592863,13,9.993796e-04
83,3.620183,13,9.992566e-04
84,3.647376,13,9.936586e-04
85,3.674446,13,9.832846e-04
86,3.701397,13,9.691685e-04
87,3.728234,13,9.526744e-04
88,3.754959,12,9.922004e-04
89,3.781578,13,9.453300e-04
90,3.808092,12,9.778337e-04
91,3.834506,12,9.820499e-04
92,3.860822,12,9.808745e-04
93,3.887045,12,9.753868e-04
94,3.913177,12,9.656579e-04
95,3.939221,12,9.521715e-04
96,3.965180,12,9.359096e-04
97,3.991056,11,9.840684e-04
98,4.016854,11,9.933016e-04
99,4.042574,11,9.934075e-04
