timestep,t,sor_iters,residual
1,0.050000,136,9.711184e-04
2,0.186292,130,9.901201e-04
3,0.273779,102,9.193220e-04
4,0.361609,90,9.925093e-04
5,0.442591,82,9.728541e-04
6,0.518076,70,9.813065e-04
7,0.590173,58,9.673661e-04
8,0.659387,57,9.793309e-04
9,0.726104,42,9.857805e-04
10,0.790632,51,9.869799e-04
11,0.853221,46,9.856842e-04
12,0.914078,55,9.964724e-04
13,0.973377,44,9.711842e-04
14,1.031266,49,9.836192e-04
15,1.087873,44,9.651106e-04
16,1.143308,43,9.559189e-04
17,1.197667,41,9.991535e-04
18,1.251035,41,9.739336e-04
19,1.303486,41,9.431546e-04
20,1.355089,41,9.491726e-04
21,1.405901,41,9.644043e-04
22,1.455977,41,9.919174e-04
23,1.505366,42,9.563898e-04
24,1.554111,42,9.674980e-04
25,1.602252,42,9.914267e-04
26,1.649827,43,9.573349e-04
27,1.696868,43,9.572613e-04
28,1.743407,43,9.740480e-04
29,1.789472,43,9.877182e-04
30,1.835090,43,9.970303e-04
31,1.880284,44,9.560276e-04
32,1.925078,43,9.911882e-04
33,1.969493,44,9.670018e-04
34,2.013548,44,9.605681e-04
35,2.057262,44,9.559131e-04
36,2.100651,44,9.631685e-04
37,2.143734,44,9.585774e-04
38,2.186523,43,9.992994e-04
39,2.229035,43,9.982726e-04
40,2.271282,43,9.977847e-04
41,2.313277,43,9.847547e-04
42,2.355032,43,9.825409e-04
43,2.396360,42,9.948310e-04
44,2.436918,41,9.408025e-04
45,2.476985,38,9.779914e-04
46,2.516573,39,9.803525e-04
47,2.555701,38,9.724613e-04
48,2.594384,38,9.463085e-04
49,2.632638,38,9.651894e-04
50,2.670476,37,9.957695e-04
51,2.707915,38,9.692961e-04
52,2.744967,37,9.893114e-04
53,2.781646,38,9.585280e-04
54,2.817965,37,9.982766e-04
55,2.853936,38,9.551013e-04
56,2.889572,37,9.973922e-04
57,2.924884,37,9.955983e-04
58,2.959885,38,9.524760e-04
59,2.994584,37,9.620091e-04
60,3.028993,37,9.950903e-04
61,3.063122,38,9.369362e-04
62,3.096981,36,9.941896e-04
63,3.130580,38,9.519405e-04
64,3.163927,37,9.664563e-04
65,3.197032,36,9.871976e-04
66,3.229904,38,9.473931e-04
67,3.262550,35,9.867363e-04
68,3.294979,37,9.851291e-04
69,3.327199,37,9.690421e-04
70,3.359216,34,9.997184e-04
71,3.391038,37,9.924271e-04
72,3.422672,35,9.812860e-04
73,3.454124,35,9.640615e-04
74,3.485402,37,9.524165e-04
75,3.516510,32,9.752517e-04
76,3.547456,37,9.851024e-04
77,3.578244,35,9.964034e-04
78,3.608881,32,9.750884e-04
79,3.639372,36,9.988183e-04
80,3.669722,31,9.697973e-04
81,3.699936,36,9.953646e-04
82,3.730019,35,9.957465e-04
83,3.759976,30,9.951182e-04
84,3.789811,36,9.667206e-04
85,3.819528,21,9.922989e-04
86,3.849132,40,9.909009e-04
87,3.878627,18,9.761428e-04
88,3.908017,37,9.775687e-04
89,3.937305,18,9.276689e-04
90,3.966496,40,9.917181e-04
91,3.995593,18,8.666511e-04
92,4.024599,35,9.530481e-04
93,4.053518,34,9.608291e-04
94,4.082353,24,9.567885e-04
95,4.111107,35,9.014704e-04
96,4.139784,17,9.201843e-04
97,4.168386,38,9.729174e-04
98,4.196917,16,9.753818e-04
99,4.225378,34,9.551150e-04
100,4.253774,16,9.622251e-04
101,4.282106,38,9.970443e-04
102,4.310376,16,9.382447e-04
103,4.338589,24,9.809055e-04
104,4.366746,32,9.886421e-04
105,4.394849,15,9.946392e-04
106,4.422900,36,9.876892e-04
107,4.450903,15,9.543263e-04
108,4.478859,31,9.586141e-04
109,4.506770,15,9.476058e-04
110,4.534639,38,9.621689e-04
111,4.562466,15,9.779380e-04
112,4.590256,19,9.942246e-04
113,4.618008,27,9.943209e-04
114,4.645726,33,9.446590e-04
115,4.673411,21,9.306401e-04
116,4.701065,20,9.663087e-04
117,4.728689,31,9.659423e-04
118,4.756286,15,8.569766e-04
119,4.783856,36,9.494076e-04
120,4.811403,15,8.583699e-04
121,4.838927,22,9.927723e-04
122,4.866430,29,9.693183e-04
123,4.893914,14,9.918512e-04
124,4.921380,37,9.128780e-04
125,4.948830,15,8.754990e-04
126,4.976266,21,9.583951e-04
127,5.003688,25,9.869944e-04
128,5.031099,33,9.848987e-04
129,5.058500,15,8.580444e-04
130,5.085892,20,9.977744e-04
131,5.113277,30,9.893288e-04
132,5.140656,16,9.233054e-04
133,5.168029,37,9.379189e-04
134,5.195400,15,9.941347e-04
135,5.222768,22,9.572127e-04
136,5.250134,27,9.817815e-04
137,5.277501,17,9.673163e-04
138,5.304869,38,9.562540e-04
139,5.332239,16,9.671717e-04
140,5.359613,20,9.655606e-04
141,5.386990,30,9.620137e-04
142,5.414374,18,9.711295e-04
143,5.441764,38,9.937350e-04
144,5.469161,17,9.797177e-04
145,5.496567,24,9.672627e-04
146,5.523982,32,9.671394e-04
147,5.551408,19,9.839662e-04
148,5.578846,39,9.921351e-04
149,5.606296,19,8.894123e-04
150,5.633759,30,9.854668e-04
151,5.661237,34,9.666289e-04
152,5.688730,22,9.416826e-04
153,5.716239,39,9.953103e-04
154,5.743766,22,9.326217e-04
155,5.771311,40,9.694046e-04
156,5.798874,23,9.626272e-04
157,5.826458,41,9.895342e-04
158,5.854063,24,9.668679e-04
159,5.881689,41,9.985312e-04
160,5.909338,25,9.856681e-04
161,5.937010,43,9.774491e-04
162,5.964707,26,9.297126e-04
163,5.992429,42,9.757151e-04
164,6.020177,28,9.650808e-04
165,6.047953,44,9.744808e-04
166,6.075756,27,9.385707e-04
167,6.103588,42,9.859915e-04
168,6.131450,29,9.880517e-04
169,6.159342,45,9.761993e-04
170,6.186995,44,9.555464e-04
171,6.213835,50,9.729480e-04
172,6.240130,47,9.957222e-04
173,6.266214,27,9.960074e-04
174,6.291937,45,9.848262e-04
175,6.316986,42,9.853569e-04
176,6.341919,27,9.774052e-04
177,6.366792,26,9.474814e-04
178,6.391631,33,9.937912e-04
179,6.416436,38,9.547600e-04
180,6.440649,19,8.940453e-04
181,6.464874,30,9.928584e-04
182,6.489170,33,9.675035e-04
183,6.513555,36,9.650403e-04
184,6.537768,22,9.639998e-04
185,6.561685,33,9.546667e-04
186,6.585409,22,9.830278e-04
187,6.608923,43,9.463715e-04
188,6.632264,22,9.928613e-04
189,6.655458,25,9.590820e-04
190,6.678530,26,9.468470e-04
191,6.701507,26,9.456601e-04
192,6.724411,26,9.845999e-04
193,6.747261,27,9.603913e-04
194,6.770074,25,9.977970e-04
195,6.792861,27,9.675456e-04
196,6.815632,25,9.591171e-04
197,6.838392,25,9.725792e-04
198,6.861148,24,9.916914e-04
199,6.883902,24,9.677097e-04
200,6.906657,24,9.263377e-04
201,6.929413,23,9.762744e-04
202,6.952173,23,9.931542e-04
203,6.974938,23,9.987136e-04
204,6.997708,24,9.236853e-04
205,7.020486,23,9.659168e-04
206,7.043272,23,9.991943e-04
207,7.066068,24,9.294623e-04
208,7.088877,23,9.604946e-04
209,7.111699,23,9.917617e-04
210,7.134537,24,9.189277e-04
211,7.157391,23,9.559744e-04
212,7.180263,23,9.851169e-04
213,7.203154,24,9.166622e-04
214,7.226065,23,9.681094e-04
215,7.248996,24,9.169697e-04
216,7.271948,23,9.800044e-04
217,7.294920,24,9.278222e-04
218,7.317915,23,9.916608e-04
219,7.340930,24,9.431013e-04
220,7.363901,24,9.653448e-04
221,7.386820,25,9.501915e-04
222,7.409716,25,9.694257e-04
223,7.432592,25,9.444555e-04
224,7.455451,25,9.354838e-04
225,7.478292,24,9.926266e-04
226,7.501119,25,9.395104e-04
227,7.523930,24,9.587605e-04
228,7.546727,24,9.875944e-04
229,7.569511,25,9.242796e-04
230,7.592284,23,9.915836e-04
231,7.615050,25,9.419085e-04
232,7.637811,23,9.871477e-04
233,7.660569,25,9.351893e-04
234,7.683326,23,9.716054e-04
235,7.706084,25,9.399809e-04
236,7.728845,23,9.695079e-04
237,7.751610,25,9.462659e-04
238,7.774379,22,9.914853e-04
239,7.797153,25,9.948669e-04
240,7.819933,21,9.886324e-04
241,7.842719,26,9.781273e-04
242,7.865510,18,9.894892e-04
243,7.888308,27,9.844533e-04
244,7.911111,17,9.859440e-04
245,7.933922,27,9.908011e-04
246,7.956739,18,9.275876e-04
247,7.979562,27,9.746294e-04
248,8.002393,18,9.207935e-04
249,8.025231,27,9.701009e-04
250,8.048076,18,9.220426e-04
251,8.070928,27,9.691601e-04
252,8.093789,18,9.166384e-04
253,8.116657,27,9.596603e-04
254,8.139534,18,9.161288e-04
255,8.162419,27,9.563367e-04
256,8.185313,18,9.264260e-04
257,8.208216,26,9.953937e-04
258,8.231129,18,9.948797e-04
259,8.254050,27,9.912602e-04
260,8.276981,18,9.053750e-04
261,8.299922,25,9.633659e-04
262,8.322872,20,9.651609e-04
263,8.345832,26,9.737942e-04
264,8.368802,18,9.765480e-04
265,8.391782,25,9.734565e-04
266,8.414772,19,9.932315e-04
267,8.437772,26,9.829113e-04
268,8.460782,18,9.773183e-04
269,8.483802,24,9.872280e-04
270,8.506832,21,9.782112e-04
271,8.529873,23,9.938672e-04
272,8.552923,21,9.975749e-04
273,8.575984,23,9.824966e-04
274,8.599055,21,9.830943e-04
275,8.622136,23,9.625811e-04
276,8.645227,21,9.805251e-04
277,8.668328,22,9.981634e-04
278,8.691439,22,9.808414e-04
279,8.714560,22,9.516864e-04
280,8.737692,22,9.511916e-04
281,8.760833,21,9.982506e-04
282,8.783984,22,9.913384e-04
283,8.807146,21,9.987182e-04
284,8.830317,22,9.818365e-04
285,8.853498,21,9.888020e-04
286,8.876688,22,9.717806e-04
287,8.899889,21,9.822342e-04
288,8.923099,22,9.657583e-04
289,8.946318,21,9.754770e-04
290,8.969547,22,9.554658e-04
291,8.992786,21,9.707432e-04
292,9.016034,21,9.939862e-04
293,9.039291,22,9.517422e-04
294,9.062557,21,9.568764e-04
295,9.085832,21,9.837389e-04
296,9.109116,21,9.999359e-04
297,9.132409,21,9.963396e-04
298,9.155710,21,9.981157e-04
299,9.179020,21,9.949520e-04
300,9.202339,21,9.878778e-04
301,9.225666,21,9.860931e-04
302,9.249001,21,9.847846e-04
303,9.272345,21,9.842948e-04
304,9.295696,21,9.820028e-04
305,9.319055,21,9.808715e-04
306,9.342422,21,9.773910e-04
307,9.365797,21,9.773842e-04
308,9.389178,21,9.794576e-04
309,9.412568,21,9.796721e-04
310,9.435964,21,9.776293e-04
311,9.459367,21,9.760133e-04
312,9.482777,21,9.770225e-04
313,9.506193,21,9.795068e-04
314,9.529616,21,9.816513e-04
315,9.553046,21,9.819701e-04
316,9.576481,21,9.831287e-04
317,9.599922,21,9.846172e-04
318,9.623369,21,9.883490e-04
319,9.646822,21,9.861456e-04
320,9.670280,21,9.868936e-04
321,9.693743,21,9.891813e-04
322,9.717211,21,9.909612e-04
323,9.740684,21,9.926230e-04
324,9.764162,21,9.897247e-04
325,9.787644,21,9.972141e-04
326,9.811130,22,9.048021e-04
327,9.834620,21,9.678243e-04
328,9.858113,21,9.967531e-04
329,9.881611,22,9.085706e-04
330,9.905111,21,9.667697e-04
331,9.928615,22,9.156979e-04
332,9.952122,21,9.747197e-04
333,9.975631,22,9.158626e-04
334,9.999142,21,9.747004e-04
335,10.022655,22,9.174476e-04
336,10.046171,21,9.792691e-04
337,10.069687,22,9.191393e-04
338,10.093205,21,9.749791e-04
339,10.116724,22,9.162685e-04
340,10.140243,21,9.718112e-04
341,10.163763,22,9.165139e-04
342,10.187282,21,9.734608e-04
343,10.210801,22,9.184369e-04
344,10.234320,21,9.808838e-04
345,10.257837,22,9.173551e-04
346,10.281353,21,9.795879e-04
347,10.304867,22,9.123588e-04
348,10.328380,21,9.781772e-04
349,10.351889,22,9.149323e-04
350,10.375396,21,9.720042e-04
351,10.398899,21,9.981595e-04
352,10.422398,22,9.116120e-04
353,10.445893,21,9.649936e-04
354,10.469383,22,9.094493e-04
355,10.492869,21,9.628932e-04
356,10.516348,21,9.915170e-04
357,10.539821,22,9.002820e-04
358,10.563287,21,9.569297e-04
359,10.586746,21,9.981283e-04
360,10.610197,22,9.090776e-04
361,10.633640,21,9.594785e-04
362,10.657074,21,9.987540e-04
363,10.680498,22,9.084447e-04
364,10.703911,21,9.630487e-04
365,10.727313,21,9.887193e-04
366,10.750704,22,9.048787e-04
367,10.774082,21,9.598066e-04
368,10.797447,21,9.819259e-04
369,10.820797,22,9.045687e-04
370,10.844133,21,9.651303e-04
371,10.867453,21,9.893869e-04
372,10.890757,22,9.138900e-04
373,10.914043,21,9.606436e-04
374,10.937311,21,9.853774e-04
375,10.960559,22,9.184529e-04
376,10.983787,21,9.649230e-04
377,11.006994,21,9.862159e-04
378,11.030178,22,9.235608e-04
379,11.053338,21,9.719715e-04
380,11.076474,21,9.921348e-04
381,11.099584,22,9.378564e-04
382,11.122667,21,9.766539e-04
383,11.145722,21,9.948680e-04
384,11.168747,22,9.483488e-04
385,11.191742,21,9.865448e-04
386,11.214704,22,9.382784e-04
387,11.237633,21,9.910267e-04
388,11.260527,22,9.482016e-04
389,11.283384,22,9.463374e-04
390,11.306205,21,9.841617e-04
391,11.328985,22,9.608100e-04
392,11.351726,22,9.581414e-04
393,11.374424,21,9.880758e-04
394,11.397078,22,9.801855e-04
395,11.419688,22,9.790053e-04
396,11.442251,21,9.943036e-04
397,11.464766,22,9.910909e-04
398,11.487232,22,9.874711e-04
399,11.509647,21,9.930875e-04
400,11.532010,31,9.878947e-04
401,11.554320,17,9.238438e-04
402,11.576575,19,9.371740e-04
403,11.598774,20,9.981996e-04
404,11.620916,28,9.877239e-04
405,11.643000,18,8.965914e-04
406,11.665025,20,9.721622e-04
407,11.686991,32,9.607473e-04
408,11.708896,17,9.299133e-04
409,11.730741,19,8.938522e-04
410,11.752524,20,9.565559e-04
411,11.774246,21,9.808521e-04
412,11.795907,29,9.937308e-04
413,11.817507,17,9.651310e-04
414,11.839046,19,9.577265e-04
415,11.860526,20,9.966885e-04
416,11.881945,21,9.954487e-04
417,11.903307,20,9.900993e-04
418,11.924612,20,9.879146e-04
419,11.945861,20,9.754667e-04
420,11.967056,20,9.455068e-04
421,11.988199,20,9.171571e-04
422,12.009292,19,9.798031e-04
423,12.030338,19,9.852378e-04
424,12.051338,19,9.808913e-04
425,12.072295,19,9.662637e-04
426,12.093212,19,9.567465e-04
427,12.114092,19,9.494109e-04
428,12.134938,19,9.443188e-04
429,12.155752,19,9.416313e-04
430,12.176539,19,9.392688e-04
431,12.197301,19,9.393136e-04
432,12.218041,19,9.401973e-04
433,12.238762,19,9.422960e-04
434,12.259469,19,9.439448e-04
435,12.280163,19,9.472237e-04
436,12.300850,19,9.503556e-04
437,12.321530,19,9.558326e-04
438,12.342208,19,9.613380e-04
439,12.362887,19,9.672981e-04
440,12.383570,19,9.721188e-04
441,12.404259,19,9.779467e-04
442,12.424958,19,9.839564e-04
443,12.445670,19,9.939943e-04
444,12.466396,20,9.649806e-04
445,12.487140,19,9.524721e-04
446,12.507904,19,9.893999e-04
447,12.528690,20,9.805011e-04
448,12.549501,19,9.625440e-04
449,12.570339,19,9.986602e-04
450,12.591206,20,9.945283e-04
451,12.612104,19,9.720790e-04
452,12.633034,20,9.816424e-04
453,12.654000,19,9.873223e-04
454,12.675001,20,9.935347e-04
455,12.696041,19,9.997234e-04
456,12.717120,21,9.895580e-04
457,12.738240,18,9.909797e-04
458,12.759403,23,9.941224e-04
459,12.780610,16,9.777795e-04
460,12.801861,24,9.797913e-04
461,12.823159,16,9.280660e-04
462,12.844504,24,9.736995e-04
463,12.865897,16,9.560953e-04
464,12.887340,24,9.913460e-04
465,12.908833,16,9.566800e-04
466,12.930377,25,9.512114e-04
467,12.951973,16,9.197783e-04
468,12.973622,24,9.698506e-04
469,12.995324,17,9.439160e-04
470,13.017081,25,9.579749e-04
471,13.038892,16,9.498998e-04
472,13.060759,25,9.513542e-04
473,13.082681,16,9.892535e-04
474,13.104661,25,9.854886e-04
475,13.126697,16,9.907192e-04
476,13.148791,26,9.425014e-04
477,13.170942,16,9.570326e-04
478,13.193152,25,9.907612e-04
479,13.215420,17,9.784162e-04
480,13.237747,26,9.694930e-04
481,13.260133,16,9.896138e-04
482,13.282579,26,9.713203e-04
483,13.305083,17,9.429978e-04
484,13.327648,26,9.840051e-04
485,13.350272,17,9.493514e-04
486,13.372956,27,9.442463e-04
487,13.395700,17,9.258285e-04
488,13.418504,27,9.485596e-04
489,13.441368,18,9.538465e-04
490,13.464292,31,9.904047e-04
491,13.487276,16,9.831382e-04
492,13.510320,31,9.851428e-04
493,13.533424,16,9.982863e-04
494,13.556588,30,9.848772e-04
495,13.579811,17,9.589684e-04
496,13.603094,31,9.926368e-04
497,13.626437,16,9.980886e-04
498,13.649839,29,9.981665e-04
499,13.673301,18,9.724892e-04
500,13.696821,33,9.556666e-04
501,13.720400,17,9.067558e-04
502,13.744037,30,9.912103e-04
503,13.767733,19,9.631201e-04
504,13.791487,32,9.906093e-04
505,13.815299,17,9.544341e-04
506,13.839168,32,9.513073e-04
507,13.863095,17,9.804930e-04
508,13.887079,32,9.639767e-04
509,13.911119,17,9.612546e-04
510,13.935217,32,9.679105e-04
511,13.959370,17,9.658873e-04
512,13.983580,32,9.417835e-04
513,14.007846,17,9.628702e-04
514,14.032168,32,9.455629e-04
515,14.056545,17,9.595975e-04
516,14.080977,31,9.933501e-04
517,14.105464,17,9.941087e-04
518,14.130005,32,9.639225e-04
519,14.154601,17,9.409465e-04
520,14.179250,30,9.900061e-04
521,14.203953,18,9.808807e-04
522,14.228709,32,9.751283e-04
523,14.253518,17,9.327088e-04
524,14.278380,28,9.957674e-04
525,14.303293,28,9.755823e-04
526,14.328259,20,9.445622e-04
527,14.353276,28,9.976001e-04
528,14.378345,20,9.763719e-04
529,14.403465,32,9.809817e-04
530,14.428636,17,9.248347e-04
531,14.453857,27,9.734900e-04
532,14.479129,28,9.702137e-04
533,14.504451,19,9.817268e-04
534,14.529822,31,9.984617e-04
535,14.555244,17,9.954988e-04
536,14.580714,32,9.998737e-04
537,14.606234,17,9.313406e-04
538,14.631803,29,9.736868e-04
