timestep,t,sor_iters,residual
1,0.050000,69,8.793502e-04
2,0.186292,66,9.090406e-04
3,0.273779,51,9.674791e-04
4,0.361609,46,9.306025e-04
5,0.442591,41,9.957861e-04
6,0.518077,37,8.727592e-04
7,0.590174,30,9.136153e-04
8,0.659388,29,8.297936e-04
9,0.726106,22,9.529131e-04
10,0.790634,25,9.715270e-04
11,0.853223,25,9.736501e-04
12,0.914080,28,8.894654e-04
13,0.973379,22,9.757189e-04
14,1.031268,25,9.884952e-04
15,1.087874,22,9.642795e-04
16,1.143309,22,9.315640e-04
17,1.197668,21,9.521355e-04
18,1.251035,21,9.193667e-04
19,1.303487,21,8.972023e-04
20,1.355089,21,8.973074e-04
21,1.405901,21,9.158756e-04
22,1.455977,21,9.388558e-04
23,1.505365,21,9.628117e-04
24,1.554110,21,9.852247e-04
25,1.602252,22,9.021357e-04
26,1.649826,21,9.937424e-04
27,1.696868,22,9.383686e-04
28,1.743406,22,9.305588e-04
29,1.789471,22,9.369525e-04
30,1.835089,22,9.537836e-04
31,1.880283,22,9.570284e-04
32,1.925077,22,9.629965e-04
33,1.969491,22,9.656170e-04
34,2.013546,22,9.670180e-04
35,2.057260,22,9.669441e-04
36,2.100649,22,9.655967e-04
37,2.143731,22,9.629552e-04
38,2.186521,22,9.593698e-04
39,2.229032,22,9.546823e-04
40,2.271279,22,9.491268e-04
41,2.313274,22,9.427106e-04
42,2.355030,22,9.355449e-04
43,2.396356,21,9.941363e-04
44,2.436913,21,8.771621e-04
45,2.476978,19,9.493713e-04
46,2.516567,20,9.107637e-04
47,2.555695,19,9.501680e-04
48,2.594377,19,9.569741e-04
49,2.632630,19,9.770968e-04
50,2.670469,19,9.291800e-04
51,2.707907,19,9.531541e-04
52,2.744959,19,9.382886e-04
53,2.781638,19,9.460940e-04
54,2.817957,19,9.369776e-04
55,2.853929,19,9.431103e-04
56,2.889565,19,9.338459e-04
57,2.924878,19,9.377335e-04
58,2.959878,19,9.291238e-04
59,2.994578,19,9.307785e-04
60,3.028987,19,9.222051e-04
61,3.063116,19,9.222473e-04
62,3.096975,19,9.133631e-04
63,3.130574,19,9.119704e-04
64,3.163921,19,9.026686e-04
65,3.197027,19,9.000214e-04
66,3.229898,18,9.902454e-04
67,3.262545,19,9.344102e-04
68,3.294974,18,9.672324e-04
69,3.327193,18,9.804690e-04
70,3.359211,19,9.104426e-04
71,3.391032,17,9.718341e-04
72,3.422666,19,9.458854e-04
73,3.454118,18,9.613420e-04
74,3.485396,17,9.774567e-04
75,3.516504,19,9.023955e-04
76,3.547450,16,9.237348e-04
77,3.578238,19,9.579953e-04
78,3.608875,18,9.594997e-04
79,3.639366,16,9.340377e-04
80,3.669716,18,9.919203e-04
81,3.699930,16,9.497075e-04
82,3.730013,17,9.949766e-04
83,3.759969,18,9.285005e-04
84,3.789804,13,9.453932e-04
85,3.819521,19,9.361576e-04
86,3.849125,9,9.920616e-04
87,3.878619,21,9.551434e-04
88,3.908009,9,9.326209e-04
