timestep,t,sor_iters,residual
1,0.050000,346,9.912114e-04
2,0.186296,327,9.989971e-04
3,0.273780,225,9.877481e-04
4,0.361594,186,9.919804e-04
5,0.442545,147,9.869754e-04
6,0.517986,112,9.853218e-04
7,0.590032,78,9.893653e-04
8,0.659192,45,9.965597e-04
9,0.725854,23,9.938727e-04
10,0.790327,19,9.758046e-04
11,0.852862,19,9.557053e-04
12,0.913669,21,9.801115e-04
13,0.972926,25,9.930110e-04
14,1.030779,26,9.851619e-04
15,1.087356,23,9.905161e-04
16,1.142766,21,9.985996e-04
17,1.197104,20,9.911703e-04
18,1.250454,19,9.901596e-04
19,1.302889,19,9.641693e-04
20,1.354477,18,9.879300e-04
21,1.405277,19,9.557539e-04
22,1.455340,18,9.878459e-04
23,1.504716,19,9.745338e-04
24,1.553448,19,9.714727e-04
25,1.601577,19,9.777294e-04
26,1.649139,19,9.878809e-04
27,1.696167,19,9.979324e-04
28,1.742692,20,9.673530e-04
29,1.788742,19,9.824663e-04
30,1.834345,20,9.636688e-04
31,1.879525,19,9.869870e-04
32,1.924303,20,9.745118e-04
33,1.968702,19,9.990992e-04
34,2.012741,20,9.863085e-04
35,2.056438,20,9.735869e-04
36,2.099811,19,9.971270e-04
37,2.142876,20,9.848217e-04
38,2.185648,20,9.711593e-04
39,2.228141,19,9.907222e-04
40,2.270369,20,9.757908e-04
41,2.312345,19,9.897910e-04
42,2.354081,20,9.697777e-04
43,2.395399,18,9.931110e-04
44,2.435943,18,9.876544e-04
45,2.475994,18,9.744272e-04
46,2.515567,16,9.985481e-04
47,2.554679,16,9.944607e-04
48,2.593346,16,9.741682e-04
49,2.631583,15,9.860710e-04
50,2.669406,15,9.882359e-04
51,2.706828,15,9.861164e-04
52,2.743863,15,9.788007e-04
53,2.780526,15,9.668780e-04
54,2.816828,14,9.998992e-04
55,2.852782,15,9.697151e-04
56,2.888401,15,9.551670e-04
57,2.923697,14,9.895948e-04
58,2.958680,15,9.659336e-04
59,2.993362,15,9.564490e-04
60,3.027754,14,9.914936e-04
61,3.061865,15,9.683294e-04
62,3.095707,14,9.975114e-04
63,3.129288,15,9.688362e-04
64,3.162618,14,9.901008e-04
65,3.195706,14,9.972202e-04
66,3.228560,14,9.993949e-04
67,3.261188,14,9.970567e-04
68,3.293599,14,9.906063e-04
69,3.325801,14,9.808317e-04
70,3.357800,14,9.688758e-04
71,3.389604,14,9.558981e-04
