timestep,t,sor_iters,residual
1,0.050000,500,1.288074e+00
2,0.067188,500,9.992695e-01
3,0.098553,500,1.217031e-01
4,0.131147,500,5.739747e-01
5,0.166203,500,9.041463e-01
6,0.202837,500,8.824052e-01
7,0.240194,500,6.306712e-01
8,0.277558,500,2.870018e-01
9,0.314581,500,3.415932e-02
10,0.351314,500,2.559508e-01
11,0.388054,500,3.454519e-01
12,0.425172,500,3.133669e-01
13,0.462993,500,2.023459e-01
14,0.501727,500,6.658381e-02
15,0.541450,500,4.807092e-02
16,0.582098,500,1.156728e-01
17,0.622802,500,1.323037e-01
18,0.663687,500,1.080032e-01
19,0.704775,500,6.093887e-02
20,0.746025,500,1.045867e-02
21,0.787414,500,2.863922e-02
22,0.828966,500,4.882423e-02
23,0.870726,500,4.985085e-02
24,0.912743,500,3.682944e-02
25,0.955060,500,1.733307e-02
26,0.997708,500,1.402727e-03
27,1.040706,500,1.440603e-02
28,1.083756,500,1.974944e-02
29,1.126686,500,1.817073e-02
30,1.169666,500,1.200187e-02
31,1.212720,500,4.228099e-03
32,1.255875,500,2.554273e-03
33,1.299162,500,6.747970e-03
34,1.342611,500,7.919619e-03
35,1.386236,500,6.595207e-03
36,1.430045,500,3.845124e-03
37,1.473966,233,9.996104e-04
38,1.517658,500,1.307664e-03
39,1.561338,500,2.583769e-03
40,1.605032,500,2.767196e-03
41,1.648767,500,2.112592e-03
42,1.692580,500,1.034544e-03
43,1.736511,29,9.776809e-04
44,1.780608,302,9.992492e-04
45,1.824913,500,1.393726e-03
46,1.869011,500,1.330860e-03
47,1.913044,413,9.996091e-04
48,1.957026,36,9.917386e-04
49,2.000999,40,9.930552e-04
50,2.045000,41,9.785373e-04
51,2.089051,44,9.875439e-04
52,2.133174,47,9.929157e-04
53,2.177280,46,9.933981e-04
54,2.221239,43,9.948459e-04
55,2.265186,41,9.848476e-04
56,2.309143,38,9.873091e-04
57,2.353130,36,9.911493e-04
58,2.397168,35,9.834106e-04
59,2.441271,34,9.830118e-04
60,2.485451,34,9.898825e-04
61,2.529636,36,9.830351e-04
62,2.573722,39,9.885945e-04
63,2.617811,46,9.956244e-04
64,2.661919,63,9.975529e-04
65,2.706054,105,9.994676e-04
66,2.750228,179,9.995084e-04
67,2.794447,155,9.997736e-04
68,2.838718,93,9.991827e-04
69,2.883045,80,9.991543e-04
70,2.927428,73,9.999649e-04
71,2.971721,66,9.996661e-04
72,3.016015,58,9.974397e-04
73,3.060317,51,9.972799e-04
74,3.104631,47,9.949181e-04
75,3.148960,43,9.961020e-04
76,3.193306,41,9.968810e-04
77,3.237669,40,9.935632e-04
78,3.282048,38,9.985507e-04
79,3.326445,39,9.975141e-04
80,3.370859,39,9.953139e-04
81,3.415290,40,9.951680e-04
