timestep,t,sor_iters,residual
1,0.050000,271,9.803145e-04
2,0.093117,246,9.778370e-04
3,0.136663,227,9.902936e-04
4,0.180300,210,9.711694e-04
5,0.220383,191,9.647153e-04
6,0.257562,175,9.681195e-04
7,0.292950,165,9.789825e-04
8,0.326819,150,9.783163e-04
9,0.359378,132,9.944963e-04
10,0.390788,114,8.118851e-04
11,0.421182,114,7.976540e-04
12,0.450670,114,8.951804e-04
13,0.479343,114,8.444250e-04
14,0.507279,114,8.102856e-04
15,0.534544,114,7.883972e-04
16,0.561196,113,9.757249e-04
17,0.587284,113,9.492585e-04
18,0.612853,113,9.358082e-04
19,0.637941,113,9.122780e-04
20,0.662582,113,8.910088e-04
21,0.686807,112,9.756369e-04
22,0.710643,112,9.295374e-04
23,0.734116,109,9.985186e-04
24,0.757247,106,9.943795e-04
25,0.780056,99,9.922322e-04
26,0.802564,97,9.994375e-04
27,0.824785,92,9.870694e-04
28,0.846737,89,9.934831e-04
29,0.868432,86,9.952238e-04
30,0.889885,84,9.913926e-04
31,0.911108,82,9.979705e-04
32,0.932111,81,9.950787e-04
33,0.952905,80,9.939293e-04
34,0.973501,80,9.761167e-04
35,0.993907,80,9.726471e-04
36,1.014131,80,9.680226e-04
37,1.034183,80,9.769380e-04
38,1.054068,80,9.841694e-04
39,1.073795,80,9.990904e-04
40,1.093369,81,9.773650e-04
41,1.112798,81,9.865393e-04
42,1.132086,82,9.703571e-04
43,1.151240,82,9.829510e-04
44,1.170265,82,9.990653e-04
45,1.189166,83,9.866888e-04
46,1.207947,83,9.887120e-04
47,1.226613,84,9.738769e-04
48,1.245169,84,9.859205e-04
49,1.263618,84,9.972654e-04
50,1.281964,85,9.838771e-04
51,1.300211,85,9.846993e-04
52,1.318363,85,9.923541e-04
53,1.336423,86,9.793825e-04
54,1.354393,85,9.989148e-04
55,1.372278,86,9.942917e-04
56,1.390081,86,9.926190e-04
57,1.407803,86,9.936814e-04
58,1.425448,87,9.802361e-04
59,1.443019,86,9.954150e-04
60,1.460517,87,9.856299e-04
61,1.477946,87,9.837063e-04
62,1.495308,87,9.815643e-04
63,1.512604,87,9.898685e-04
64,1.529838,87,9.876606e-04
65,1.547011,87,9.901547e-04
66,1.564125,87,9.897164e-04
67,1.581183,87,9.914236e-04
68,1.598185,87,9.892735e-04
69,1.615135,87,9.890297e-04
70,1.632033,87,9.878912e-04
71,1.648882,87,9.870865e-04
72,1.665682,87,9.848361e-04
73,1.682437,87,9.838834e-04
74,1.699146,87,9.802599e-04
75,1.715812,87,9.783820e-04
76,1.732437,86,9.989189e-04
77,1.749021,86,9.983320e-04
78,1.765566,86,9.968899e-04
79,1.782074,86,9.897567e-04
80,1.798545,86,9.893170e-04
81,1.814981,86,9.825990e-04
82,1.831383,86,9.808150e-04
83,1.847753,86,9.737967e-04
84,1.864091,85,9.980162e-04
85,1.880399,85,9.973747e-04
86,1.896678,85,9.928364e-04
87,1.912929,85,9.839127e-04
88,1.929152,85,9.822646e-04
89,1.945350,84,9.971519e-04
90,1.961523,84,9.943623e-04
91,1.977672,84,9.921427e-04
92,1.993798,84,9.817003e-04
93,2.009901,84,9.812598e-04
94,2.025984,83,9.972157e-04
95,2.042047,83,9.956745e-04
96,2.058090,83,9.928905e-04
97,2.074115,83,9.817159e-04
98,2.090122,83,9.786412e-04
99,2.106112,82,9.967903e-04
100,2.122087,82,9.928483e-04
101,2.138046,82,9.900070e-04
102,2.153992,82,9.790438e-04
103,2.169923,81,9.983029e-04
104,2.185842,81,9.939031e-04
105,2.201749,81,9.866610e-04
106,2.217644,81,9.761313e-04
107,2.233435,84,9.607576e-04
108,2.249150,80,9.767665e-04
109,2.264801,77,9.644004e-04
110,2.280389,78,9.633309e-04
111,2.295916,74,9.763279e-04
112,2.311381,75,9.985757e-04
113,2.326786,73,9.928221e-04
114,2.342132,73,9.802634e-04
115,2.357419,73,9.849651e-04
116,2.372649,72,9.886206e-04
117,2.387821,72,9.932841e-04
118,2.402937,72,9.971717e-04
119,2.417997,71,9.863764e-04
120,2.433004,72,9.930496e-04
121,2.447956,71,9.793920e-04
122,2.462857,71,9.867751e-04
123,2.477705,71,9.933593e-04
124,2.492503,71,9.798333e-04
125,2.507251,71,9.762311e-04
126,2.521950,71,9.787867e-04
127,2.536602,70,9.954027e-04
128,2.551206,71,9.808762e-04
129,2.565765,70,9.856580e-04
130,2.580279,70,9.872389e-04
131,2.594749,71,9.746643e-04
132,2.609175,69,9.918767e-04
133,2.623560,70,9.996053e-04
134,2.637903,71,9.768937e-04
