timestep,t,sor_iters,residual
1,0.050000,136,9.780033e-04
2,0.093117,124,8.667427e-04
3,0.136662,114,9.372556e-04
4,0.180300,106,9.518890e-04
5,0.220383,96,9.654003e-04
6,0.257562,88,9.623269e-04
7,0.292950,83,9.748866e-04
8,0.326819,76,9.646409e-04
9,0.359378,67,9.735205e-04
10,0.390788,57,9.121227e-04
11,0.421182,57,8.932974e-04
12,0.450670,58,6.318603e-04
13,0.479343,57,9.468561e-04
14,0.507279,57,9.002783e-04
15,0.534545,57,8.736732e-04
16,0.561196,57,8.529086e-04
17,0.587285,57,8.397948e-04
18,0.612853,57,8.281984e-04
19,0.637941,57,8.164202e-04
20,0.662582,57,8.014334e-04
21,0.686807,57,7.817704e-04
22,0.710643,56,9.556461e-04
23,0.734116,55,9.967669e-04
24,0.757247,53,9.857766e-04
25,0.780057,50,9.955410e-04
26,0.802564,49,9.856930e-04
27,0.824786,46,9.837370e-04
28,0.846737,45,9.842899e-04
29,0.868433,43,9.981891e-04
30,0.889885,43,9.568403e-04
31,0.911108,41,9.940551e-04
32,0.932111,41,9.772428e-04
33,0.952906,41,9.440678e-04
34,0.973501,40,9.809805e-04
35,0.993907,40,9.877337e-04
36,1.014132,40,9.842813e-04
37,1.034183,40,9.867178e-04
38,1.054069,40,9.967417e-04
39,1.073795,41,9.459339e-04
40,1.093370,41,9.459043e-04
41,1.112798,41,9.639399e-04
42,1.132087,41,9.818055e-04
43,1.151241,41,9.961983e-04
44,1.170266,42,9.546255e-04
45,1.189166,42,9.535716e-04
46,1.207947,42,9.700625e-04
47,1.226614,42,9.857007e-04
48,1.245169,42,9.969394e-04
49,1.263618,43,9.562687e-04
50,1.281964,43,9.511869e-04
51,1.300212,43,9.635668e-04
52,1.318363,43,9.751453e-04
53,1.336423,43,9.820897e-04
54,1.354394,43,9.895737e-04
55,1.372279,43,9.957780e-04
56,1.390081,44,9.527808e-04
57,1.407804,43,9.904234e-04
58,1.425449,44,9.646040e-04
59,1.443019,44,9.554074e-04
60,1.460518,44,9.567440e-04
61,1.477947,44,9.645131e-04
62,1.495308,44,9.645634e-04
63,1.512605,44,9.671099e-04
64,1.529839,44,9.681473e-04
65,1.547012,44,9.690176e-04
66,1.564126,44,9.693962e-04
67,1.581183,44,9.693827e-04
68,1.598186,44,9.690553e-04
69,1.615135,44,9.682745e-04
70,1.632033,44,9.672586e-04
71,1.648882,44,9.658685e-04
72,1.665683,44,9.642066e-04
73,1.682437,44,9.622876e-04
74,1.699147,44,9.600118e-04
75,1.715813,44,9.575984e-04
76,1.732437,44,9.547910e-04
77,1.749021,43,9.983322e-04
78,1.765567,44,9.593656e-04
79,1.782074,43,9.865160e-04
80,1.798545,43,9.971849e-04
81,1.814981,43,9.952211e-04
82,1.831384,43,9.830988e-04
83,1.847753,43,9.836493e-04
84,1.864092,43,9.768629e-04
85,1.880400,43,9.728075e-04
86,1.896678,43,9.676807e-04
87,1.912929,43,9.627863e-04
88,1.929153,43,9.575934e-04
89,1.945351,43,9.523359e-04
90,1.961523,42,9.948584e-04
91,1.977672,43,9.531877e-04
92,1.993798,42,9.777495e-04
93,2.009902,42,9.869266e-04
94,2.025985,42,9.830794e-04
95,2.042047,42,9.676363e-04
96,2.058090,42,9.681421e-04
97,2.074115,42,9.584777e-04
98,2.090122,42,9.533245e-04
99,2.106113,41,9.973778e-04
100,2.122088,42,9.544650e-04
101,2.138047,41,9.779998e-04
102,2.153992,41,9.865384e-04
103,2.169924,41,9.828992e-04
104,2.185843,41,9.646722e-04
105,2.201749,41,9.662121e-04
106,2.217645,41,9.547654e-04
107,2.233436,42,9.736539e-04
108,2.249150,40,9.807231e-04
109,2.264801,39,9.341315e-04
110,2.280390,39,9.603578e-04
111,2.295916,37,9.861381e-04
112,2.311382,38,9.804821e-04
113,2.326787,37,9.578827e-04
114,2.342133,36,9.986946e-04
115,2.357420,37,9.802790e-04
116,2.372649,36,9.788870e-04
117,2.387821,36,9.846026e-04
118,2.402937,37,9.646988e-04
119,2.417998,35,9.809660e-04
120,2.433004,37,9.655238e-04
121,2.447957,36,9.767977e-04
122,2.462857,35,9.867764e-04
123,2.477706,37,9.624344e-04
124,2.492504,34,9.894917e-04
125,2.507252,36,9.958538e-04
126,2.521951,37,9.469497e-04
127,2.536603,32,9.936668e-04
128,2.551207,38,9.768347e-04
129,2.565766,33,9.994758e-04
130,2.580280,36,9.923838e-04
131,2.594749,37,9.710521e-04
132,2.609176,30,9.927559e-04
133,2.623561,39,9.721410e-04
134,2.637904,24,9.871252e-04
135,2.652207,43,9.540215e-04
136,2.666471,20,9.533710e-04
137,2.680696,41,9.603909e-04
138,2.694884,21,9.785266e-04
139,2.709035,43,9.584475e-04
140,2.723151,20,9.182567e-04
141,2.737232,40,9.807454e-04
142,2.751278,36,9.889262e-04
143,2.765292,30,9.524554e-04
144,2.779273,37,9.897695e-04
145,2.793222,25,9.788913e-04
146,2.807141,42,9.675811e-04
147,2.821030,20,9.187555e-04
148,2.834890,40,9.977206e-04
149,2.848721,20,9.716880e-04
150,2.862524,43,9.668568e-04
151,2.876301,20,8.825331e-04
152,2.890052,39,9.717388e-04
153,2.903777,37,9.406286e-04
154,2.917477,27,9.636803e-04
155,2.931153,38,9.628768e-04
156,2.944806,21,9.962762e-04
157,2.958437,43,9.765999e-04
158,2.972045,20,8.768547e-04
159,2.985632,38,9.846168e-04
160,2.999198,37,9.631842e-04
161,3.012744,26,9.654034e-04
162,3.026271,38,9.661866e-04
163,3.039779,22,9.828379e-04
164,3.053268,42,9.991447e-04
165,3.066740,20,8.642853e-04
166,3.080194,38,9.738643e-04
167,3.093632,37,9.682253e-04
168,3.107054,25,9.980845e-04
169,3.120461,38,9.916552e-04
170,3.133853,22,9.833065e-04
171,3.147230,43,9.621612e-04
172,3.160594,20,8.972845e-04
173,3.173944,35,9.752618e-04
174,3.187281,38,9.246234e-04
175,3.200606,20,9.985183e-04
176,3.213919,38,9.956462e-04
177,3.227221,38,9.644386e-04
178,3.240512,25,9.852558e-04
179,3.253793,37,9.704473e-04
180,3.267063,38,9.871751e-04
181,3.280324,25,9.584102e-04
182,3.293576,38,9.962597e-04
183,3.306819,24,9.874278e-04
184,3.320055,44,9.611090e-04
185,3.333282,21,8.704666e-04
186,3.346502,30,9.799517e-04
187,3.359715,40,9.715956e-04
188,3.372921,20,9.973267e-04
189,3.386122,40,9.939312e-04
190,3.399316,22,9.594980e-04
191,3.412505,45,9.738888e-04
192,3.425690,21,9.619159e-04
193,3.438869,30,9.934472e-04
194,3.452045,41,9.862182e-04
195,3.465216,22,9.033690e-04
196,3.478384,40,9.991517e-04
197,3.491549,23,9.510701e-04
198,3.504712,45,9.820891e-04
199,3.517871,22,9.162526e-04
200,3.531029,36,9.854527e-04
201,3.544185,40,9.439196e-04
202,3.557340,22,9.927827e-04
203,3.570493,42,9.801539e-04
204,3.583646,23,9.887478e-04
205,3.596798,45,9.523281e-04
206,3.609895,43,9.652763e-04
207,3.622552,58,9.904309e-04
208,3.634984,56,9.399395e-04
