timestep,t,sor_iters,residual
1,0.050000,1000,4.804583e-03
2,0.093136,1000,2.048204e-03
3,0.136687,1000,1.218554e-03
4,0.180316,895,9.982526e-04
5,0.220428,750,9.968913e-04
6,0.257609,621,9.975771e-04
7,0.292996,491,9.957754e-04
8,0.326862,354,9.975105e-04
9,0.359415,215,9.965613e-04
10,0.390819,107,9.991295e-04
11,0.421206,90,9.921098e-04
12,0.450687,119,9.959654e-04
13,0.479355,167,9.978241e-04
14,0.507287,166,9.988435e-04
15,0.534549,149,9.960069e-04
16,0.561199,132,9.962782e-04
17,0.587287,120,9.966500e-04
18,0.612856,110,9.960811e-04
19,0.637945,100,9.986986e-04
20,0.662588,92,9.994179e-04
21,0.686815,85,9.999706e-04
22,0.710654,80,9.950833e-04
23,0.734130,75,9.930019e-04
24,0.757264,71,9.927694e-04
25,0.780078,68,9.902911e-04
26,0.802589,65,9.914236e-04
27,0.824815,63,9.898553e-04
28,0.846771,61,9.904686e-04
29,0.868471,59,9.982180e-04
30,0.889929,59,9.876518e-04
31,0.911156,57,9.940199e-04
32,0.932163,57,9.912301e-04
33,0.952962,56,9.962448e-04
34,0.973562,56,9.963707e-04
35,0.993973,56,9.934489e-04
36,1.014201,56,9.907822e-04
37,1.034257,56,9.903481e-04
38,1.054146,56,9.926142e-04
39,1.073876,56,9.971038e-04
40,1.093454,57,9.892976e-04
41,1.112886,56,9.989499e-04
42,1.132178,57,9.980479e-04
43,1.151336,57,9.987110e-04
44,1.170364,58,9.898607e-04
45,1.189267,57,9.982099e-04
46,1.208051,58,9.978747e-04
47,1.226720,58,9.990673e-04
48,1.245278,59,9.911321e-04
49,1.263729,58,9.984892e-04
50,1.282078,59,9.976121e-04
51,1.300327,59,9.977691e-04
52,1.318481,60,9.892699e-04
53,1.336542,59,9.946072e-04
54,1.354515,60,9.924092e-04
55,1.372402,60,9.911649e-04
56,1.390205,60,9.919552e-04
57,1.407929,60,9.942401e-04
58,1.425576,60,9.971409e-04
59,1.443147,61,9.901283e-04
60,1.460647,60,9.935188e-04
61,1.478077,60,9.986558e-04
62,1.495439,61,9.933987e-04
63,1.512736,60,9.970413e-04
64,1.529971,61,9.921381e-04
65,1.547144,60,9.961096e-04
66,1.564259,61,9.914667e-04
67,1.581316,60,9.952152e-04
68,1.598319,60,9.993533e-04
69,1.615269,61,9.928467e-04
70,1.632167,60,9.939521e-04
71,1.649015,60,9.956938e-04
72,1.665816,60,9.963490e-04
73,1.682570,60,9.956176e-04
74,1.699279,60,9.936872e-04
75,1.715945,59,9.995867e-04
76,1.732568,60,9.957946e-04
77,1.749152,59,9.981004e-04
78,1.765696,59,9.997244e-04
79,1.782203,59,9.993012e-04
80,1.798673,59,9.968987e-04
81,1.815108,59,9.930072e-04
82,1.831510,58,9.966127e-04
83,1.847878,58,9.995323e-04
84,1.864215,58,9.999260e-04
85,1.880522,58,9.977391e-04
86,1.896799,58,9.934962e-04
87,1.913048,57,9.961661e-04
88,1.929271,57,9.979676e-04
89,1.945467,57,9.972472e-04
90,1.961638,57,9.940454e-04
91,1.977785,56,9.971399e-04
92,1.993909,56,9.989179e-04
93,2.010011,56,9.978345e-04
94,2.026092,56,9.940230e-04
95,2.042152,55,9.963042e-04
96,2.058194,55,9.972838e-04
97,2.074216,55,9.955158e-04
98,2.090221,54,9.993343e-04
99,2.106210,55,9.930431e-04
100,2.122182,53,9.996796e-04
101,2.138139,54,9.972690e-04
102,2.154082,53,9.990307e-04
103,2.170011,53,9.988016e-04
104,2.185927,53,9.955758e-04
105,2.201831,52,9.979245e-04
106,2.217724,52,9.985479e-04
107,2.233514,57,9.963490e-04
108,2.249226,61,9.981720e-04
109,2.264876,58,9.968592e-04
110,2.280462,52,9.951642e-04
111,2.295987,47,9.970991e-04
112,2.311450,45,9.965809e-04
113,2.326853,44,9.941259e-04
114,2.342197,43,9.944972e-04
115,2.357482,42,9.985576e-04
116,2.372709,42,9.954902e-04
117,2.387879,40,9.992503e-04
118,2.402993,40,9.952759e-04
119,2.418052,39,9.918921e-04
120,2.433056,38,9.939499e-04
121,2.448006,38,9.951157e-04
122,2.462904,38,9.961735e-04
123,2.477750,38,9.986351e-04
124,2.492546,39,9.937765e-04
125,2.507291,38,9.989015e-04
126,2.521988,39,9.973514e-04
127,2.536637,39,9.947723e-04
128,2.551239,39,9.917262e-04
129,2.565796,38,9.968405e-04
130,2.580307,39,9.926802e-04
131,2.594774,38,9.944463e-04
132,2.609198,38,9.955660e-04
133,2.623580,38,9.945985e-04
134,2.637921,38,9.914566e-04
135,2.652221,37,9.957034e-04
136,2.666483,37,9.992933e-04
137,2.680705,38,9.912277e-04
138,2.694890,36,9.989906e-04
139,2.709039,37,9.983150e-04
140,2.723152,37,9.947457e-04
141,2.737230,36,9.994099e-04
142,2.751273,37,9.945941e-04
143,2.765284,36,9.969292e-04
144,2.779262,36,9.994114e-04
145,2.793209,37,9.909378e-04
146,2.807125,35,9.993461e-04
147,2.821010,36,9.991962e-04
148,2.834867,36,9.960052e-04
149,2.848695,36,9.912735e-04
150,2.862496,35,9.952175e-04
151,2.876270,35,9.989393e-04
152,2.890017,36,9.906700e-04
153,2.903739,34,9.994149e-04
154,2.917436,35,9.986804e-04
155,2.931110,35,9.945792e-04
156,2.944759,34,9.988630e-04
157,2.958387,35,9.923711e-04
158,2.971992,34,9.932858e-04
159,2.985575,34,9.938898e-04
160,2.999138,34,9.926883e-04
161,3.012681,34,9.897272e-04
162,3.026204,33,9.958145e-04
163,3.039709,34,9.902931e-04
164,3.053195,33,9.925796e-04
165,3.066663,33,9.942283e-04
166,3.080114,33,9.936889e-04
167,3.093549,33,9.910739e-04
168,3.106968,32,9.977785e-04
169,3.120371,33,9.916277e-04
170,3.133759,32,9.938215e-04
171,3.147133,32,9.950058e-04
172,3.160493,32,9.937363e-04
173,3.173840,32,9.903608e-04
174,3.187173,31,9.972130e-04
175,3.200495,32,9.899854e-04
176,3.213804,31,9.924569e-04
177,3.227102,31,9.937576e-04
178,3.240390,31,9.925146e-04
179,3.253666,31,9.892838e-04
180,3.266933,30,9.975423e-04
181,3.280190,31,9.898117e-04
182,3.293439,30,9.935994e-04
183,3.306678,30,9.957136e-04
184,3.319909,30,9.950111e-04
185,3.333133,30,9.923688e-04
186,3.346349,30,9.885163e-04
187,3.359558,29,9.983540e-04
188,3.372760,30,9.894460e-04
189,3.385957,29,9.952977e-04
190,3.399147,29,9.987998e-04
191,3.412333,29,9.995180e-04
192,3.425513,29,9.988069e-04
193,3.438688,29,9.974977e-04
194,3.451860,29,9.960156e-04
195,3.465027,29,9.946129e-04
196,3.478191,29,9.934898e-04
197,3.491352,29,9.928873e-04
198,3.504510,29,9.930327e-04
199,3.517665,29,9.941856e-04
200,3.530819,29,9.966338e-04
201,3.543970,30,9.854900e-04
202,3.557121,29,9.961200e-04
203,3.570270,30,9.922677e-04
204,3.583418,30,9.942092e-04
205,3.596566,31,9.873792e-04
206,3.609672,40,9.989972e-04
207,3.622331,204,9.979396e-04
208,3.634765,162,9.982986e-04
209,3.646989,110,9.980524e-04
210,3.659022,73,9.992185e-04
211,3.670846,67,9.949459e-04
212,3.682488,52,9.992357e-04
213,3.693954,47,9.967796e-04
214,3.705234,46,9.958804e-04
215,3.716352,42,9.876427e-04
216,3.727303,41,9.844634e-04
217,3.738091,40,9.894375e-04
