timestep,t,sor_iters,residual
1,0.050000,18,8.456312e-01
2,0.053254,19,1.321986e+00
3,0.080680,18,9.153966e-01
4,0.105995,17,4.658143e-01
5,0.131334,6,6.364564e-03
6,0.156406,16,3.928264e-01
7,0.180921,18,6.756750e-01
8,0.204402,18,8.343581e-01
9,0.227349,18,8.587495e-01
10,0.250754,18,7.502651e-01
11,0.274669,17,5.523555e-01
12,0.299343,16,3.101443e-01
13,0.324958,11,6.857447e-02
14,0.350253,14,1.359425e-01
15,0.375739,16,2.873578e-01
16,0.401511,16,3.740153e-01
17,0.427564,16,3.953331e-01
18,0.453820,16,3.601099e-01
19,0.480093,16,2.834623e-01
20,0.506532,14,1.805968e-01
21,0.533130,11,6.965732e-02
22,0.559874,9,3.337715e-02
23,0.586195,13,1.160496e-01
24,0.611998,14,1.719999e-01
25,0.637739,14,1.974093e-01
26,0.663528,14,1.934179e-01
27,0.689451,14,1.652633e-01
28,0.715556,13,1.208633e-01
29,0.741862,11,6.898836e-02
30,0.768359,8,1.800105e-02
31,0.795011,9,2.544119e-02
32,0.821615,11,5.686610e-02
33,0.847804,11,7.465589e-02
34,0.873797,11,7.815070e-02
35,0.899592,11,6.898797e-02
36,0.925190,10,5.022540e-02
37,0.950600,9,2.590498e-02
38,0.975833,1,9.907174e-04
39,1.000902,9,2.378001e-02
40,1.025828,10,4.235226e-02
41,1.050628,10,5.405598e-02
42,1.075321,11,5.825332e-02
43,1.099926,10,5.526671e-02
44,1.124458,10,4.656549e-02
45,1.148930,9,3.404648e-02
46,1.173353,8,1.970294e-02
47,1.197707,5,5.799710e-03
48,1.221994,6,6.143026e-03
49,1.246231,7,1.492276e-02
50,1.270425,8,1.979880e-02
51,1.294580,8,2.092168e-02
52,1.318697,8,1.872257e-02
53,1.342781,7,1.408716e-02
54,1.366832,6,7.881414e-03
55,1.390854,1,9.980524e-04
56,1.414850,5,4.312360e-03
57,1.438823,6,8.912860e-03
58,1.462778,7,1.197751e-02
59,1.486716,7,1.318473e-02
60,1.510619,7,1.270589e-02
61,1.534501,7,1.086760e-02
62,1.558335,6,8.086644e-03
63,1.582132,5,5.025475e-03
64,1.605898,2,1.544692e-03
65,1.629635,1,9.720398e-04
66,1.653345,4,2.296387e-03
67,1.677029,4,2.990794e-03
68,1.700689,4,2.889294e-03
69,1.724326,4,2.102927e-03
70,1.747941,1,9.612969e-04
71,1.771528,1,9.995427e-04
72,1.795088,4,2.851011e-03
73,1.818627,5,4.477858e-03
74,1.842146,5,5.754359e-03
75,1.865647,6,6.503667e-03
76,1.889132,6,6.763130e-03
77,1.912604,6,6.527166e-03
78,1.936065,5,5.919084e-03
79,1.959515,5,4.991149e-03
80,1.982958,4,3.865185e-03
81,2.006393,4,2.800089e-03
82,2.029823,1,1.304360e-03
83,2.053249,1,9.812264e-04
84,2.076675,1,9.947934e-04
85,2.100100,1,9.986734e-04
86,2.123528,1,9.981426e-04
87,2.146949,1,9.980889e-04
88,2.170371,1,9.997207e-04
89,2.193797,1,1.180948e-03
90,2.217227,1,1.173303e-03
91,2.240664,1,9.997185e-04
92,2.264108,1,9.962060e-04
93,2.287561,1,9.944444e-04
94,2.311025,1,9.957085e-04
95,2.334499,1,9.936871e-04
96,2.357977,1,9.955475e-04
97,2.381387,1,9.930968e-04
98,2.404775,1,9.971838e-04
99,2.428142,1,9.986953e-04
100,2.451492,3,1.758158e-03
101,2.474827,4,1.991972e-03
102,2.498149,2,1.596533e-03
103,2.521459,4,2.107900e-03
104,2.544758,3,1.985126e-03
105,2.568047,1,9.994800e-04
106,2.591326,1,9.876898e-04
107,2.614597,1,9.871889e-04
108,2.637859,1,9.931626e-04
109,2.661112,1,9.998818e-04
110,2.684357,1,9.970463e-04
111,2.707593,1,9.989140e-04
112,2.730821,1,9.970313e-04
113,2.754041,1,9.987601e-04
114,2.777252,2,1.442788e-03
115,2.800454,4,2.221371e-03
116,2.823649,2,1.728030e-03
117,2.846835,4,2.295884e-03
118,2.870013,2,1.583094e-03
119,2.893183,3,1.989497e-03
120,2.916347,1,9.999880e-04
121,2.939506,1,9.989592e-04
122,2.962663,1,9.996286e-04
123,2.985819,1,9.990958e-04
124,3.008977,1,9.992091e-04
125,3.032140,1,9.992383e-04
126,3.055302,1,9.999175e-04
127,3.078467,1,9.993891e-04
128,3.101639,1,9.999140e-04
129,3.124821,1,9.963252e-04
130,3.148016,1,9.973307e-04
131,3.171169,1,9.961688e-04
132,3.194299,1,9.881592e-04
133,3.217406,1,9.919753e-04
134,3.240493,1,9.999203e-04
135,3.263563,1,9.925267e-04
136,3.286619,1,9.942610e-04
137,3.309665,1,9.988727e-04
138,3.332705,4,2.006131e-03
139,3.355742,4,2.327668e-03
140,3.378778,4,2.457852e-03
141,3.401806,4,2.411792e-03
142,3.424826,2,1.642065e-03
143,3.447847,1,1.296079e-03
144,3.470870,1,9.996000e-04
145,3.493898,1,9.896529e-04
146,3.516933,1,9.925887e-04
147,3.539975,1,9.988098e-04
148,3.563025,1,9.9699
