timestep,t,sor_iters,residual
1,0.050000,30,9.133695e-01
2,0.059809,29,8.600940e-01
3,0.091439,17,4.883885e-02
4,0.121072,27,4.547073e-01
5,0.148383,28,6.081110e-01
6,0.175465,27,4.824751e-01
7,0.203545,24,2.279840e-01
8,0.232027,2,1.127829e-03
9,0.261001,22,1.331697e-01
10,0.290175,23,1.601849e-01
11,0.319433,21,1.169816e-01
12,0.348740,17,4.807137e-02
13,0.378053,12,1.121225e-02
14,0.407390,16,4.367853e-02
15,0.436087,17,4.841608e-02
16,0.464298,16,3.529182e-02
17,0.492149,14,1.644520e-02
18,0.519684,2,9.963758e-04
19,0.546936,10,5.908705e-03
20,0.573930,10,6.043520e-03
21,0.600688,2,1.140275e-03
22,0.627224,8,3.752793e-03
23,0.653541,11,8.203043e-03
24,0.679637,12,1.036037e-02
25,0.705543,12,1.040920e-02
26,0.731275,11,9.150959e-03
27,0.756842,11,7.509375e-03
28,0.782257,10,6.130945e-03
29,0.807528,9,5.276414e-03
30,0.832668,9,4.946956e-03
31,0.857687,9,4.889723e-03
32,0.882595,9,4.865419e-03
33,0.907403,9,4.712804e-03
34,0.932117,9,4.378534e-03
35,0.956744,8,3.882494e-03
36,0.981288,8,3.383832e-03
37,1.005754,7,2.852106e-03
38,1.030143,6,2.312929e-03
39,1.054459,2,1.324439e-03
40,1.078703,5,2.018881e-03
41,1.102878,2,1.134495e-03
42,1.126987,2,1.090800e-03
43,1.151030,2,9.703964e-04
44,1.175012,2,9.722877e-04
45,1.198934,2,9.716149e-04
46,1.222798,2,9.722225e-04
47,1.246602,2,9.724491e-04
48,1.270349,2,9.723279e-04
49,1.294045,2,9.705549e-04
50,1.317695,2,9.703097e-04
51,1.341299,2,9.725395e-04
52,1.364850,2,9.927956e-04
53,1.388355,2,9.722720e-04
54,1.411812,2,9.832014e-04
55,1.435212,2,9.924578e-04
56,1.458565,2,9.734836e-04
57,1.481872,2,9.838744e-04
58,1.505137,2,9.838938e-04
59,1.528362,2,9.832644e-04
60,1.551549,2,9.832061e-04
61,1.574701,2,9.838034e-04
62,1.597821,2,9.833784e-04
63,1.620911,2,9.835158e-04
64,1.643974,2,9.924824e-04
65,1.666994,2,9.848876e-04
66,1.689976,2,9.838492e-04
67,1.712923,2,9.769601e-04
68,1.735836,2,9.928328e-04
69,1.758717,2,9.929467e-04
70,1.781566,2,9.850216e-04
71,1.804385,2,9.934000e-04
72,1.827175,2,9.812531e-04
73,1.849936,2,9.860209e-04
74,1.872669,2,9.931478e-04
75,1.895375,2,9.816406e-04
76,1.918056,2,9.815836e-04
77,1.940712,2,9.751879e-04
78,1.963343,2,9.981703e-04
79,1.985952,2,9.973775e-04
80,2.008538,2,9.981787e-04
81,2.031102,2,9.973751e-04
82,2.053646,2,9.981326e-04
83,2.076170,2,9.986881e-04
84,2.098676,2,9.981857e-04
85,2.121164,2,9.995445e-04
86,2.143634,2,9.988391e-04
87,2.166089,2,9.977409e-04
88,2.188529,2,9.950512e-04
89,2.210956,2,9.946847e-04
90,2.233355,2,9.929933e-04
91,2.255734,2,9.945369e-04
92,2.278093,2,9.923963e-04
93,2.300433,2,9.976569e-04
94,2.322755,2,9.927325e-04
95,2.345060,2,9.985741e-04
96,2.367347,2,9.995398e-04
97,2.389618,2,9.928623e-04
98,2.411873,2,9.955421e-04
99,2.434112,2,9.917434e-04
100,2.456337,2,9.972611e-04
101,2.478548,2,9.978445e-04
102,2.500746,2,9.981122e-04
103,2.522930,2,9.968712e-04
104,2.545102,2,9.959408e-04
105,2.567263,2,9.925465e-04
106,2.589412,2,9.914537e-04
107,2.611550,2,9.997726e-04
108,2.633676,2,9.908551e-04
109,2.655785,2,9.914975e-04
110,2.677880,2,9.969700e-04
111,2.699960,2,9.982909e-04
112,2.722027,2,9.975972e-04
113,2.744081,2,9.963671e-04
114,2.766121,2,9.856754e-04
115,2.788148,2,9.919919e-04
116,2.810161,2,9.902732e-04
117,2.832162,2,9.959055e-04
118,2.854150,2,9.986539e-04
119,2.876126,2,9.924057e-04
120,2.898089,2,9.898595e-04
121,2.920040,2,9.930903e-04
122,2.941978,2,9.614551e-04
123,2.963905,2,9.595599e-04
124,2.985820,2,9.613600e-04
125,3.007723,2,9.622010e-04
126,3.029615,2,9.599235e-04
127,3.051495,2,9.984467e-04
128,3.073364,2,9.592697e-04
129,3.095222,2,9.939155e-04
130,3.117070,2,9.991905e-04
131,3.138906,2,9.650220e-04
132,3.160732,2,9.969174e-04
133,3.182547,2,9.925153e-04
134,3.204352,2,9.868774e-04
135,3.226146,2,9.960035e-04
136,3.247930,2,9.908703e-04
137,3.269705,2,9.969741e-04
138,3.291469,2,9.556423e-04
139,3.313224,2,9.843225e-04
140,3.334969,2,9.876295e-04
141,3.356705,2,9.802034e-04
142,3.378431,2,9.887614e-04
143,3.400148,2,9.705993e-04
144,3.421856,2,9.529104e-04
145,3.443555,2,9.511369e-04
146,3.465245,2,9.523148e-04
147,3.486926,2,9.496959e-04
148,3.508599,2,9.428807e-04
149,3.530263,2,9.338758e-04
150,3.551918,2,9.914372e-04
151,3.573565,2,9.355523e-04
152,3.595205,2,9.855999e-04
153,3.616836,2,9.184795e-04
154,3.638459,2,9.530400e-04
155,3.660074,2,9.562699e-04
156,3.681681,2,9.567290e-04
157,3.703282,2,9.534050e-04
158,3.724874,2,9.444551e-04
159,3.746460,2,9.916810e-04
160,3.768038,2,9.953903e-04
161,3.789609,2,9.907157e-04
162,3.811174,2,9.820179e-04
163,3.832731,2,9.523349e-04
164,3.854283,2,9.529672e-04
165,3.875827,2,9.430404e-04
166,3.897366,2,8.949809e-04
167,3.918898,2,9.296484e-04
168,3.940425,2,9.512076e-04
169,3.961945,2,9.293166e-04
170,3.983460,2,9.813891e-04
171,4.004970,2,9.936548e-04
172,4.026474,2,9.062534e-04
173,4.047973,2,9.580831e-04
174,4.069467,2,9.376613e-04
175,4.090956,1,9.851265e-04
176,4.112440,2,9.632531e-04
177,4.133920,2,9.100230e-04
178,4.155396,1,9.733467e-04
179,4.176867,2,9.434230e-04
180,4.198334,2,9.210803e-04
181,4.219797,2,9.218551e-04
182,4.241257,2,9.313802e-04
183,4.262713,2,9.494996e-04
184,4.284165,1,9.846809e-04
185,4.305614,1,9.992427e-04
186,4.327060,2,9.657152e-04
187,4.348503,2,9.557735e-04
188,4.369943,2,9.851608e-04
189,4.391381,2,9.994735e-04
190,4.412816,2,9.798337e-04
191,4.434248,2,9.786402e-04
192,4.455678,2,9.694558e-04
193,4.477106,2,9.790414e-04
194,4.498531,2,9.782974e-04
195,4.519955,2,9.956079e-04
196,4.541376,2,9.760367e-04
197,4.562796,2,9.831589e-04
198,4.584214,2,9.869122e-04
199,4.605631,2,9.536655e-04
200,4.627046,2,9.688475e-04
201,4.648460,2,9.667064e-04
202,4.669872,2,9.531774e-04
203,4.691284,2,9.718138e-04
204,4.712694,2,9.828435e-04
205,4.734104,2,9.966342e-04
206,4.755513,2,9.613220e-04
207,4.776921,2,9.934362e-04
208,4.798328,2,9.932479e-04
209,4.819735,2,9.977613e-04
210,4.841141,2,9.423355e-04
211,4.862547,2,9.703008e-04
212,4.883953,2,9.389924e-04
213,4.905358,2,9.929925e-04
214,4.926762,2,9.143452e-04
215,4.948167,2,9.947377e-04
216,4.969571,2,9.976723e-04
217,4.990975,2,9.430091e-04
218,5.012378,2,9.498780e-04
219,5.033782,2,9.402653e-04
220,5.055185,2,9.350786e-04
221,5.076588,2,9.205359e-04
222,5.097991,2,9.204371e-04
223,5.119394,2,9.144414e-04
224,5.140796,2,9.949721e-04
225,5.162198,2,9.970821e-04
226,5.183601,2,9.444856e-04
227,5.205002,2,9.386165e-04
228,5.226404,2,9.319718e-04
229,5.247805,2,9.229595e-04
230,5.269207,2,9.301308e-04
231,5.290608,2,9.229752e-04
232,5.312008,2,9.336075e-04
233,5.333408,2,9.258841e-04
234,5.354808,2,9.362074e-04
235,5.376208,2,9.282000e-04
236,5.397606,2,9.384207e-04
237,5.419005,2,9.295616e-04
238,5.440403,2,9.372973e-04
239,5.461800,2,9.287870e-04
240,5.483197,2,9.339576e-04
241,5.504593,2,9.250053e-04
242,5.525989,2,9.276063e-04
243,5.547383,2,9.183327e-04
244,5.568777,2,9.174519e-04
245,5.590170,2,9.080995e-04
246,5.611563,2,9.794570e-04
247,5.632954,2,9.977132e-04
248,5.654345,2,9.877377e-04
249,5.675735,2,9.708161e-04
250,5.697123,2,9.932727e-04
251,5.718511,2,9.595536e-04
