timestep,t,sor_iters,residual
1,0.050000,15,9.133818e-01
2,0.059809,15,8.601070e-01
3,0.091439,9,4.884770e-02
4,0.121072,14,4.546899e-01
5,0.148383,14,6.080851e-01
6,0.175465,14,4.824543e-01
7,0.203545,12,2.279682e-01
8,0.232027,1,1.232579e-03
9,0.261000,11,1.331385e-01
10,0.290175,12,1.601289e-01
11,0.319432,11,1.169912e-01
12,0.348740,9,4.808521e-02
13,0.378053,6,1.121242e-02
14,0.407390,9,4.367645e-02
15,0.436087,9,4.841467e-02
16,0.464298,8,3.528024e-02
17,0.492148,7,1.649448e-02
18,0.519684,1,9.982403e-04
19,0.546936,5,6.035137e-03
20,0.573930,5,6.147816e-03
21,0.600688,1,1.248359e-03
22,0.627224,4,3.870572e-03
23,0.653540,6,8.319307e-03
24,0.679636,6,1.042979e-02
25,0.705543,6,1.043137e-02
26,0.731274,6,9.143963e-03
27,0.756842,6,7.487669e-03
28,0.782256,5,6.143111e-03
29,0.807528,5,5.323570e-03
30,0.832668,5,5.002657e-03
31,0.857687,5,4.953296e-03
32,0.882595,5,4.931607e-03
33,0.907402,5,4.775492e-03
34,0.932116,5,4.433530e-03
35,0.956743,4,3.882976e-03
36,0.981288,4,3.340443e-03
37,1.005753,4,2.811009e-03
38,1.030143,3,2.386639e-03
39,1.054459,3,2.017652e-03
40,1.078703,3,1.793775e-03
41,1.102878,3,1.641639e-03
42,1.126987,1,1.113203e-03
43,1.151031,1,9.982849e-04
44,1.175013,1,9.981363e-04
45,1.198935,1,9.981135e-04
46,1.222800,1,9.999374e-04
47,1.246603,1,9.998038e-04
48,1.270350,1,9.992574e-04
49,1.294047,1,9.984344e-04
50,1.317696,1,9.996269e-04
51,1.341301,1,9.995033e-04
52,1.364853,1,9.985050e-04
53,1.388357,1,9.994861e-04
54,1.411814,1,9.994290e-04
55,1.435215,1,9.995390e-04
56,1.458567,1,9.993222e-04
57,1.481875,1,9.997444e-04
58,1.505140,1,9.996003e-04
59,1.528364,1,9.983380e-04
60,1.551552,1,9.981446e-04
61,1.574704,1,9.983216e-04
62,1.597824,1,9.999109e-04
63,1.620914,1,9.985459e-04
64,1.643977,1,9.986817e-04
65,1.666997,1,9.997458e-04
66,1.689979,1,9.996919e-04
67,1.712926,1,9.987627e-04
68,1.735839,1,9.999394e-04
69,1.758720,1,9.992886e-04
70,1.781570,1,9.990720e-04
71,1.804389,1,9.988880e-04
72,1.827179,1,9.985779e-04
73,1.849940,1,9.989587e-04
74,1.872673,1,9.993992e-04
75,1.895380,1,9.994848e-04
76,1.918060,1,9.980728e-04
