timestep,t,sor_iters,residual
1,0.050000,500,6.979776e-01
2,0.060194,500,9.217892e-01
3,0.091902,500,4.940250e-01
4,0.121855,500,8.125396e-02
5,0.151616,500,2.571376e-01
6,0.178711,500,4.712635e-01
7,0.205052,500,5.436399e-01
8,0.231481,500,4.842365e-01
9,0.258427,500,3.361843e-01
10,0.286202,500,1.549154e-01
11,0.314901,500,1.018874e-02
12,0.344412,500,1.278160e-01
13,0.374363,500,1.874364e-01
14,0.404257,500,1.939734e-01
15,0.433177,500,1.621577e-01
16,0.461605,500,1.043934e-01
17,0.489584,500,3.794426e-02
18,0.517160,500,2.198647e-02
19,0.544387,500,6.493552e-02
20,0.571323,500,8.625670e-02
21,0.597840,500,8.688757e-02
22,0.624134,500,7.150005e-02
23,0.650286,500,4.708576e-02
24,0.676328,500,2.084290e-02
25,0.702268,500,1.471983e-03
26,0.728094,500,1.620172e-02
27,0.753751,500,2.236132e-02
28,0.779245,500,2.078451e-02
29,0.804586,500,1.368932e-02
30,0.829787,500,3.899170e-03
31,0.854862,500,5.876826e-03
32,0.879792,500,1.353550e-02
33,0.904586,500,1.792256e-02
34,0.929273,500,1.881006e-02
35,0.953871,500,1.672630e-02
36,0.978393,500,1.267842e-02
37,1.002849,500,7.838282e-03
38,1.027243,500,3.267294e-03
39,1.051575,34,9.903177e-04
40,1.075845,500,2.497909e-03
41,1.100049,500,3.199211e-03
42,1.124186,500,2.697067e-03
43,1.148256,500,1.431429e-03
44,1.172258,22,9.264748e-04
45,1.196192,500,1.605789e-03
46,1.220058,500,2.632522e-03
47,1.243864,500,3.126484e-03
48,1.267615,500,3.102744e-03
49,1.291315,500,2.683517e-03
50,1.314967,500,2.045540e-03
51,1.338577,500,1.369845e-03
52,1.362142,63,9.992219e-04
53,1.385657,57,9.960839e-04
54,1.409118,152,9.993814e-04
55,1.432524,500,1.097755e-03
56,1.455882,500,1.188274e-03
57,1.479195,500,1.250125e-03
58,1.502464,500,1.278825e-03
59,1.525693,500,1.273657e-03
60,1.548885,500,1.238862e-03
61,1.572041,500,1.182229e-03
62,1.595164,500,1.112784e-03
63,1.618257,500,1.038812e-03
64,1.641323,429,9.996453e-04
65,1.664350,382,9.996388e-04
66,1.687336,422,9.999644e-04
67,1.710287,406,9.996436e-04
68,1.733205,382,9.996526e-04
69,1.756089,358,9.998250e-04
70,1.778942,334,9.998715e-04
71,1.801765,310,9.998956e-04
72,1.824557,288,9.995865e-04
73,1.847322,265,9.998206e-04
74,1.870058,247,9.997944e-04
75,1.892767,229,9.996011e-04
76,1.915451,212,9.997902e-04
77,1.938109,199,9.998437e-04
78,1.960743,187,9.996487e-04
79,1.983354,175,9.999705e-04
80,2.005942,168,9.999015e-04
81,2.028509,160,9.997406e-04
82,2.051055,153,9.999683e-04
83,2.073581,150,9.995315e-04
