timestep,t,sor_iters,residual
1,0.050000,500,5.503271e-01
2,0.055125,500,8.478976e-01
3,0.082462,500,7.290512e-01
4,0.107858,500,6.459349e-01
5,0.133403,500,5.048313e-01
6,0.159254,500,3.172817e-01
7,0.184296,500,1.295439e-01
8,0.209302,500,5.627482e-02
9,0.234266,500,2.041315e-01
10,0.258741,500,3.335307e-01
11,0.282598,500,4.395925e-01
12,0.305412,500,5.208925e-01
13,0.328093,500,5.630571e-01
14,0.350845,500,5.649832e-01
15,0.373865,500,5.296984e-01
16,0.397355,500,4.631540e-01
17,0.421504,500,3.732641e-01
18,0.446273,500,2.704511e-01
19,0.471861,500,1.618636e-01
20,0.497734,500,5.716775e-02
21,0.524247,500,4.024496e-02
22,0.551196,500,1.250541e-01
23,0.578225,500,1.948922e-01
24,0.605414,500,2.472183e-01
25,0.632760,500,2.805715e-01
26,0.660265,500,2.945738e-01
27,0.687888,500,2.901851e-01
28,0.715432,500,2.700087e-01
29,0.742725,500,2.366060e-01
30,0.769890,500,1.914328e-01
31,0.796693,500,1.386267e-01
32,0.823182,500,8.082369e-02
33,0.849377,500,2.133837e-02
34,0.875287,500,3.645278e-02
35,0.900928,500,8.941473e-02
36,0.926324,500,1.348166e-01
37,0.951501,500,1.704976e-01
38,0.976489,500,1.950036e-01
39,1.001319,500,2.076265e-01
40,1.026019,500,2.084080e-01
41,1.050617,500,1.980880e-01
42,1.075139,500,1.780071e-01
43,1.099606,500,1.499802e-01
44,1.124036,500,1.161461e-01
45,1.148444,500,7.880695e-02
46,1.172821,500,4.028603e-02
47,1.197151,500,3.015023e-03
48,1.221458,500,3.186833e-02
49,1.245748,500,6.182520e-02
50,1.270019,500,8.588646e-02
51,1.294271,500,1.031725e-01
52,1.318499,500,1.132435e-01
53,1.342701,500,1.160856e-01
54,1.366871,500,1.120780e-01
55,1.391006,500,1.019439e-01
56,1.415104,500,8.668697e-02
57,1.439163,500,6.751967e-02
58,1.463183,500,4.578372e-02
59,1.487166,500,2.286954e-02
60,1.511089,28,9.972125e-04
61,1.534932,500,2.112071e-02
62,1.558724,500,3.989977e-02
