timestep,t,sor_iters,residual
1,0.050000,0,6.368885e-05
2,0.250000,1,8.239951e-05
3,0.375000,1,9.649436e-05
4,0.500000,1,9.740855e-05
5,0.625000,1,9.557562e-05
6,0.750000,1,9.735302e-05
7,0.875000,1,9.142769e-05
8,1.000000,1,9.185329e-05
9,1.125000,1,9.648463e-05
10,1.250000,1,9.015567e-05
11,1.375000,1,8.745897e-05
12,1.500000,1,9.349910e-05
13,1.625000,1,9.467890e-05
14,1.750000,1,9.296993e-05
15,1.875000,1,9.617886e-05
16,2.000000,1,9.619230e-05
17,2.125000,1,8.689894e-05
18,2.250000,1,9.555438e-05
19,2.375000,1,9.894422e-05
20,2.500000,1,8.775881e-05
21,2.625000,1,8.873955e-05
22,2.750000,1,9.974242e-05
23,2.875000,1,9.702291e-05
24,3.000000,1,9.346314e-05
25,3.125000,1,9.493029e-05
26,3.250000,1,9.669981e-05
27,3.375000,1,9.336794e-05
28,3.500000,1,9.780748e-05
29,3.625000,1,8.649816e-05
30,3.750000,1,9.193842e-05
31,3.875000,1,9.216225e-05
32,4.000000,1,9.767342e-05
33,4.125000,1,9.560287e-05
34,4.250000,1,9.721589e-05
35,4.375000,1,9.510852e-05
36,4.500000,1,9.704923e-05
37,4.625000,1,9.858767e-05
38,4.750000,1,8.936578e-05
39,4.875000,1,9.040788e-05
40,5.000000,1,9.771817e-05
41,5.125000,1,9.870792e-05
42,5.250000,1,8.513225e-05
43,5.375000,1,9.838007e-05
44,5.500000,1,9.864272e-05
45,5.625000,1,9.752229e-05
46,5.750000,1,9.652998e-05
47,5.875000,1,9.120504e-05
48,6.000000,1,9.882194e-05
49,6.125000,1,9.183071e-05
50,6.250000,1,9.586331e-05
51,6.375000,1,9.969528e-05
52,6.500000,1,8.864506e-05
53,6.625000,1,8.837345e-05
54,6.750000,1,9.054054e-05
55,6.875000,1,9.939041e-05
56,7.000000,1,8.659557e-05
57,7.125000,1,9.653562e-05
58,7.250000,1,9.953509e-05
59,7.375000,1,9.296620e-05
60,7.500000,1,9.351954e-05
61,7.625000,1,9.933783e-05
62,7.750000,1,9.992622e-05
63,7.875000,1,9.474854e-05
64,8.000000,1,9.809392e-05
65,8.125000,1,9.625496e-05
66,8.250000,1,9.651441e-05
67,8.375000,1,8.882588e-05
68,8.500000,1,9.725546e-05
69,8.625000,1,8.953585e-05
70,8.750000,1,8.957750e-05
71,8.875000,1,9.456051e-05
72,9.000000,1,9.220355e-05
73,9.125000,1,9.745735e-05
74,9.250000,1,9.261808e-05
75,9.375000,1,9.809236e-05
76,9.500000,1,9.697422e-05
77,9.625000,1,9.682967e-05
78,9.750000,1,8.975162e-05
79,9.875000,1,9.943894e-05
80,10.000000,1,9.544529e-05
