timestep,t,sor_iters,residual
1,0.050000,0,6.368885e-05
2,0.250000,1,8.239951e-05
3,0.375000,1,9.649436e-05
4,0.500000,1,9.740855e-05
5,0.625000,1,9.557562e-05
6,0.750000,1,9.735302e-05
7,0.875000,1,9.142769e-05
8,1.000000,1,9.185328e-05
9,1.125000,1,9.648464e-05
10,1.250000,1,9.015501e-05
11,1.375000,1,8.745766e-05
12,1.500000,1,9.349782e-05
13,1.625000,1,9.467441e-05
14,1.750000,1,9.296530e-05
15,1.875000,1,9.617504e-05
16,2.000000,1,9.617588e-05
17,2.125000,1,8.687442e-05
18,2.250000,1,9.553580e-05
19,2.375000,1,9.893827e-05
20,2.500000,1,8.776392e-05
21,2.625000,1,8.877716e-05
22,2.750000,1,9.974121e-05
23,2.875000,1,9.702187e-05
24,3.000000,1,9.339327e-05
25,3.125000,1,9.487827e-05
26,3.250000,1,9.672948e-05
27,3.375000,1,9.341745e-05
28,3.500000,1,9.785489e-05
29,3.625000,1,8.653677e-05
30,3.750000,1,9.199210e-05
31,3.875000,1,9.217984e-05
32,4.000000,1,9.765323e-05
33,4.125000,1,9.557313e-05
34,4.250000,1,9.732898e-05
35,4.375000,1,9.520748e-05
36,4.500000,1,9.710591e-05
37,4.625000,1,9.866253e-05
38,4.750000,1,8.940314e-05
39,4.875000,1,9.038496e-05
40,5.000000,1,9.773745e-05
41,5.125000,1,9.868256e-05
42,5.250000,1,8.511720e-05
43,5.375000,1,9.833066e-05
44,5.500000,1,9.860799e-05
45,5.625000,1,9.744033e-05
46,5.750000,1,9.651963e-05
47,5.875000,1,9.116879e-05
48,6.000000,1,9.879538e-05
49,6.125000,1,9.179457e-05
50,6.250000,1,9.585552e-05
51,6.375000,1,9.979010e-05
52,6.500000,1,8.871731e-05
53,6.625000,1,8.845070e-05
54,6.750000,1,9.062980e-05
55,6.875000,1,9.951025e-05
56,7.000000,1,8.671213e-05
57,7.125000,1,9.667190e-05
58,7.250000,1,9.969167e-05
59,7.375000,1,9.309803e-05
60,7.500000,1,9.364522e-05
61,7.625000,1,9.943746e-05
62,7.750000,1,9.313278e-05
63,7.875000,1,9.433054e-05
64,8.000000,1,9.563515e-05
65,8.125000,1,8.809672e-05
66,8.250000,0,9.876548e-05
67,8.375000,1,9.433750e-05
68,8.500000,1,9.509083e-05
69,8.625000,1,8.720787e-05
70,8.750000,0,9.638916e-05
71,8.875000,1,9.185718e-05
72,9.000000,1,9.298955e-05
73,9.125000,1,9.468994e-05
74,9.250000,1,8.865084e-05
75,9.375000,1,9.717166e-05
76,9.500000,1,9.751766e-05
77,9.625000,1,9.044708e-05
78,9.750000,1,9.318560e-05
79,9.875000,1,9.159116e-05
80,10.000000,1,9.692921e-05
