timestep,t,sor_iters,residual
1,0.050000,0,1.580309e-05
2,1.000000,0,7.771536e-05
3,1.500000,1,8.714757e-05
4,2.000000,0,9.295789e-05
5,2.500000,1,9.881048e-05
6,3.000000,1,9.541531e-05
7,3.500000,1,9.803857e-05
8,4.000000,1,9.656118e-05
9,4.500000,0,9.287147e-05
10,5.000000,1,9.893974e-05
11,5.500000,1,9.106172e-05
12,6.000000,0,9.243210e-05
13,6.500000,1,9.639411e-05
14,7.000000,1,9.425319e-05
15,7.500000,0,9.804662e-05
16,8.000000,1,9.348591e-05
17,8.500000,1,8.828533e-05
18,9.000000,0,9.929672e-05
19,9.500000,0,8.205423e-05
20,10.000000,0,9.522936e-05
21,10.500000,0,9.903585e-05
22,11.000000,1,9.711270e-05
23,11.500000,1,9.899333e-05
24,12.000000,1,9.465861e-05
25,12.500000,0,9.908610e-05
26,13.000000,1,9.664447e-05
27,13.500000,1,9.819527e-05
28,14.000000,0,9.557798e-05
29,14.500000,1,9.702923e-05
30,15.000000,0,9.915087e-05
31,15.500000,1,8.954756e-05
32,16.000000,1,9.608660e-05
33,16.500000,0,9.797196e-05
34,17.000000,1,8.411535e-05
35,17.500000,1,9.916442e-05
36,18.000000,1,9.722760e-05
37,18.500000,0,9.856538e-05
38,19.000000,0,9.319277e-05
39,19.500000,1,9.836482e-05
40,20.000000,0,8.956769e-05
41,20.500000,0,8.528744e-05
42,21.000000,0,9.936018e-05
43,21.500000,1,9.710511e-05
44,22.000000,1,9.271966e-05
45,22.500000,0,9.974998e-05
46,23.000000,1,8.788799e-05
47,23.500000,1,9.251013e-05
48,24.000000,0,9.963212e-05
49,24.500000,1,8.889072e-05
50,25.000000,0,9.264500e-05
51,25.500000,0,9.541423e-05
52,26.000000,1,8.867214e-05
53,26.500000,1,9.360862e-05
54,27.000000,0,9.623243e-05
55,27.500000,1,8.649594e-05
56,28.000000,1,9.144603e-05
57,28.500000,0,9.779692e-05
58,29.000000,0,9.534510e-05
59,29.500000,1,9.493236e-05
60,30.000000,0,9.852531e-05
61,30.500000,1,9.382268e-05
62,31.000000,1,9.881802e-05
63,31.500000,0,9.927991e-05
64,32.000000,1,9.933040e-05
65,32.500000,0,9.316706e-05
66,33.000000,0,9.733505e-05
67,33.500000,1,9.779009e-05
68,34.000000,1,9.468924e-05
69,34.500000,0,9.879582e-05
70,35.000000,0,9.899038e-05
71,35.500000,1,9.970259e-05
72,36.000000,1,9.762936e-05
73,36.500000,1,9.277847e-05
74,37.000000,0,9.365538e-05
75,37.500000,1,9.284929e-05
76,38.000000,0,9.820240e-05
77,38.500000,1,9.425439e-05
78,39.000000,0,9.895277e-05
79,39.500000,1,9.640485e-05
80,40.000000,1,9.824082e-05
81,40.500000,0,9.803127e-05
82,41.000000,1,9.894506e-05
83,41.500000,0,9.757637e-05
84,42.000000,1,9.812575e-05
85,42.500000,1,9.822852e-05
86,43.000000,0,9.868049e-05
87,43.500000,1,9.591899e-05
88,44.000000,0,9.722890e-05
89,44.500000,1,9.758193e-05
90,45.000000,0,9.662944e-05
91,45.500000,1,9.665671e-05
92,46.000000,0,9.245659e-05
93,46.500000,1,8.813586e-05
94,47.000000,0,9.421309e-05
95,47.500000,1,9.637069e-05
96,48.000000,0,9.844284e-05
97,48.500000,1,9.385870e-05
98,49.000000,0,9.532926e-05
99,49.500000,0,9.311677e-05
100,50.000000,1,9.331880e-05
101,50.500000,1,9.511043e-05
102,51.000000,0,9.871586e-05
103,51.500000,0,9.157329e-05
104,52.000000,1,9.382650e-05
105,52.500000,0,9.807621e-05
106,53.000000,0,9.992945e-05
107,53.500000,1,9.889044e-05
