timestep,t,sor_iters,residual
1,0.050000,0,1.580309e-05
2,1.000000,1,8.023357e-05
3,1.500000,1,9.609912e-05
4,2.000000,1,9.800652e-05
5,2.500000,1,9.807557e-05
6,3.000000,1,9.911000e-05
7,3.500000,1,9.638264e-05
8,4.000000,1,9.864503e-05
9,4.500000,1,9.974292e-05
10,5.000000,1,9.855533e-05
11,5.500000,1,9.565257e-05
12,6.000000,1,9.867614e-05
13,6.500000,1,9.902958e-05
14,7.000000,1,9.726021e-05
15,7.500000,1,9.902356e-05
16,8.000000,1,9.755223e-05
17,8.500000,1,9.909339e-05
18,9.000000,1,9.688296e-05
19,9.500000,1,9.730527e-05
20,10.000000,1,9.476572e-05
21,10.500000,1,9.509779e-05
22,11.000000,1,9.959786e-05
23,11.500000,1,9.516754e-05
24,12.000000,1,9.376299e-05
25,12.500000,1,9.672525e-05
26,13.000000,1,9.916557e-05
27,13.500000,1,9.308621e-05
28,14.000000,1,9.792827e-05
29,14.500000,1,9.554548e-05
30,15.000000,1,9.643381e-05
31,15.500000,1,9.665150e-05
32,16.000000,1,9.736207e-05
33,16.500000,1,9.770898e-05
34,17.000000,1,9.808727e-05
35,17.500000,1,9.813677e-05
36,18.000000,1,9.832730e-05
37,18.500000,1,9.834644e-05
38,19.000000,1,9.855671e-05
39,19.500000,1,9.870740e-05
40,20.000000,1,9.902041e-05
41,20.500000,1,9.936034e-05
42,21.000000,1,9.977850e-05
43,21.500000,1,9.234295e-05
44,22.000000,1,9.554110e-05
45,22.500000,1,9.383005e-05
46,23.000000,1,9.528495e-05
47,23.500000,1,9.677632e-05
48,24.000000,1,9.855569e-05
49,24.500000,1,9.239192e-05
50,25.000000,1,9.670007e-05
51,25.500000,1,9.635822e-05
52,26.000000,1,9.867475e-05
53,26.500000,1,9.293364e-05
54,27.000000,1,9.769825e-05
55,27.500000,1,9.797280e-05
56,28.000000,1,9.282074e-05
57,28.500000,1,9.829803e-05
58,29.000000,1,9.938833e-05
59,29.500000,1,9.448658e-05
60,30.000000,1,9.209760e-05
61,30.500000,1,9.532821e-05
62,31.000000,1,9.985418e-05
63,31.500000,1,9.536111e-05
64,32.000000,1,9.338819e-05
65,32.500000,1,9.736148e-05
66,33.000000,1,9.359953e-05
67,33.500000,1,9.262319e-05
68,34.000000,1,9.748792e-05
69,34.500000,1,9.436232e-05
70,35.000000,1,9.394325e-05
71,35.500000,1,9.928088e-05
72,36.000000,1,9.645342e-05
73,36.500000,1,9.623952e-05
74,37.000000,1,9.376760e-05
75,37.500000,1,9.408060e-05
76,38.000000,1,9.219698e-05
77,38.500000,1,9.355667e-05
78,39.000000,1,9.243872e-05
79,39.500000,1,9.408788e-05
80,40.000000,1,9.322366e-05
81,40.500000,1,9.542262e-05
82,41.000000,1,9.489391e-05
83,41.500000,1,9.706489e-05
84,42.000000,1,9.640892e-05
85,42.500000,1,9.857209e-05
86,43.000000,1,9.787931e-05
87,43.500000,1,9.982825e-05
88,44.000000,1,9.883102e-05
89,44.500000,1,9.325889e-05
90,45.000000,1,9.370344e-05
91,45.500000,1,9.353501e-05
92,46.000000,1,9.675191e-05
93,46.500000,1,9.707046e-05
94,47.000000,1,9.271027e-05
95,47.500000,1,9.441327e-05
96,48.000000,1,9.514862e-05
97,48.500000,1,9.910737e-05
98,49.000000,1,9.978242e-05
99,49.500000,1,9.540149e-05
100,50.000000,1,9.695216e-05
101,50.500000,1,9.732348e-05
