timestep,t,sor_iters,residual
1,0.050000,0,1.580309e-05
2,1.000000,1,7.488242e-05
3,1.500000,1,9.848662e-05
4,2.000000,1,9.548306e-05
5,2.500000,1,9.849290e-05
6,3.000000,1,9.545166e-05
7,3.500000,1,9.734963e-05
8,4.000000,1,9.286026e-05
9,4.500000,1,9.586704e-05
10,5.000000,1,9.020870e-05
11,5.500000,1,9.763008e-05
12,6.000000,1,9.253873e-05
13,6.500000,1,9.753470e-05
14,7.000000,1,9.151496e-05
15,7.500000,1,9.537862e-05
16,8.000000,1,9.143314e-05
17,8.500000,1,9.645143e-05
18,9.000000,1,9.600284e-05
19,9.500000,1,9.958145e-05
20,10.000000,1,8.908699e-05
21,10.500000,1,9.145372e-05
22,11.000000,1,9.576408e-05
23,11.500000,1,9.340748e-05
24,12.000000,1,9.234303e-05
25,12.500000,1,9.695458e-05
26,13.000000,1,9.453952e-05
27,13.500000,1,9.909958e-05
28,14.000000,1,9.470413e-05
29,14.500000,1,8.979296e-05
30,15.000000,1,9.028291e-05
31,15.500000,1,9.955243e-05
32,16.000000,1,9.558355e-05
33,16.500000,1,9.484589e-05
34,17.000000,1,9.759562e-05
35,17.500000,1,9.107953e-05
36,18.000000,1,9.374710e-05
37,18.500000,1,9.070762e-05
38,19.000000,1,8.961873e-05
39,19.500000,1,8.949600e-05
40,20.000000,1,8.651342e-05
41,20.500000,1,9.805864e-05
42,21.000000,1,9.483023e-05
43,21.500000,1,9.522586e-05
44,22.000000,1,9.616238e-05
45,22.500000,1,9.709689e-05
46,23.000000,1,9.809389e-05
47,23.500000,1,9.897077e-05
48,24.000000,1,9.965758e-05
49,24.500000,1,9.190714e-05
50,25.000000,1,9.542375e-05
51,25.500000,1,9.863739e-05
52,26.000000,1,9.991002e-05
53,26.500000,1,9.132756e-05
54,27.000000,1,9.562593e-05
55,27.500000,1,9.928035e-05
56,28.000000,1,9.125694e-05
57,28.500000,1,9.693179e-05
58,29.000000,1,9.149748e-05
59,29.500000,1,9.835393e-05
60,30.000000,1,9.331033e-05
61,30.500000,1,9.428631e-05
62,31.000000,1,9.983623e-05
63,31.500000,1,9.779641e-05
64,32.000000,1,9.923377e-05
65,32.500000,1,9.301515e-05
66,33.000000,1,9.372429e-05
67,33.500000,1,9.594644e-05
68,34.000000,1,9.836804e-05
69,34.500000,1,9.274048e-05
70,35.000000,1,9.522706e-05
71,35.500000,1,9.013052e-05
72,36.000000,1,9.283612e-05
73,36.500000,1,9.600566e-05
74,37.000000,1,9.122082e-05
75,37.500000,1,9.522950e-05
76,38.000000,1,9.092774e-05
77,38.500000,1,9.463025e-05
78,39.000000,1,9.072872e-05
79,39.500000,1,9.399914e-05
80,40.000000,1,9.453699e-05
81,40.500000,1,9.377331e-05
82,41.000000,1,8.725162e-05
83,41.500000,1,8.750126e-05
84,42.000000,1,9.378484e-05
85,42.500000,1,9.109953e-05
86,43.000000,1,8.792985e-05
87,43.500000,1,9.931273e-05
88,44.000000,1,9.845893e-05
89,44.500000,1,9.468702e-05
90,45.000000,1,8.938090e-05
91,45.500000,1,9.981231e-05
92,46.000000,1,9.854023e-05
93,46.500000,1,9.494962e-05
94,47.000000,1,8.989386e-05
95,47.500000,1,9.388842e-05
96,48.000000,1,8.904447e-05
97,48.500000,1,9.705110e-05
98,49.000000,1,9.222475e-05
99,49.500000,1,9.061020e-05
100,50.000000,1,9.633973e-05
101,50.500000,1,9.204683e-05
102,51.000000,1,9.060412e-05
103,51.500000,1,9.670623e-05
104,52.000000,1,9.213179e-05
105,52.500000,1,9.067768e-05
106,53.000000,1,8.741351e-05
107,53.500000,1,9.449885e-05
108,54.000000,1,8.993830e-05
109,54.500000,1,8.913535e-05
110,55.000000,1,8.635791e-05
111,55.500000,1,9.429258e-05
112,56.000000,1,9.381446e-05
113,56.500000,1,9.528542e-05
114,57.000000,1,9.369553e-05
115,57.500000,1,9.514502e-05
116,58.000000,1,9.320688e-05
117,58.500000,1,9.437193e-05
118,59.000000,1,9.242913e-05
119,59.500000,1,9.387395e-05
120,60.000000,1,9.190058e-05
121,60.500000,1,9.351415e-05
122,61.000000,1,9.144669e-05
123,61.500000,1,9.316834e-05
124,62.000000,1,9.090885e-05
125,62.500000,1,9.268581e-05
126,63.000000,1,9.715443e-05
127,63.500000,1,9.976666e-05
128,64.000000,1,8.477315e-05
129,64.500000,1,8.545900e-05
130,65.000000,1,8.814740e-05
131,65.500000,1,9.493677e-05
132,66.000000,1,9.834094e-05
133,66.500000,1,8.300416e-05
134,67.000000,1,8.370624e-05
135,67.500000,1,9.979186e-05
136,68.000000,1,8.286993e-05
137,68.500000,1,9.383783e-05
138,69.000000,1,8.685564e-05
139,69.500000,1,8.988969e-05
140,70.000000,1,9.311056e-05
141,70.500000,1,9.311418e-05
142,71.000000,1,9.400999e-05
143,71.500000,1,9.344225e-05
144,72.000000,1,9.267517e-05
145,72.500000,1,9.157013e-05
146,73.000000,1,9.048096e-05
147,73.500000,1,8.944147e-05
148,74.000000,1,8.850912e-05
149,74.500000,1,8.767027e-05
150,75.000000,1,8.689479e-05
151,75.500000,1,8.615822e-05
152,76.000000,1,8.544190e-05
153,76.500000,1,9.971517e-05
154,77.000000,1,9.499754e-05
155,77.500000,1,9.582333e-05
156,78.000000,1,8.692019e-05
157,78.500000,1,9.907091e-05
158,79.000000,1,9.551879e-05
159,79.500000,1,7.996846e-05
160,80.000000,1,8.986777e-05
161,80.500000,1,9.366250e-05
162,81.000000,1,9.121908e-05
163,81.500000,1,9.895246e-05
164,82.000000,1,9.088630e-05
165,82.500000,1,9.057503e-05
166,83.000000,1,8.440916e-05
167,83.500000,1,9.269645e-05
168,84.000000,1,9.249701e-05
169,84.500000,1,8.626597e-05
170,85.000000,1,9.241893e-05
171,85.500000,1,9.054238e-05
172,86.000000,1,9.995070e-05
173,86.500000,1,8.256456e-05
174,87.000000,1,8.907040e-05
175,87.500000,1,9.934441e-05
176,88.000000,1,9.771731e-05
177,88.500000,1,8.211955e-05
178,89.000000,1,8.669194e-05
179,89.500000,1,9.672219e-05
180,90.000000,1,9.261718e-05
181,90.500000,1,9.687970e-05
182,91.000000,1,9.581949e-05
183,91.500000,1,8.234902e-05
184,92.000000,1,8.725112e-05
185,92.500000,1,9.707700e-05
186,93.000000,1,9.094719e-05
187,93.500000,1,8.848104e-05
188,94.000000,1,9.283607e-05
189,94.500000,1,8.010913e-05
190,95.000000,1,8.943324e-05
191,95.500000,1,9.826198e-05
192,96.000000,1,9.817399e-05
193,96.500000,1,8.595743e-05
194,97.000000,1,8.939167e-05
195,97.500000,1,9.857127e-05
196,98.000000,1,9.045719e-05
197,98.500000,1,9.536804e-05
198,99.000000,1,9.067231e-05
199,99.500000,1,8.476223e-05
200,100.000000,1,9.010775e-05
201,100.500000,1,9.925920e-05
202,101.000000,1,8.973903e-05
203,101.500000,1,9.378643e-05
204,102.000000,1,8.908333e-05
205,102.500000,1,8.378724e-05
206,103.000000,1,8.916564e-05
207,103.500000,1,9.842614e-05
208,104.000000,1,8.908365e-05
209,104.500000,1,9.357431e-05
210,105.000000,1,8.921219e-05
211,105.500000,1,8.381914e-05
212,106.000000,1,8.931123e-05
213,106.500000,1,9.855855e-05
214,107.000000,1,8.885236e-05
215,107.500000,1,9.370966e-05
216,108.000000,1,8.905489e-05
217,108.500000,1,8.351504e-05
218,109.000000,1,8.893540e-05
219,109.500000,1,9.809396e-05
220,110.000000,1,8.772388e-05
221,110.500000,1,9.318876e-05
222,111.000000,1,8.831745e-05
223,111.500000,1,9.669423e-05
224,112.000000,1,9.515643e-05
225,112.500000,1,9.777562e-05
226,113.000000,1,9.122577e-05
227,113.500000,1,8.407919e-05
228,114.000000,1,8.729541e-05
229,114.500000,1,9.600996e-05
230,115.000000,1,9.113646e-05
231,115.500000,1,8.552359e-05
232,116.000000,1,9.678502e-05
233,116.500000,1,9.229844e-05
234,117.000000,1,8.543398e-05
235,117.500000,1,9.622684e-05
236,118.000000,1,7.765603e-05
237,118.500000,2,9.835140e-05
238,119.000000,1,9.945003e-05
239,119.500000,1,8.632174e-05
240,120.000000,1,8.880438e-05
241,120.500000,1,9.011827e-05
242,121.000000,1,9.323433e-05
243,121.500000,1,8.992493e-05
244,122.000000,1,8.429446e-05
245,122.500000,1,8.828449e-05
246,123.000000,1,9.647717e-05
247,123.500000,1,7.954549e-05
248,124.000000,1,7.644306e-05
249,124.500000,1,8.161190e-05
250,125.000000,1,9.006137e-05
251,125.500000,1,8.980430e-05
252,126.000000,1,8.017854e-05
253,126.500000,1,8.465754e-05
254,127.000000,1,9.292802e-05
255,127.500000,1,7.876580e-05
256,128.000000,1,7.624295e-05
257,128.500000,1,8.224792e-05
258,129.000000,1,9.086816e-05
259,129.500000,1,9.018969e-05
260,130.000000,1,7.948682e-05
261,130.500000,1,8.413909e-05
262,131.000000,1,9.174241e-05
263,131.500000,1,8.988122e-05
264,132.000000,1,7.895639e-05
265,132.500000,1,8.648019e-05
266,133.000000,1,8.855214e-05
267,133.500000,1,8.851068e-05
268,134.000000,1,7.778117e-05
269,134.500000,1,8.139974e-05
270,135.000000,1,8.835360e-05
271,135.500000,1,9.726846e-05
272,136.000000,1,9.585368e-05
273,136.500000,1,8.238112e-05
274,137.000000,1,8.371441e-05
275,137.500000,1,8.830079e-05
276,138.000000,1,9.427069e-05
277,138.500000,1,9.332850e-05
278,139.000000,1,8.104683e-05
279,139.500000,1,8.271396e-05
280,140.000000,1,8.796331e-05
281,140.500000,1,9.420436e-05
282,141.000000,1,9.371486e-05
283,141.500000,1,8.158082e-05
284,142.000000,1,8.261605e-05
285,142.500000,1,8.781948e-05
286,143.000000,1,9.291374e-05
287,143.500000,1,9.314011e-05
288,144.000000,1,8.162638e-05
289,144.500000,1,8.234921e-05
290,145.000000,1,8.762412e-05
291,145.500000,1,9.216402e-05
292,146.000000,1,9.277488e-05
293,146.500000,1,8.144930e-05
294,147.000000,1,8.183007e-05
295,147.500000,1,8.697510e-05
296,148.000000,1,9.097038e-05
297,148.500000,1,9.180653e-05
298,149.000000,1,8.078122e-05
299,149.500000,1,8.094937e-05
300,150.000000,1,8.602067e-05
301,150.500000,1,8.969421e-05
302,151.000000,1,9.054802e-05
303,151.500000,1,7.983998e-05
304,152.000000,1,7.990401e-05
305,152.500000,1,8.493335e-05
306,153.000000,1,8.837379e-05
307,153.500000,1,9.888630e-05
308,154.000000,1,7.766757e-05
309,154.500000,2,9.816795e-05
310,155.000000,1,9.040343e-05
311,155.500000,1,8.900192e-05
312,156.000000,1,9.024499e-05
313,156.500000,1,9.012685e-05
314,157.000000,1,7.997271e-05
315,157.500000,1,7.936947e-05
316,158.000000,1,8.428522e-05
317,158.500000,1,8.068463e-05
318,159.000000,1,8.969888e-05
319,159.500000,1,8.731595e-05
320,160.000000,1,9.754430e-05
321,160.500000,1,9.848264e-05
322,161.000000,1,9.500505e-05
323,161.500000,1,8.904620e-05
324,162.000000,1,9.468838e-05
325,162.500000,1,9.171946e-05
326,163.000000,1,9.219931e-05
327,163.500000,1,8.102059e-05
328,164.000000,1,7.786971e-05
329,164.500000,1,8.105302e-05
330,165.000000,1,7.640691e-05
331,165.500000,1,8.449873e-05
