timestep,t,sor_iters,residual
1,0.050000,0,1.580309e-05
2,1.000000,1,7.407005e-05
3,1.500000,1,9.345774e-05
4,2.000000,1,9.785648e-05
5,2.500000,1,9.614864e-05
6,3.000000,1,9.912387e-05
7,3.500000,1,9.271768e-05
8,4.000000,1,9.664625e-05
9,4.500000,1,9.748855e-05
10,5.000000,1,9.144035e-05
11,5.500000,1,9.130473e-05
12,6.000000,2,9.796018e-05
13,6.500000,1,9.281606e-05
14,7.000000,1,9.381099e-05
15,7.500000,1,9.947646e-05
16,8.000000,1,9.675788e-05
17,8.500000,1,8.953230e-05
18,9.000000,1,9.712833e-05
19,9.500000,1,9.805061e-05
20,10.000000,1,9.057768e-05
21,10.500000,1,8.886074e-05
22,11.000000,1,9.911706e-05
23,11.500000,1,9.915898e-05
24,12.000000,1,9.584130e-05
25,12.500000,1,9.805485e-05
26,13.000000,2,9.163725e-05
27,13.500000,1,9.368399e-05
28,14.000000,1,9.861733e-05
29,14.500000,2,9.384393e-05
30,15.000000,1,9.886017e-05
31,15.500000,1,9.221213e-05
32,16.000000,2,9.923549e-05
33,16.500000,1,9.172419e-05
34,17.000000,2,9.828851e-05
35,17.500000,1,9.673792e-05
36,18.000000,1,9.807074e-05
37,18.500000,1,9.199896e-05
38,19.000000,1,9.918837e-05
39,19.500000,1,9.396213e-05
40,20.000000,1,9.965557e-05
41,20.500000,1,9.923521e-05
42,21.000000,1,9.899672e-05
43,21.500000,1,9.915112e-05
44,22.000000,1,9.948690e-05
45,22.500000,1,9.989052e-05
46,23.000000,1,9.867277e-05
47,23.500000,1,9.852286e-05
48,24.000000,1,9.925492e-05
49,24.500000,1,9.996733e-05
50,25.000000,1,9.886690e-05
51,25.500000,1,9.890691e-05
52,26.000000,1,9.969416e-05
53,26.500000,1,9.839916e-05
54,27.000000,1,9.844348e-05
55,27.500000,1,9.932274e-05
56,28.000000,1,9.808978e-05
57,28.500000,1,9.850920e-05
58,29.000000,1,9.991051e-05
59,29.500000,2,9.722318e-05
60,30.000000,1,9.476978e-05
61,30.500000,1,9.207289e-05
62,31.000000,1,9.390142e-05
63,31.500000,1,9.715494e-05
64,32.000000,1,9.045106e-05
65,32.500000,1,9.990584e-05
66,33.000000,1,9.866416e-05
67,33.500000,2,9.740455e-05
68,34.000000,1,9.023811e-05
69,34.500000,1,8.574554e-05
70,35.000000,1,8.909218e-05
71,35.500000,1,9.437809e-05
72,36.000000,1,9.528072e-05
