timestep,t,sor_iters,residual
1,0.050000,1,9.211568e-06
2,1.000000,1,9.677454e-05
3,1.500000,5,9.507008e-05
4,2.000000,7,9.764361e-05
5,2.500000,9,9.763963e-05
6,3.000000,9,9.910101e-05
7,3.500000,9,9.923875e-05
8,4.000000,8,9.854012e-05
9,4.500000,6,9.963038e-05
10,5.000000,7,9.833436e-05
11,5.500000,5,9.875832e-05
12,6.000000,4,9.962587e-05
13,6.500000,4,9.729965e-05
14,7.000000,3,9.752356e-05
15,7.500000,3,9.758229e-05
16,8.000000,3,9.720623e-05
17,8.500000,3,9.750860e-05
18,9.000000,3,9.919964e-05
19,9.500000,4,9.589679e-05
20,10.000000,4,9.499567e-05
21,10.500000,4,9.582799e-05
22,11.000000,4,9.777191e-05
23,11.500000,5,9.300588e-05
24,12.000000,4,9.412918e-05
25,12.500000,4,9.742160e-05
26,13.000000,5,9.224771e-05
27,13.500000,5,8.863544e-05
28,14.000000,5,8.787439e-05
29,14.500000,5,8.836141e-05
30,15.000000,5,8.894552e-05
31,15.500000,5,8.889924e-05
32,16.000000,5,8.747401e-05
33,16.500000,5,8.467116e-05
34,17.000000,4,9.549673e-05
35,17.500000,4,9.965169e-05
36,18.000000,5,8.895729e-05
37,18.500000,4,9.875144e-05
38,19.000000,4,9.973424e-05
39,19.500000,5,8.534769e-05
40,20.000000,4,8.833305e-05
41,20.500000,4,8.158396e-05
42,21.000000,3,9.707748e-05
43,21.500000,3,9.883664e-05
44,22.000000,4,9.123253e-05
45,22.500000,4,9.252935e-05
46,23.000000,4,9.133165e-05
47,23.500000,4,8.923797e-05
48,24.000000,3,9.891052e-05
49,24.500000,3,9.998511e-05
50,25.000000,4,8.689971e-05
51,25.500000,3,9.441249e-05
52,26.000000,3,9.636113e-05
53,26.500000,4,9.000934e-05
54,27.000000,4,8.818929e-05
55,27.500000,4,8.567679e-05
56,28.000000,4,8.472495e-05
57,28.500000,3,9.872088e-05
58,29.000000,4,9.285591e-05
59,29.500000,4,9.863466e-05
60,30.000000,5,8.938690e-05
61,30.500000,5,8.751996e-05
62,31.000000,5,8.585408e-05
63,31.500000,5,8.551107e-05
64,32.000000,5,8.490356e-05
65,32.500000,4,9.894061e-05
66,33.000000,5,8.866542e-05
67,33.500000,5,8.564367e-05
68,34.000000,4,9.457920e-05
69,34.500000,4,9.713042e-05
70,35.000000,5,8.621700e-05
71,35.500000,4,9.480237e-05
72,36.000000,4,9.520760e-05
73,36.500000,4,9.731250e-05
74,37.000000,4,9.491869e-05
75,37.500000,4,9.196862e-05
76,38.000000,4,8.882331e-05
77,38.500000,4,8.592735e-05
78,39.000000,3,9.527501e-05
79,39.500000,4,8.853748e-05
80,40.000000,4,8.970841e-05
81,40.500000,3,9.967494e-05
82,41.000000,4,9.243720e-05
83,41.500000,4,9.176265e-05
84,42.000000,3,9.899528e-05
85,42.500000,4,8.932734e-05
86,43.000000,4,8.765660e-05
87,43.500000,3,9.614349e-05
88,44.000000,4,8.885891e-05
89,44.500000,4,8.747345e-05
90,45.000000,3,9.743697e-05
91,45.500000,4,9.111674e-05
92,46.000000,4,9.013563e-05
93,46.500000,4,8.821521e-05
94,47.000000,4,8.756285e-05
95,47.500000,4,8.789292e-05
96,48.000000,4,8.892636e-05
97,48.500000,4,8.899731e-05
98,49.000000,4,8.938378e-05
99,49.500000,4,9.055706e-05
100,50.000000,4,9.219935e-05
101,50.500000,4,9.575407e-05
102,51.000000,4,9.872327e-05
103,51.500000,5,8.641707e-05
104,52.000000,4,9.248374e-05
105,52.500000,4,9.069545e-05
106,53.000000,4,9.146079e-05
107,53.500000,4,9.317531e-05
108,54.000000,4,9.560913e-05
109,54.500000,4,9.786268e-05
110,55.000000,4,9.989856e-05
111,55.500000,5,8.685453e-05
112,56.000000,4,9.203329e-05
113,56.500000,4,9.019978e-05
114,57.000000,4,8.915272e-05
115,57.500000,4,8.744771e-05
116,58.000000,4,8.722111e-05
117,58.500000,3,9.976064e-05
118,59.000000,4,9.371481e-05
119,59.500000,4,9.163137e-05
120,60.000000,4,8.899822e-05
121,60.500000,3,9.690027e-05
122,61.000000,4,9.200033e-05
123,61.500000,4,8.822898e-05
124,62.000000,3,9.626096e-05
125,62.500000,4,9.331787e-05
126,63.000000,4,8.990176e-05
127,63.500000,4,8.772196e-05
128,64.000000,3,9.965492e-05
129,64.500000,4,9.444741e-05
130,65.000000,4,9.111599e-05
131,65.500000,4,8.845086e-05
132,66.000000,4,8.867788e-05
133,66.500000,4,8.890708e-05
134,67.000000,4,8.932281e-05
135,67.500000,4,8.951494e-05
136,68.000000,4,8.887281e-05
137,68.500000,4,8.915346e-05
138,69.000000,4,8.958991e-05
139,69.500000,4,8.857546e-05
140,70.000000,4,8.570571e-05
141,70.500000,3,9.643244e-05
142,71.000000,4,9.234196e-05
143,71.500000,4,8.951852e-05
144,72.000000,3,9.934972e-05
145,72.500000,4,9.446593e-05
146,73.000000,4,8.953583e-05
147,73.500000,3,9.484827e-05
148,74.000000,4,8.671524e-05
149,74.500000,3,9.604954e-05
150,75.000000,4,8.894007e-05
151,75.500000,3,9.884596e-05
152,76.000000,4,9.483357e-05
153,76.500000,4,9.413378e-05
154,77.000000,4,9.385879e-05
155,77.500000,4,9.568716e-05
156,78.000000,4,9.964652e-05
157,78.500000,5,8.697295e-05
158,79.000000,4,9.594895e-05
159,79.500000,4,9.662448e-05
160,80.000000,4,9.811556e-05
161,80.500000,4,9.790250e-05
162,81.000000,4,9.746462e-05
163,81.500000,4,9.607568e-05
164,82.000000,4,9.636333e-05
165,82.500000,4,9.613422e-05
166,83.000000,4,9.331953e-05
167,83.500000,4,8.885319e-05
168,84.000000,4,8.379316e-05
169,84.500000,3,9.506175e-05
170,85.000000,4,8.210415e-05
171,85.500000,3,9.433617e-05
172,86.000000,4,8.417403e-05
173,86.500000,3,9.773575e-05
174,87.000000,4,8.852176e-05
175,87.500000,4,8.425496e-05
176,88.000000,3,9.439134e-05
177,88.500000,4,8.333330e-05
178,89.000000,3,9.544648e-05
179,89.500000,4,8.931003e-05
180,90.000000,4,9.274921e-05
181,90.500000,4,9.782785e-05
182,91.000000,5,8.928704e-05
183,91.500000,4,9.790061e-05
184,92.000000,5,9.005130e-05
185,92.500000,5,8.398453e-05
186,93.000000,4,9.503808e-05
187,93.500000,4,9.951719e-05
188,94.000000,5,8.452148e-05
189,94.500000,4,8.897203e-05
190,95.000000,4,8.948782e-05
191,95.500000,4,9.070725e-05
192,96.000000,4,8.785005e-05
193,96.500000,4,8.562594e-05
194,97.000000,4,8.366854e-05
195,97.500000,4,8.192331e-05
196,98.000000,3,9.654647e-05
197,98.500000,4,8.596918e-05
198,99.000000,4,8.441675e-05
199,99.500000,3,9.930298e-05
200,100.000000,4,8.856497e-05
201,100.500000,4,8.409428e-05
202,101.000000,3,9.609764e-05
203,101.500000,4,9.051083e-05
204,102.000000,4,9.387809e-05
205,102.500000,4,9.829520e-05
206,103.000000,5,8.457109e-05
207,103.500000,4,9.253202e-05
208,104.000000,4,9.162418e-05
209,104.500000,4,9.477284e-05
210,105.000000,5,8.525197e-05
211,105.500000,4,9.983364e-05
212,106.000000,5,8.971426e-05
213,106.500000,5,8.894693e-05
214,107.000000,4,9.854148e-05
215,107.500000,4,9.786664e-05
216,108.000000,4,9.986534e-05
217,108.500000,4,9.715279e-05
218,109.000000,4,9.131066e-05
219,109.500000,4,9.081195e-05
220,110.000000,4,8.951427e-05
221,110.500000,4,8.637821e-05
222,111.000000,4,8.464717e-05
223,111.500000,4,8.548689e-05
224,112.000000,4,8.507804e-05
225,112.500000,4,8.480061e-05
226,113.000000,4,8.751712e-05
227,113.500000,4,9.009479e-05
228,114.000000,4,9.009031e-05
229,114.500000,4,8.458970e-05
230,115.000000,3,9.551199e-05
231,115.500000,3,9.067878e-05
232,116.000000,3,9.288062e-05
233,116.500000,3,9.350521e-05
234,117.000000,3,9.583597e-05
235,117.500000,3,9.778565e-05
236,118.000000,3,9.827716e-05
237,118.500000,3,9.699968e-05
238,119.000000,3,9.515787e-05
239,119.500000,3,9.714536e-05
240,120.000000,4,9.119613e-05
241,120.500000,4,9.289145e-05
242,121.000000,4,9.833320e-05
243,121.500000,5,9.339250e-05
244,122.000000,5,9.175160e-05
245,122.500000,5,9.082539e-05
246,123.000000,5,8.889025e-05
247,123.500000,5,8.721495e-05
248,124.000000,4,9.827397e-05
249,124.500000,5,8.453120e-05
250,125.000000,4,8.809526e-05
251,125.500000,3,9.980375e-05
252,126.000000,4,8.437397e-05
