timestep,t,sor_iters,residual
1,0.050000,1,3.712403e-05
2,0.250000,2,8.995008e-05
3,0.375000,6,9.306841e-05
4,0.500000,7,9.977697e-05
5,0.625000,10,9.865425e-05
6,0.750000,10,9.960463e-05
7,0.875000,12,9.955540e-05
8,1.000000,13,9.938132e-05
9,1.125000,12,9.989202e-05
10,1.250000,12,9.993801e-05
11,1.375000,11,9.947578e-05
12,1.500000,8,9.983898e-05
13,1.625000,8,9.982936e-05
14,1.750000,8,9.944866e-05
15,1.875000,7,9.974167e-05
16,2.000000,8,9.927550e-05
17,2.125000,6,9.998952e-05
18,2.250000,6,9.999454e-05
19,2.375000,6,9.861845e-05
20,2.500000,4,9.896410e-05
21,2.625000,4,9.867128e-05
22,2.750000,4,9.714389e-05
23,2.875000,3,9.809970e-05
24,3.000000,3,9.921023e-05
25,3.125000,3,9.982802e-05
26,3.250000,4,9.632536e-05
27,3.375000,3,9.745872e-05
28,3.500000,3,9.994724e-05
29,3.625000,4,9.919805e-05
30,3.750000,5,9.648465e-05
31,3.875000,4,9.825738e-05
32,4.000000,5,9.758929e-05
33,4.125000,5,9.805225e-05
34,4.250000,5,9.928374e-05
35,4.375000,6,9.654342e-05
36,4.500000,5,9.809454e-05
37,4.625000,5,9.964145e-05
38,4.750000,6,9.579058e-05
39,4.875000,5,9.766672e-05
40,5.000000,5,9.841354e-05
41,5.125000,5,9.996056e-05
42,5.250000,6,9.304700e-05
43,5.375000,5,9.604273e-05
44,5.500000,5,9.678423e-05
45,5.625000,6,9.034360e-05
46,5.750000,5,9.715016e-05
47,5.875000,6,8.995500e-05
48,6.000000,5,9.904214e-05
49,6.125000,6,9.192962e-05
50,6.250000,6,9.185563e-05
51,6.375000,6,9.057389e-05
52,6.500000,6,9.003757e-05
53,6.625000,6,8.945219e-05
54,6.750000,6,8.871633e-05
55,6.875000,5,9.915276e-05
56,7.000000,6,9.109595e-05
57,7.125000,6,8.991212e-05
58,7.250000,5,9.762724e-05
59,7.375000,5,9.883479e-05
60,7.500000,6,8.998633e-05
61,7.625000,5,9.870752e-05
62,7.750000,5,9.943173e-05
63,7.875000,6,9.006351e-05
64,8.000000,5,9.584686e-05
65,8.125000,5,9.094198e-05
66,8.250000,5,8.662917e-05
67,8.375000,4,9.409828e-05
68,8.500000,4,9.274298e-05
69,8.625000,4,9.362741e-05
70,8.750000,4,9.773277e-05
71,8.875000,5,8.842697e-05
72,9.000000,5,8.819510e-05
73,9.125000,4,9.834912e-05
74,9.250000,5,8.602734e-05
75,9.375000,4,9.819095e-05
76,9.500000,4,9.213397e-05
77,9.625000,4,9.259141e-05
78,9.750000,4,9.014488e-05
79,9.875000,4,8.484232e-05
80,10.000000,4,8.926029e-05
81,10.125000,4,9.493403e-05
82,10.250000,5,9.008931e-05
83,10.375000,5,9.495839e-05
84,10.500000,5,9.562513e-05
85,10.625000,5,9.707128e-05
86,10.750000,5,9.925307e-05
87,10.875000,6,8.671313e-05
88,11.000000,5,9.448944e-05
89,11.125000,5,9.185859e-05
90,11.250000,5,9.329205e-05
91,11.375000,5,9.244679e-05
92,11.500000,5,9.138443e-05
93,11.625000,5,9.014005e-05
94,11.750000,5,8.885106e-05
95,11.875000,5,8.902889e-05
96,12.000000,5,9.055546e-05
97,12.125000,5,9.319354e-05
98,12.250000,5,9.604636e-05
99,12.375000,5,9.828139e-05
100,12.500000,6,8.476052e-05
101,12.625000,5,9.352400e-05
102,12.750000,5,9.282949e-05
103,12.875000,5,9.643742e-05
104,13.000000,5,9.847317e-05
105,13.125000,6,8.488083e-05
106,13.250000,5,9.451459e-05
107,13.375000,5,9.204998e-05
108,13.500000,5,9.492713e-05
109,13.625000,5,9.712470e-05
110,13.750000,5,9.933933e-05
111,13.875000,6,8.735977e-05
112,14.000000,5,9.609376e-05
113,14.125000,5,9.399173e-05
114,14.250000,5,9.607401e-05
115,14.375000,5,9.525300e-05
116,14.500000,5,9.412071e-05
117,14.625000,5,9.227748e-05
118,14.750000,5,9.037797e-05
119,14.875000,5,8.826500e-05
