timestep,t,sor_iters,residual
1,0.050000,100,7.484397e+01
2,0.000037,100,1.286615e+05
3,0.000057,100,7.597935e+04
4,0.000079,100,5.842622e+04
5,0.000102,100,5.511791e+04
6,0.000126,100,5.191864e+04
7,0.000153,100,4.670786e+04
8,0.000181,100,4.163451e+04
9,0.000211,100,3.921597e+04
10,0.000244,100,3.950842e+04
11,0.000279,100,4.064521e+04
12,0.000317,100,4.105106e+04
13,0.000359,100,4.006973e+04
14,0.000404,100,3.806588e+04
15,0.000454,100,3.541497e+04
16,0.000510,100,3.209471e+04
17,0.000573,100,2.794922e+04
18,0.000645,100,2.316873e+04
19,0.000729,100,1.851721e+04
20,0.000828,100,1.513232e+04
21,0.000947,100,1.372455e+04
22,0.001076,100,1.447746e+04
23,0.001211,100,1.579383e+04
24,0.001361,100,1.623886e+04
25,0.001501,100,1.706864e+04
26,0.001640,100,1.703969e+04
27,0.001779,100,1.613056e+04
28,0.001917,100,1.455106e+04
29,0.002056,100,1.258011e+04
30,0.002195,100,1.056721e+04
31,0.002334,100,8.955138e+03
32,0.002473,100,8.219826e+03
33,0.002612,100,8.550991e+03
34,0.002751,100,9.624900e+03
35,0.002890,100,1.093560e+04
36,0.003029,100,1.210536e+04
37,0.003167,100,1.290747e+04
38,0.003306,100,1.321585e+04
39,0.003445,100,1.297153e+04
40,0.003584,100,1.216644e+04
41,0.003723,100,1.083531e+04
42,0.003862,100,9.050028e+03
43,0.004001,100,6.915471e+03
44,0.004140,100,4.573089e+03
45,0.004279,100,2.278346e+03
46,0.004417,100,1.495634e+03
47,0.004556,100,3.326295e+03
48,0.004695,100,5.342848e+03
49,0.004834,100,7.088062e+03
50,0.004973,100,8.449158e+03
51,0.005112,100,9.372933e+03
52,0.005251,100,9.839792e+03
53,0.005390,100,9.857925e+03
54,0.005529,100,9.460308e+03
55,0.005667,100,8.702294e+03
56,0.005806,100,7.659940e+03
57,0.005945,100,6.430554e+03
58,0.006084,100,5.139572e+03
59,0.006223,100,3.963029e+03
60,0.006362,100,3.165896e+03
61,0.006501,100,3.021853e+03
62,0.006640,100,3.460399e+03
63,0.006779,100,4.125686e+03
64,0.006917,100,4.760487e+03
65,0.007056,100,5.248843e+03
66,0.007195,100,5.552279e+03
67,0.007334,100,5.674604e+03
68,0.007473,100,5.645697e+03
69,0.007612,100,5.511498e+03
70,0.007751,100,5.324714e+03
71,0.007890,100,5.134140e+03
72,0.008029,100,4.973191e+03
73,0.008167,100,4.851345e+03
74,0.008306,100,4.753297e+03
75,0.008445,100,4.646892e+03
76,0.008584,100,4.495379e+03
77,0.008723,100,4.268299e+03
78,0.008862,100,3.948518e+03
79,0.009001,100,3.536246e+03
80,0.009140,100,3.052650e+03
81,0.009279,100,2.546960e+03
82,0.009417,100,2.111318e+03
83,0.009556,100,1.888455e+03
84,0.009695,100,1.989277e+03
85,0.009834,100,2.355149e+03
86,0.009973,100,2.834506e+03
87,0.010112,100,3.310537e+03
88,0.010251,100,3.713302e+03
89,0.010390,100,4.001667e+03
90,0.010529,100,4.152353e+03
91,0.010667,100,4.154939e+03
92,0.010806,100,4.009351e+03
93,0.010945,100,3.724226e+03
94,0.011084,100,3.315523e+03
95,0.011223,100,2.805263e+03
96,0.011362,100,2.220652e+03
97,0.011501,100,1.594892e+03
98,0.011640,100,9.772922e+02
99,0.011779,100,5.202742e+02
100,0.011917,100,6.732114e+02
101,0.012056,100,1.160769e+03
102,0.012195,100,1.649212e+03
103,0.012334,100,2.075084e+03
104,0.012473,100,2.419336e+03
105,0.012612,100,2.674993e+03
106,0.012751,100,2.841470e+03
107,0.012890,100,2.922593e+03
108,0.013029,100,2.925328e+03
109,0.013167,100,2.858695e+03
110,0.013306,100,2.732800e+03
111,0.013445,100,2.558054e+03
112,0.013584,100,2.344696e+03
113,0.013723,100,2.102756e+03
114,0.013862,100,1.842657e+03
115,0.014001,100,1.576776e+03
116,0.014140,100,1.322572e+03
117,0.014279,100,1.107836e+03
118,0.014417,100,9.746799e+02
119,0.014556,100,9.645028e+02
120,0.014695,100,1.077467e+03
121,0.014834,100,1.269569e+03
122,0.014973,100,1.492986e+03
123,0.015112,100,1.714002e+03
124,0.015251,100,1.910306e+03
125,0.015390,100,2.066485e+03
126,0.015529,100,2.171619e+03
127,0.015667,100,2.218294e+03
128,0.015806,100,2.202236e+03
129,0.015945,100,2.122171e+03
130,0.016084,100,1.979714e+03
131,0.016223,100,1.779215e+03
132,0.016362,100,1.527518e+03
133,0.016501,100,1.233691e+03
134,0.016640,100,9.088302e+02
135,0.016779,100,5.667478e+02
136,0.016917,100,2.351863e+02
137,0.017056,100,2.053852e+02
138,0.017195,100,5.115754e+02
