timestep,t,sor_iters,residual
1,0.050000,100,2.710882e+01
2,0.000298,100,2.629707e+03
3,0.000481,100,1.313406e+03
4,0.000688,100,1.677072e+03
5,0.000925,100,7.728900e+02
6,0.001199,100,1.436196e+02
7,0.001523,100,3.353906e+02
8,0.001916,100,2.707737e+02
9,0.002407,100,1.276804e+02
10,0.003030,100,4.727283e+01
11,0.003622,100,3.817950e+01
12,0.004178,100,3.575941e+01
13,0.004733,100,2.980750e+01
14,0.005289,100,2.177652e+01
15,0.005844,100,1.370941e+01
16,0.006400,100,8.084226e+00
17,0.006956,100,5.361615e+00
18,0.007511,100,4.263657e+00
19,0.008067,100,3.755140e+00
20,0.008622,100,3.322753e+00
21,0.009178,100,2.795341e+00
22,0.009733,100,2.252852e+00
23,0.010289,100,1.808757e+00
24,0.010844,100,1.496126e+00
25,0.011400,100,1.284036e+00
26,0.011956,100,1.127103e+00
27,0.012511,100,9.943774e-01
28,0.013067,100,8.745509e-01
29,0.013622,100,7.678610e-01
30,0.014178,100,6.765359e-01
31,0.014733,100,6.003041e-01
32,0.015289,100,5.365787e-01
33,0.015844,100,4.822500e-01
34,0.016400,100,4.349459e-01
35,0.016956,100,3.932763e-01
36,0.017511,100,3.564823e-01
37,0.018067,100,3.240271e-01
38,0.018622,100,2.953893e-01
39,0.019178,100,2.700373e-01
40,0.019733,100,2.474803e-01
41,0.020289,100,2.273114e-01
42,0.020844,100,2.092095e-01
43,0.021400,100,1.929183e-01
44,0.021956,100,1.782234e-01
45,0.022511,100,1.649381e-01
46,0.023067,100,1.528977e-01
47,0.023622,100,1.419588e-01
48,0.024178,100,1.319976e-01
49,0.024733,100,1.229068e-01
50,0.025289,99,1.145937e-01
51,0.025844,97,1.069756e-01
52,0.026400,94,9.998429e-02
53,0.026956,92,9.355394e-02
54,0.027511,89,8.763155e-02
55,0.028067,87,8.217147e-02
56,0.028622,85,7.712400e-02
57,0.029178,83,7.245441e-02
58,0.029733,81,6.812752e-02
59,0.030289,79,6.411429e-02
60,0.030844,77,6.038566e-02
61,0.031400,75,5.691900e-02
62,0.031956,74,5.368837e-02
63,0.032511,72,5.067869e-02
64,0.033067,70,4.786722e-02
65,0.033622,69,4.524267e-02
66,0.034178,67,4.278667e-02
67,0.034733,66,4.048822e-02
68,0.035289,64,3.833369e-02
69,0.035844,62,3.631310e-02
70,0.036400,61,3.441510e-02
71,0.036956,59,3.263316e-02
72,0.037511,58,3.095597e-02
73,0.038067,56,2.937752e-02
74,0.038622,55,2.789244e-02
75,0.039178,54,2.649119e-02
76,0.039733,52,2.516635e-02
77,0.040289,51,2.392283e-02
78,0.040844,50,2.274452e-02
79,0.041400,48,2.162670e-02
80,0.041956,47,2.057757e-02
81,0.042511,46,1.957999e-02
82,0.043067,45,1.863724e-02
83,0.043622,43,1.774079e-02
84,0.044178,42,1.689494e-02
85,0.044733,40,1.607546e-02
86,0.045289,40,1.532761e-02
87,0.045844,37,1.455682e-02
88,0.046400,21,1.334515e-02
89,0.046956,20,1.269368e-02
90,0.047511,19,1.208973e-02
91,0.048067,18,1.151834e-02
92,0.048622,18,1.099478e-02
93,0.049178,17,1.045617e-02
94,0.049733,40,1.051500e-02
95,0.050289,15,9.480250e-03
96,0.050844,15,9.031609e-03
97,0.051400,14,8.612734e-03
98,0.051956,14,8.191642e-03
99,0.052511,37,8.424983e-03
100,0.053067,36,8.036911e-03
101,0.053622,36,7.695718e-03
102,0.054178,11,6.718586e-03
103,0.054733,11,6.414933e-03
104,0.055289,18,6.188761e-03
105,0.055844,14,5.866151e-03
106,0.056400,32,6.086166e-03
107,0.056956,11,5.254308e-03
108,0.057511,9,5.037450e-03
109,0.058067,9,4.827546e-03
110,0.058622,9,4.590806e-03
111,0.059178,14,4.475824e-03
112,0.059733,14,4.286036e-03
113,0.060289,34,4.505838e-03
114,0.060844,5,3.046914e-03
115,0.061400,7,3.647745e-03
116,0.061956,4,2.719736e-03
117,0.062511,7,3.208110e-03
118,0.063067,3,2.183952e-03
119,0.063622,5,2.926375e-03
120,0.064178,3,2.063844e-03
121,0.064733,3,1.951465e-03
122,0.065289,15,2.844675e-03
123,0.065844,13,2.597538e-03
124,0.066400,6,2.337481e-03
125,0.066956,5,2.188772e-03
126,0.067511,2,1.391386e-03
127,0.068067,27,2.558874e-03
128,0.068622,7,1.874337e-03
129,0.069178,1,1.300017e-03
130,0.069733,1,9.899492e-04
131,0.070289,2,9.782005e-04
132,0.070844,2,9.592795e-04
133,0.071400,2,8.467319e-04
134,0.071956,2,9.984798e-04
135,0.072511,2,9.504264e-04
136,0.073067,2,9.952703e-04
137,0.073622,2,9.728213e-04
138,0.074178,2,9.152608e-04
139,0.074733,2,9.491471e-04
