timestep,t,sor_iters,residual
1,0.050000,6,2.710733e+01
2,0.000298,9,2.627951e+03
3,0.000481,8,1.313287e+03
4,0.000688,8,1.675695e+03
5,0.000925,8,7.713495e+02
6,0.001199,7,1.435817e+02
7,0.001523,7,3.351863e+02
8,0.001916,7,2.704013e+02
9,0.002407,7,1.275050e+02
10,0.003030,6,4.725574e+01
11,0.003622,6,3.818504e+01
12,0.004178,6,3.577028e+01
13,0.004733,6,2.980310e+01
14,0.005289,6,2.176171e+01
15,0.005844,6,1.370020e+01
16,0.006400,5,8.082696e+00
17,0.006956,5,5.362222e+00
18,0.007511,5,4.263867e+00
19,0.008067,5,3.754471e+00
20,0.008622,5,3.321642e+00
21,0.009178,5,2.794469e+00
22,0.009733,5,2.252396e+00
23,0.010289,4,1.808385e+00
24,0.010844,4,1.495775e+00
25,0.011400,4,1.283648e+00
26,0.011956,4,1.126711e+00
27,0.012511,4,9.940241e-01
28,0.013067,4,8.742512e-01
29,0.013622,4,7.676046e-01
30,0.014178,4,6.763072e-01
31,0.014733,4,6.000941e-01
32,0.015289,4,5.363874e-01
33,0.015844,4,4.820788e-01
34,0.016400,4,4.347932e-01
35,0.016956,4,3.931389e-01
36,0.017511,4,3.563575e-01
37,0.018067,4,3.239129e-01
38,0.018622,4,2.952847e-01
39,0.019178,4,2.699414e-01
40,0.019733,4,2.473924e-01
41,0.020289,4,2.272307e-01
42,0.020844,4,2.091352e-01
43,0.021400,4,1.928496e-01
44,0.021956,4,1.781599e-01
45,0.022511,3,1.644167e-01
46,0.023067,3,1.524056e-01
47,0.023622,3,1.414975e-01
48,0.024178,3,1.315655e-01
49,0.024733,3,1.225021e-01
50,0.025289,3,1.142141e-01
51,0.025844,3,1.066202e-01
52,0.026400,3,9.964962e-02
53,0.026956,3,9.324043e-02
54,0.027511,3,8.733764e-02
55,0.028067,3,8.189222e-02
56,0.028622,3,7.686213e-02
57,0.029178,3,7.220860e-02
58,0.029733,3,6.789758e-02
59,0.030289,3,6.389766e-02
60,0.030844,3,6.018115e-02
61,0.031400,3,5.672385e-02
62,0.031956,3,5.350438e-02
63,0.032511,3,5.050271e-02
64,0.033067,3,4.770099e-02
65,0.033622,3,4.508313e-02
66,0.034178,3,4.263458e-02
67,0.034733,3,4.034210e-02
68,0.035289,3,3.819373e-02
69,0.035844,3,3.617854e-02
70,0.036400,3,3.428658e-02
71,0.036956,2,3.229326e-02
72,0.037511,2,3.061422e-02
73,0.038067,2,2.903704e-02
74,0.038622,2,2.755289e-02
75,0.039178,2,2.615720e-02
76,0.039733,2,2.484118e-02
77,0.040289,2,2.360071e-02
78,0.040844,2,2.242921e-02
79,0.041400,2,2.132253e-02
80,0.041956,2,2.027742e-02
81,0.042511,2,1.928884e-02
82,0.043067,2,1.835380e-02
83,0.043622,2,1.746835e-02
84,0.044178,2,1.662964e-02
85,0.044733,2,1.583590e-02
86,0.045289,2,1.508773e-02
87,0.045844,2,1.437856e-02
88,0.046400,2,1.370239e-02
89,0.046956,2,1.305755e-02
90,0.047511,2,1.244214e-02
91,0.048067,2,1.185744e-02
92,0.048622,2,1.130065e-02
93,0.049178,2,1.076999e-02
94,0.049733,2,1.026415e-02
95,0.050289,2,9.781974e-03
96,0.050844,2,9.322270e-03
97,0.051400,2,8.883838e-03
98,0.051956,2,8.465498e-03
99,0.052511,2,8.066151e-03
100,0.053067,2,7.684782e-03
101,0.053622,2,7.320470e-03
102,0.054178,2,6.972346e-03
103,0.054733,2,6.639587e-03
104,0.055289,2,6.321420e-03
105,0.055844,2,6.017108e-03
106,0.056400,2,5.725963e-03
107,0.056956,2,5.447334e-03
108,0.057511,1,5.681639e-03
109,0.058067,1,5.408383e-03
110,0.058622,1,5.147594e-03
111,0.059178,1,4.896718e-03
112,0.059733,1,4.654405e-03
113,0.060289,1,4.421164e-03
114,0.060844,1,4.197743e-03
