timestep,t,sor_iters,residual
1,0.050000,100,2.710634e+01
2,0.000298,100,2.628591e+03
3,0.000481,100,1.313451e+03
4,0.000688,100,1.676361e+03
5,0.000925,100,7.721229e+02
6,0.001199,100,1.436053e+02
7,0.001523,100,3.352982e+02
8,0.001916,100,2.705834e+02
9,0.002407,100,1.275677e+02
10,0.003030,100,4.725896e+01
11,0.003622,100,3.818234e+01
12,0.004178,100,3.576799e+01
13,0.004733,100,2.981134e+01
14,0.005289,100,2.176998e+01
15,0.005844,100,1.370417e+01
16,0.006400,100,8.082170e+00
17,0.006956,100,5.361761e+00
18,0.007511,100,4.263548e+00
19,0.008067,100,3.754831e+00
20,0.008622,100,3.322219e+00
21,0.009178,100,2.794512e+00
22,0.009733,100,2.252668e+00
23,0.010289,100,1.808512e+00
24,0.010844,100,1.495895e+00
25,0.011400,100,1.284021e+00
26,0.011956,100,1.126905e+00
27,0.012511,100,9.943024e-01
28,0.013067,100,8.745480e-01
29,0.013622,100,7.677159e-01
30,0.014178,100,6.764868e-01
31,0.014733,100,6.002497e-01
32,0.015289,100,5.364805e-01
33,0.015844,100,4.822102e-01
34,0.016400,100,4.348597e-01
35,0.016956,100,3.932423e-01
36,0.017511,100,3.564228e-01
37,0.018067,100,3.239863e-01
38,0.018622,100,2.953341e-01
39,0.019178,100,2.700136e-01
40,0.019733,100,2.474343e-01
41,0.020289,100,2.272987e-01
42,0.020844,100,2.091982e-01
43,0.021400,100,1.928871e-01
44,0.021956,100,1.782173e-01
45,0.022511,82,1.649111e-01
46,0.023067,97,1.528770e-01
47,0.023622,85,1.419375e-01
48,0.024178,67,1.319734e-01
49,0.024733,90,1.228876e-01
50,0.025289,77,1.145792e-01
51,0.025844,70,1.069558e-01
52,0.026400,92,9.997642e-02
53,0.026956,66,9.353655e-02
54,0.027511,75,8.762604e-02
55,0.028067,71,8.216696e-02
56,0.028622,72,7.711668e-02
57,0.029178,61,7.244725e-02
58,0.029733,84,6.812511e-02
59,0.030289,76,6.412765e-02
60,0.030844,81,6.039096e-02
61,0.031400,48,5.687589e-02
62,0.031956,67,5.370323e-02
63,0.032511,67,5.067626e-02
64,0.033067,62,4.787943e-02
65,0.033622,65,4.525904e-02
66,0.034178,52,4.277269e-02
67,0.034733,53,4.049488e-02
68,0.035289,51,3.834449e-02
69,0.035844,46,3.629844e-02
70,0.036400,31,3.428847e-02
71,0.036956,49,3.265188e-02
72,0.037511,51,3.097139e-02
73,0.038067,40,2.937858e-02
74,0.038622,42,2.790943e-02
