timestep,t,sor_iters,residual
1,0.050000,46,2.941523e-02
2,0.001021,83,2.682543e-01
3,0.001700,49,3.475388e-02
4,0.002520,51,3.754971e-02
5,0.003543,50,3.575953e-02
6,0.004865,48,3.358706e-02
7,0.006271,47,3.061279e-02
8,0.007521,41,2.295714e-02
9,0.008771,32,1.427528e-02
10,0.010021,31,9.183702e-03
11,0.011271,9,5.651862e-03
12,0.012521,6,3.893264e-03
13,0.013771,11,2.949899e-03
14,0.015021,1,1.337071e-03
15,0.016271,1,9.833241e-04
16,0.017521,1,9.052613e-04
17,0.018771,1,9.895175e-04
18,0.020021,1,9.748363e-04
19,0.021271,1,9.536115e-04
20,0.022521,1,9.134856e-04
21,0.023771,1,9.380880e-04
22,0.025021,1,9.138091e-04
23,0.026271,1,9.241117e-04
24,0.027521,1,9.414287e-04
25,0.028771,1,9.183289e-04
26,0.030021,1,9.651451e-04
27,0.031271,1,9.899874e-04
28,0.032521,1,9.931049e-04
29,0.033771,1,9.540853e-04
30,0.035021,1,9.991742e-04
31,0.036271,1,9.866691e-04
32,0.037521,1,9.914445e-04
33,0.038771,1,9.142392e-04
34,0.040021,1,9.735733e-04
35,0.041271,1,9.459884e-04
36,0.042521,1,9.632578e-04
37,0.043771,1,9.472616e-04
38,0.045021,1,9.379045e-04
39,0.046271,1,9.953164e-04
40,0.047521,1,8.903948e-04
41,0.048771,1,9.757562e-04
42,0.050021,1,9.772194e-04
43,0.051271,1,9.711596e-04
44,0.052521,1,9.301824e-04
45,0.053771,1,9.319888e-04
46,0.055021,1,8.608318e-04
47,0.056271,1,9.691493e-04
48,0.057521,1,8.653976e-04
49,0.058771,1,9.797091e-04
50,0.060021,1,9.862878e-04
51,0.061271,1,9.512460e-04
52,0.062521,1,9.972512e-04
53,0.063771,1,8.508448e-04
54,0.065021,1,9.976847e-04
55,0.066271,1,9.866460e-04
56,0.067521,1,9.780476e-04
57,0.068771,1,9.753310e-04
58,0.070021,1,9.282204e-04
59,0.071271,1,9.711145e-04
60,0.072521,1,9.485795e-04
61,0.073771,1,9.977025e-04
62,0.075021,1,9.772643e-04
63,0.076271,0,9.962699e-04
64,0.077521,0,9.476337e-04
65,0.078771,0,9.672799e-04
66,0.080021,0,9.698333e-04
67,0.081271,1,9.354045e-04
68,0.082521,1,9.716267e-04
69,0.083771,1,9.826212e-04
70,0.085021,1,9.918887e-04
71,0.086271,1,9.835406e-04
72,0.087521,1,9.844398e-04
73,0.088771,0,9.971998e-04
74,0.090021,1,9.628914e-04
75,0.091271,1,9.945922e-04
76,0.092521,1,9.420771e-04
77,0.093771,1,9.312981e-04
78,0.095021,1,9.907749e-04
79,0.096271,1,9.165591e-04
80,0.097521,1,9.076572e-04
81,0.098771,1,8.650701e-04
82,0.100021,1,9.229528e-04
83,0.101271,1,8.857895e-04
84,0.102521,1,8.886231e-04
85,0.103771,1,8.560986e-04
86,0.105021,1,9.323758e-04
87,0.106271,1,9.848310e-04
88,0.107521,1,9.020583e-04
89,0.108771,1,9.770106e-04
90,0.110021,1,9.302806e-04
91,0.111271,1,9.163054e-04
92,0.112521,1,9.068203e-04
93,0.113771,1,9.133125e-04
94,0.115021,1,9.544475e-04
95,0.116271,1,9.905736e-04
96,0.117521,1,9.829922e-04
97,0.118771,1,9.854134e-04
98,0.120021,1,9.358605e-04
99,0.121271,1,8.946380e-04
100,0.122521,1,9.250373e-04
101,0.123771,1,9.027080e-04
102,0.125021,1,9.957889e-04
103,0.126271,1,9.419311e-04
104,0.127521,1,9.338493e-04
105,0.128771,1,8.943851e-04
106,0.130021,0,9.646099e-04
107,0.131271,1,9.050259e-04
108,0.132521,1,9.142405e-04
109,0.133771,1,9.583126e-04
110,0.135021,1,9.934006e-04
111,0.136271,1,9.919352e-04
112,0.137521,1,8.544650e-04
113,0.138771,1,9.699545e-04
114,0.140021,1,8.997317e-04
115,0.141271,1,9.325499e-04
116,0.142521,1,9.286152e-04
117,0.143771,1,9.890852e-04
118,0.145021,1,9.374284e-04
119,0.146271,1,9.921023e-04
120,0.147521,1,9.968992e-04
121,0.148771,1,9.600190e-04
122,0.150021,1,9.777902e-04
123,0.151271,1,9.835811e-04
124,0.152521,1,9.839098e-04
125,0.153771,1,9.969489e-04
126,0.155021,1,8.359136e-04
127,0.156271,1,9.860353e-04
128,0.157521,1,9.834252e-04
129,0.158771,1,9.635405e-04
130,0.160021,1,9.938603e-04
131,0.161271,1,9.950519e-04
132,0.162521,1,9.972284e-04
133,0.163771,1,8.984907e-04
134,0.165021,1,9.939009e-04
135,0.166271,1,9.712209e-04
136,0.167521,1,9.952901e-04
137,0.168771,1,9.906496e-04
138,0.170021,1,9.597449e-04
139,0.171271,1,9.502954e-04
140,0.172521,1,9.792037e-04
141,0.173771,1,8.683202e-04
142,0.175021,1,9.894782e-04
143,0.176271,0,9.705858e-04
144,0.177521,1,9.111182e-04
145,0.178771,1,9.745391e-04
146,0.180021,1,9.799847e-04
147,0.181271,1,8.909848e-04
148,0.182521,1,9.909921e-04
149,0.183771,1,9.876863e-04
150,0.185021,1,8.888820e-04
151,0.186271,1,9.943861e-04
152,0.187521,1,9.846649e-04
153,0.188771,1,8.885509e-04
154,0.190021,1,9.879163e-04
155,0.191271,1,9.776755e-04
156,0.192521,1,9.983039e-04
157,0.193771,1,9.260366e-04
158,0.195021,1,8.742493e-04
159,0.196271,1,9.183725e-04
160,0.197521,1,9.513661e-04
161,0.198771,1,9.807377e-04
162,0.200021,1,9.766962e-04
163,0.201271,1,8.988045e-04
164,0.202521,1,9.845442e-04
165,0.203771,1,9.717755e-04
166,0.205021,1,9.835248e-04
167,0.206271,1,9.978410e-04
168,0.207521,1,9.918564e-04
169,0.208771,1,9.103844e-04
170,0.210021,1,9.676890e-04
171,0.211271,1,9.681125e-04
172,0.212521,1,9.774476e-04
173,0.213771,1,9.873668e-04
174,0.215021,1,9.744127e-04
175,0.216271,1,9.856662e-04
176,0.217521,1,9.009013e-04
177,0.218771,1,9.085696e-04
178,0.220021,1,9.885124e-04
179,0.221271,1,9.229075e-04
180,0.222521,1,9.054564e-04
181,0.223771,1,9.048113e-04
182,0.225021,1,9.807817e-04
183,0.226271,1,9.808917e-04
184,0.227521,1,9.863872e-04
185,0.228771,1,9.838633e-04
186,0.230021,1,9.671020e-04
187,0.231271,1,8.719044e-04
188,0.232521,1,9.464741e-04
189,0.233771,1,9.884661e-04
190,0.235021,1,9.852880e-04
191,0.236271,1,9.071945e-04
192,0.237521,1,9.887937e-04
193,0.238771,1,9.747312e-04
194,0.240021,1,9.976960e-04
195,0.241271,1,9.055577e-04
196,0.242521,1,9.601074e-04
197,0.243771,1,9.110891e-04
198,0.245021,1,9.777831e-04
199,0.246271,1,9.777149e-04
200,0.247521,1,9.823431e-04
201,0.248771,1,9.547582e-04
202,0.250021,1,9.369816e-04
203,0.251271,1,9.838593e-04
204,0.252521,1,9.659524e-04
205,0.253771,1,9.881121e-04
206,0.255021,1,9.417085e-04
207,0.256271,1,9.823249e-04
208,0.257521,1,9.409929e-04
209,0.258771,1,9.351474e-04
210,0.260021,1,8.872614e-04
211,0.261271,1,9.873920e-04
212,0.262521,1,9.651687e-04
213,0.263771,1,9.754273e-04
214,0.265021,1,9.896660e-04
215,0.266271,0,9.895406e-04
216,0.267521,1,9.372107e-04
217,0.268771,1,9.529109e-04
218,0.270021,1,9.904827e-04
219,0.271271,1,9.231993e-04
220,0.272521,1,9.856353e-04
221,0.273771,1,9.908353e-04
222,0.275021,1,8.993465e-04
223,0.276271,1,8.647821e-04
224,0.277521,1,9.023238e-04
225,0.278771,1,9.158974e-04
226,0.280021,1,9.835723e-04
227,0.281271,1,9.088398e-04
228,0.282521,1,9.127501e-04
229,0.283771,1,9.821237e-04
230,0.285021,0,9.840429e-04
231,0.286271,1,8.913659e-04
232,0.287521,1,9.924310e-04
233,0.288771,1,9.282422e-04
234,0.290021,1,8.968786e-04
235,0.291271,1,8.761377e-04
236,0.292521,1,9.219546e-04
237,0.293771,1,9.717881e-04
238,0.295021,1,9.669492e-04
239,0.296271,1,8.832687e-04
240,0.297521,1,9.713664e-04
241,0.298771,1,9.055195e-04
242,0.300021,1,9.976994e-04
243,0.301271,1,9.847615e-04
244,0.302521,1,9.352028e-04
245,0.303771,1,9.595685e-04
246,0.305021,1,9.751521e-04
247,0.306271,1,9.777188e-04
248,0.307521,1,9.762628e-04
249,0.308771,1,9.654189e-04
250,0.310021,1,9.131083e-04
251,0.311271,1,9.090154e-04
252,0.312521,1,9.979932e-04
253,0.313771,1,9.207081e-04
254,0.315021,1,9.924919e-04
255,0.316271,1,9.069717e-04
256,0.317521,1,9.097754e-04
257,0.318771,1,9.329089e-04
258,0.320021,1,9.925809e-04
259,0.321271,1,9.617641e-04
260,0.322521,1,9.777321e-04
261,0.323771,1,9.728718e-04
262,0.325021,1,9.893320e-04
263,0.326271,1,9.109411e-04
264,0.327521,1,9.093254e-04
265,0.328771,1,8.905342e-04
266,0.330021,1,9.414934e-04
267,0.331271,1,8.886081e-04
268,0.332521,1,9.415182e-04
269,0.333771,1,9.571941e-04
270,0.335021,1,9.598395e-04
271,0.336271,1,9.637338e-04
272,0.337521,0,9.823091e-04
273,0.338771,1,9.573018e-04
274,0.340021,1,8.749435e-04
275,0.341271,1,9.974809e-04
276,0.342521,1,9.719457e-04
277,0.343771,1,9.185122e-04
278,0.345021,1,9.148313e-04
279,0.346271,1,9.730214e-04
280,0.347521,1,9.187453e-04
281,0.348771,1,9.514297e-04
282,0.350021,0,9.959305e-04
283,0.351271,1,9.840771e-04
284,0.352521,1,9.547519e-04
285,0.353771,1,9.611499e-04
286,0.355021,1,9.816562e-04
287,0.356271,1,9.763984e-04
288,0.357521,1,8.766478e-04
289,0.358771,1,9.989857e-04
290,0.360021,1,9.134912e-04
291,0.361271,1,9.675034e-04
292,0.362521,0,9.971155e-04
293,0.363771,1,9.298011e-04
294,0.365021,1,9.234014e-04
295,0.366271,1,8.456005e-04
296,0.367521,1,9.934152e-04
297,0.368771,1,9.749544e-04
298,0.370021,1,9.119223e-04
299,0.371271,1,9.725047e-04
300,0.372521,1,9.178466e-04
301,0.373771,1,9.818264e-04
302,0.375021,1,9.916062e-04
303,0.376271,1,9.498251e-04
304,0.377521,1,9.614830e-04
305,0.378771,1,9.664535e-04
306,0.380021,1,9.940753e-04
307,0.381271,1,9.813200e-04
308,0.382521,1,9.785443e-04
309,0.383771,1,9.400246e-04
310,0.385021,1,9.941844e-04
311,0.386271,1,9.678456e-04
312,0.387521,1,9.702614e-04
313,0.388771,1,9.925751e-04
314,0.390021,1,9.835787e-04
315,0.391271,1,9.406139e-04
316,0.392521,1,9.170432e-04
317,0.393771,1,9.043285e-04
318,0.395021,1,8.979677e-04
319,0.396271,1,9.016284e-04
320,0.397521,1,9.782611e-04
321,0.398771,1,9.369434e-04
322,0.400021,1,8.578044e-04
323,0.401271,1,9.769456e-04
324,0.402521,1,9.757565e-04
325,0.403771,1,9.637342e-04
326,0.405021,1,9.406321e-04
327,0.406271,1,9.283526e-04
328,0.407521,1,9.939718e-04
329,0.408771,1,9.169544e-04
330,0.410021,1,9.953588e-04
331,0.411271,1,9.772080e-04
332,0.412521,1,9.644407e-04
333,0.413771,0,9.847606e-04
334,0.415021,1,9.825977e-04
335,0.416271,1,9.483346e-04
336,0.417521,1,9.740407e-04
337,0.418771,1,9.951472e-04
338,0.420021,1,9.939031e-04
339,0.421271,1,9.295054e-04
340,0.422521,1,9.185330e-04
341,0.423771,1,9.937711e-04
342,0.425021,1,9.853025e-04
343,0.426271,1,8.846088e-04
344,0.427521,1,8.670978e-04
345,0.428771,1,9.365228e-04
346,0.430021,1,9.851991e-04
347,0.431271,1,9.253835e-04
348,0.432521,1,9.273915e-04
349,0.433771,1,9.519647e-04
350,0.435021,1,9.888347e-04
351,0.436271,1,9.754107e-04
352,0.437521,1,9.868423e-04
353,0.438771,1,8.962979e-04
354,0.440021,1,9.172227e-04
355,0.441271,1,9.107828e-04
356,0.442521,1,9.740417e-04
357,0.443771,1,9.152301e-04
358,0.445021,1,9.449673e-04
359,0.446271,1,9.341992e-04
360,0.447521,1,9.456758e-04
361,0.448771,1,8.815215e-04
362,0.450021,1,9.639509e-04
363,0.451271,1,9.882094e-04
364,0.452521,1,9.937826e-04
365,0.453771,1,9.958815e-04
366,0.455021,1,9.817586e-04
367,0.456271,1,9.888134e-04
368,0.457521,1,9.814153e-04
369,0.458771,1,9.570932e-04
370,0.460021,1,9.770746e-04
371,0.461271,1,9.731008e-04
372,0.462521,1,9.233140e-04
373,0.463771,1,9.233166e-04
374,0.465021,1,9.363827e-04
375,0.466271,0,9.696545e-04
376,0.467521,1,9.816106e-04
377,0.468771,1,8.934656e-04
378,0.470021,1,9.911398e-04
379,0.471271,1,9.519923e-04
380,0.472521,1,9.447844e-04
381,0.473771,1,9.563932e-04
