timestep,t,sor_iters,residual
1,0.050000,2,9.469687e-04
2,0.008336,1,9.601837e-04
3,0.014168,2,9.974012e-04
4,0.019168,1,9.880046e-04
5,0.024168,2,9.023192e-04
6,0.029168,1,9.395725e-04
7,0.034168,2,8.743178e-04
8,0.039168,2,8.757443e-04
9,0.044168,1,9.438621e-04
10,0.049168,2,9.077956e-04
11,0.054168,1,9.932888e-04
12,0.059168,2,8.816462e-04
13,0.064168,2,8.730619e-04
14,0.069168,2,8.809532e-04
15,0.074168,1,9.889029e-04
16,0.079168,2,9.294849e-04
17,0.084168,1,9.801609e-04
18,0.089168,2,9.674430e-04
19,0.094168,2,9.076646e-04
20,0.099168,2,9.174911e-04
21,0.104168,2,9.950681e-04
22,0.109168,1,9.659737e-04
23,0.114168,2,8.857472e-04
24,0.119168,2,8.946981e-04
25,0.124168,1,9.817375e-04
26,0.129168,2,8.895633e-04
27,0.134168,2,9.164230e-04
28,0.139168,1,9.815331e-04
29,0.144168,2,9.110278e-04
30,0.149168,2,9.717742e-04
31,0.154168,2,8.935025e-04
32,0.159168,1,9.657481e-04
33,0.164168,2,9.892430e-04
34,0.169168,1,9.990532e-04
35,0.174168,2,9.124282e-04
36,0.179168,2,9.886833e-04
37,0.184168,2,9.642652e-04
38,0.189168,2,9.392026e-04
39,0.194168,2,9.116571e-04
40,0.199168,2,8.883722e-04
41,0.204168,2,8.838719e-04
42,0.209168,2,9.038229e-04
43,0.214168,2,8.924294e-04
44,0.219168,2,9.438966e-04
45,0.224168,2,9.358256e-04
46,0.229168,1,9.954575e-04
47,0.234168,1,9.966377e-04
48,0.239168,2,9.924530e-04
49,0.244168,2,8.733346e-04
50,0.249168,2,9.040473e-04
51,0.254168,2,8.370267e-04
52,0.259168,2,8.421363e-04
53,0.264168,1,9.671428e-04
54,0.269168,2,9.161200e-04
55,0.274168,2,9.045199e-04
56,0.279168,2,9.530948e-04
57,0.284168,2,9.910977e-04
58,0.289168,2,9.750528e-04
59,0.294168,2,9.900264e-04
60,0.299168,1,9.971444e-04
61,0.304168,2,8.557557e-04
62,0.309168,1,9.607765e-04
63,0.314168,1,9.621941e-04
64,0.319168,2,8.853667e-04
