timestep,t,sor_iters,residual
1,0.050000,57,6.927120e-01
2,0.008313,61,9.758952e-01
3,0.014157,47,2.806170e-01
4,0.019157,48,2.730811e-01
5,0.024157,45,1.991279e-01
6,0.029157,40,9.676314e-02
7,0.034157,35,5.306406e-02
8,0.039157,32,3.321909e-02
9,0.044157,26,2.114341e-02
10,0.049157,22,1.339476e-02
11,0.054157,18,8.537846e-03
12,0.059157,14,5.468510e-03
13,0.064157,5,3.067322e-03
14,0.069157,3,1.945705e-03
15,0.074157,2,8.917412e-04
16,0.079157,2,9.124179e-04
17,0.084157,1,9.555834e-04
18,0.089157,2,9.467925e-04
19,0.094157,1,9.719178e-04
20,0.099157,2,9.733889e-04
21,0.104157,2,8.854049e-04
22,0.109157,2,8.757866e-04
23,0.114157,2,9.889259e-04
24,0.119157,2,8.683345e-04
25,0.124157,1,9.528189e-04
26,0.129157,2,9.053861e-04
27,0.134157,2,9.194366e-04
28,0.139157,1,9.974401e-04
29,0.144157,2,8.694056e-04
30,0.149157,2,9.442047e-04
31,0.154157,2,9.194096e-04
32,0.159157,2,9.984358e-04
33,0.164157,2,9.133733e-04
34,0.169157,2,8.825597e-04
35,0.174157,1,9.668809e-04
36,0.179157,2,9.624172e-04
37,0.184157,1,9.845598e-04
38,0.189157,2,9.221710e-04
39,0.194157,2,8.702665e-04
40,0.199157,2,9.918662e-04
41,0.204157,2,8.455252e-04
42,0.209157,1,9.884523e-04
43,0.214157,2,8.615277e-04
44,0.219157,2,9.569158e-04
45,0.224157,2,8.701706e-04
46,0.229157,2,8.858875e-04
47,0.234157,2,9.099652e-04
48,0.239157,2,9.324220e-04
49,0.244157,2,8.874013e-04
50,0.249157,2,8.948836e-04
51,0.254157,2,8.816513e-04
52,0.259157,1,9.751265e-04
53,0.264157,2,8.903392e-04
54,0.269157,2,8.848218e-04
55,0.274157,1,9.814563e-04
56,0.279157,1,9.732673e-04
57,0.284157,1,9.827986e-04
58,0.289157,1,9.463288e-04
59,0.294157,2,9.012899e-04
60,0.299157,2,9.188692e-04
61,0.304157,1,9.448976e-04
62,0.309157,1,9.957270e-04
63,0.314157,1,9.678532e-04
64,0.319157,1,9.386584e-04
65,0.324157,2,9.197855e-04
66,0.329157,2,9.067475e-04
67,0.334157,2,9.961288e-04
68,0.339157,2,8.739080e-04
69,0.344157,1,9.943606e-04
70,0.349157,2,9.276670e-04
71,0.354157,2,9.164545e-04
72,0.359157,2,8.896275e-04
73,0.364157,2,9.348311e-04
74,0.369157,2,8.942701e-04
75,0.374157,2,8.660241e-04
76,0.379157,1,9.962861e-04
77,0.384157,2,9.391459e-04
78,0.389157,1,9.687345e-04
79,0.394157,2,9.233264e-04
80,0.399157,1,9.047135e-04
81,0.404157,1,9.287106e-04
82,0.409157,2,9.620497e-04
83,0.414157,1,9.819497e-04
84,0.419157,2,8.812078e-04
85,0.424157,2,9.902250e-04
86,0.429157,2,9.247498e-04
87,0.434157,2,9.702433e-04
88,0.439157,2,8.916425e-04
89,0.444157,2,9.507859e-04
90,0.449157,2,8.718467e-04
91,0.454157,1,9.912998e-04
92,0.459157,2,8.251111e-04
93,0.464157,2,9.675072e-04
94,0.469157,1,9.784680e-04
95,0.474157,2,9.037078e-04
96,0.479157,1,9.432640e-04
97,0.484157,2,8.911509e-04
98,0.489157,1,9.976820e-04
99,0.494157,2,9.691620e-04
100,0.499157,2,9.915251e-04
101,0.504157,1,9.628954e-04
102,0.509157,2,9.421656e-04
103,0.514157,2,8.611759e-04
104,0.519157,2,9.271777e-04
105,0.524157,2,9.848174e-04
106,0.529157,2,9.814287e-04
107,0.534157,2,9.363601e-04
108,0.539157,1,9.683961e-04
109,0.544157,2,9.317720e-04
110,0.549157,2,9.397103e-04
111,0.554157,2,9.686869e-04
112,0.559157,2,9.230921e-04
113,0.564157,1,9.450401e-04
114,0.569157,2,8.881969e-04
115,0.574157,1,9.581121e-04
116,0.579157,2,9.987614e-04
117,0.584157,1,9.698286e-04
118,0.589157,2,9.883776e-04
119,0.594157,2,9.738557e-04
120,0.599157,1,9.766990e-04
121,0.604157,1,9.933091e-04
122,0.609157,1,9.758932e-04
123,0.614157,2,9.327287e-04
124,0.619157,1,9.849554e-04
125,0.624157,1,9.892864e-04
126,0.629157,1,9.920731e-04
127,0.634157,2,9.914330e-04
128,0.639157,2,9.307786e-04
129,0.644157,2,9.953880e-04
130,0.649157,2,9.891564e-04
131,0.654157,2,9.155272e-04
132,0.659157,2,9.176435e-04
133,0.664157,2,9.985606e-04
134,0.669157,2,9.915851e-04
135,0.674157,1,9.585609e-04
136,0.679157,2,9.577500e-04
137,0.684157,2,9.168409e-04
138,0.689157,1,9.660230e-04
139,0.694157,2,9.179637e-04
140,0.699157,1,9.587608e-04
141,0.704157,2,9.288225e-04
142,0.709157,2,9.854196e-04
143,0.714157,2,9.665594e-04
144,0.719157,2,9.509806e-04
145,0.724157,1,9.468573e-04
146,0.729157,2,8.939646e-04
147,0.734157,2,8.850550e-04
148,0.739157,2,9.537169e-04
149,0.744157,2,8.734031e-04
150,0.749157,2,9.418478e-04
151,0.754157,2,9.224110e-04
152,0.759157,2,8.491403e-04
153,0.764157,2,9.046471e-04
154,0.769157,2,9.077608e-04
155,0.774157,2,9.223860e-04
156,0.779157,2,9.113136e-04
157,0.784157,2,9.096895e-04
158,0.789157,2,8.865886e-04
159,0.794157,2,9.716383e-04
160,0.799157,2,8.730442e-04
161,0.804157,2,9.004565e-04
162,0.809157,2,9.193653e-04
163,0.814157,2,9.164808e-04
164,0.819157,2,8.292891e-04
165,0.824157,2,8.461788e-04
166,0.829157,2,8.493023e-04
167,0.834157,2,8.485714e-04
168,0.839157,2,9.636099e-04
