timestep,t,sor_iters,residual
1,0.050000,1,9.635923e-04
2,0.008336,1,9.651697e-04
3,0.014168,1,9.529027e-04
4,0.019168,1,9.538793e-04
5,0.024168,1,9.576733e-04
6,0.029168,1,9.538181e-04
7,0.034168,1,9.531807e-04
8,0.039168,1,9.438057e-04
9,0.044168,1,9.432035e-04
10,0.049168,1,9.440963e-04
11,0.054168,1,9.662214e-04
12,0.059168,1,9.167883e-04
13,0.064168,1,9.241021e-04
14,0.069168,1,9.354878e-04
15,0.074168,1,9.932541e-04
16,0.079168,1,9.254537e-04
17,0.084168,1,9.418120e-04
18,0.089168,1,9.134438e-04
19,0.094168,1,9.883759e-04
20,0.099168,1,9.627901e-04
21,0.104168,1,9.541558e-04
22,0.109168,1,9.610459e-04
23,0.114168,1,9.940114e-04
24,0.119168,1,9.132882e-04
25,0.124168,1,9.365336e-04
26,0.129168,1,9.186019e-04
27,0.134168,1,9.158419e-04
28,0.139168,1,9.684929e-04
29,0.144168,1,9.717921e-04
30,0.149168,1,9.383724e-04
31,0.154168,1,9.616352e-04
32,0.159168,1,9.943068e-04
33,0.164168,1,9.949283e-04
34,0.169168,1,9.682533e-04
35,0.174168,1,9.691030e-04
36,0.179168,1,9.645214e-04
37,0.184168,1,9.697308e-04
38,0.189168,1,9.635930e-04
39,0.194168,1,9.583130e-04
40,0.199168,1,9.720306e-04
41,0.204168,1,9.680213e-04
42,0.209168,1,9.366350e-04
43,0.214168,1,9.986417e-04
44,0.219168,1,9.165214e-04
45,0.224168,1,9.975775e-04
46,0.229168,1,9.666694e-04
47,0.234168,1,9.992490e-04
48,0.239168,1,9.706539e-04
49,0.244168,1,9.658813e-04
50,0.249168,1,9.558649e-04
51,0.254168,1,9.520878e-04
52,0.259168,1,9.602129e-04
53,0.264168,1,9.692256e-04
54,0.269168,1,9.145968e-04
55,0.274168,1,9.604989e-04
56,0.279168,1,9.699273e-04
57,0.284168,1,9.954203e-04
58,0.289168,1,9.612804e-04
59,0.294168,1,9.562551e-04
60,0.299168,1,9.369524e-04
61,0.304168,1,9.331956e-04
62,0.309168,1,9.556030e-04
63,0.314168,1,9.372829e-04
64,0.319168,1,9.135839e-04
65,0.324168,1,9.372290e-04
66,0.329168,1,9.118573e-04
67,0.334168,1,9.348933e-04
68,0.339168,1,9.324532e-04
69,0.344168,1,9.346198e-04
70,0.349168,1,9.211211e-04
71,0.354168,1,9.281778e-04
72,0.359168,1,9.184379e-04
73,0.364168,1,9.763533e-04
74,0.369168,1,9.716560e-04
75,0.374168,1,9.994788e-04
76,0.379168,1,9.698709e-04
77,0.384168,1,9.648291e-04
78,0.389168,1,9.609886e-04
79,0.394168,1,9.644403e-04
80,0.399168,1,9.557362e-04
81,0.404168,1,9.847564e-04
82,0.409168,1,9.305350e-04
83,0.414168,1,9.591436e-04
84,0.419168,1,9.621912e-04
85,0.424168,1,9.561547e-04
86,0.429168,1,9.283916e-04
87,0.434168,1,9.302151e-04
88,0.439168,1,9.415399e-04
89,0.444168,1,9.824502e-04
90,0.449168,1,9.380026e-04
91,0.454168,1,9.627653e-04
92,0.459168,1,9.448672e-04
93,0.464168,1,9.466560e-04
94,0.469168,1,9.512059e-04
95,0.474168,1,9.341185e-04
96,0.479168,1,9.813697e-04
97,0.484168,1,9.443332e-04
98,0.489168,1,9.406300e-04
99,0.494168,1,9.359571e-04
100,0.499168,1,9.966404e-04
101,0.504168,1,9.307110e-04
102,0.509168,1,9.761659e-04
103,0.514168,1,9.443621e-04
104,0.519168,1,9.839134e-04
105,0.524168,1,9.922615e-04
106,0.529168,1,9.525608e-04
107,0.534168,1,9.739510e-04
108,0.539168,1,9.759074e-04
109,0.544168,1,9.841717e-04
110,0.549168,1,9.843860e-04
111,0.554168,1,9.785899e-04
112,0.559168,1,9.600524e-04
113,0.564168,1,9.697093e-04
114,0.569168,1,9.903325e-04
115,0.574168,1,9.763880e-04
116,0.579168,1,9.907677e-04
117,0.584168,1,9.958377e-04
118,0.589168,1,9.943734e-04
119,0.594168,1,9.904632e-04
120,0.599168,1,9.270721e-04
121,0.604168,1,9.447267e-04
122,0.609168,1,9.469163e-04
123,0.614168,1,9.810493e-04
124,0.619168,1,9.754000e-04
125,0.624168,1,9.839435e-04
126,0.629168,1,9.319166e-04
127,0.634168,1,9.409857e-04
128,0.639168,1,9.933737e-04
129,0.644168,1,9.649325e-04
130,0.649168,1,9.270770e-04
131,0.654168,1,9.254915e-04
132,0.659168,1,9.184158e-04
133,0.664168,1,9.212501e-04
134,0.669168,1,9.402884e-04
135,0.674168,1,9.375612e-04
136,0.679168,1,9.796089e-04
137,0.684168,1,9.771257e-04
138,0.689168,1,8.858298e-04
139,0.694168,1,9.974535e-04
140,0.699168,1,9.767901e-04
141,0.704168,1,9.216558e-04
142,0.709168,1,9.982822e-04
143,0.714168,1,9.197578e-04
144,0.719168,1,9.661042e-04
145,0.724168,1,9.982637e-04
146,0.729168,1,9.112712e-04
147,0.734168,1,9.903575e-04
148,0.739168,1,9.594597e-04
149,0.744168,1,9.558369e-04
150,0.749168,1,9.963443e-04
151,0.754168,1,9.712924e-04
152,0.759168,1,9.497845e-04
153,0.764168,1,9.508211e-04
154,0.769168,1,9.180600e-04
155,0.774168,1,9.931382e-04
156,0.779168,1,9.506131e-04
157,0.784168,1,9.987810e-04
158,0.789168,1,9.693875e-04
159,0.794168,1,9.937276e-04
160,0.799168,1,9.988339e-04
161,0.804168,1,9.544865e-04
162,0.809168,1,9.382263e-04
163,0.814168,1,8.982002e-04
164,0.819168,1,8.950372e-04
165,0.824168,1,8.913012e-04
166,0.829168,1,8.863709e-04
167,0.834168,1,9.583927e-04
168,0.839168,1,9.064963e-04
169,0.844168,1,9.551745e-04
170,0.849168,1,9.541689e-04
171,0.854168,1,9.500578e-04
172,0.859168,1,9.087897e-04
173,0.864168,1,9.002273e-04
174,0.869168,1,8.914634e-04
175,0.874168,1,9.995479e-04
176,0.879168,1,8.883080e-04
177,0.884168,1,9.585615e-04
178,0.889168,1,8.981646e-04
179,0.894168,1,9.884796e-04
180,0.899168,1,9.002591e-04
181,0.904168,1,8.899888e-04
182,0.909168,1,8.882650e-04
183,0.914168,1,9.980927e-04
184,0.919168,1,8.901649e-04
185,0.924168,1,9.862978e-04
186,0.929168,1,9.924297e-04
187,0.934168,1,9.878621e-04
188,0.939168,1,9.820326e-04
189,0.944168,1,9.370746e-04
