timestep,t,sor_iters,residual
1,0.050000,29,6.927125e-01
2,0.008313,31,9.758929e-01
3,0.014157,24,2.806125e-01
4,0.019157,25,2.730809e-01
5,0.024157,23,1.991272e-01
6,0.029157,20,9.676257e-02
7,0.034157,18,5.306418e-02
8,0.039157,16,3.321089e-02
9,0.044157,14,2.115020e-02
10,0.049157,12,1.343339e-02
11,0.054157,9,8.537642e-03
12,0.059157,4,5.014931e-03
13,0.064157,3,3.137497e-03
14,0.069157,3,2.108546e-03
15,0.074157,2,1.277229e-03
16,0.079157,1,9.481031e-04
17,0.084157,1,9.709945e-04
18,0.089157,1,9.790284e-04
19,0.094157,1,9.690028e-04
20,0.099157,1,9.587585e-04
21,0.104157,1,9.206155e-04
22,0.109157,1,9.464274e-04
23,0.114157,1,9.595274e-04
24,0.119157,1,9.699928e-04
25,0.124157,1,9.665643e-04
26,0.129157,1,9.703981e-04
27,0.134157,1,9.224514e-04
28,0.139157,1,9.551847e-04
29,0.144157,1,9.649806e-04
30,0.149157,1,9.132511e-04
31,0.154157,1,9.231888e-04
32,0.159157,1,9.665433e-04
33,0.164157,1,9.186828e-04
34,0.169157,1,9.527919e-04
35,0.174157,1,9.179822e-04
36,0.179157,1,9.134944e-04
37,0.184157,1,9.583282e-04
38,0.189157,1,9.641135e-04
39,0.194157,1,9.646056e-04
40,0.199157,1,9.155716e-04
41,0.204157,1,9.236270e-04
42,0.209157,1,9.729902e-04
43,0.214157,1,9.254564e-04
44,0.219157,1,9.148946e-04
45,0.224157,1,9.220962e-04
46,0.229157,1,9.562946e-04
47,0.234157,1,9.188123e-04
48,0.239157,1,9.450172e-04
49,0.244157,1,9.349471e-04
50,0.249157,1,9.184452e-04
51,0.254157,1,9.633622e-04
52,0.259157,1,9.747880e-04
53,0.264157,1,9.747935e-04
54,0.269157,1,9.413559e-04
55,0.274157,1,9.528639e-04
56,0.279157,1,9.348421e-04
57,0.284157,1,9.697958e-04
58,0.289157,1,9.624200e-04
59,0.294157,1,9.593115e-04
60,0.299157,1,9.258032e-04
61,0.304157,1,9.360779e-04
62,0.309157,1,9.126660e-04
63,0.314157,1,9.178815e-04
64,0.319157,1,9.400369e-04
65,0.324157,1,9.262232e-04
66,0.329157,1,9.229097e-04
67,0.334157,1,9.447828e-04
68,0.339157,1,9.173299e-04
69,0.344157,1,9.666624e-04
70,0.349157,1,9.383433e-04
71,0.354157,1,9.356146e-04
72,0.359157,1,9.350445e-04
73,0.364157,1,9.045696e-04
74,0.369157,1,9.230759e-04
75,0.374157,1,9.222347e-04
76,0.379157,1,9.985917e-04
77,0.384157,1,9.986585e-04
78,0.389157,1,9.483848e-04
79,0.394157,1,9.545510e-04
80,0.399157,1,9.565095e-04
81,0.404157,1,9.953369e-04
82,0.409157,1,9.542793e-04
83,0.414157,1,9.406461e-04
84,0.419157,1,9.489568e-04
85,0.424157,1,9.453159e-04
86,0.429157,1,9.861488e-04
87,0.434157,1,9.610378e-04
88,0.439157,1,9.276864e-04
89,0.444157,1,9.222601e-04
90,0.449157,1,9.064536e-04
91,0.454157,1,9.402955e-04
92,0.459157,1,9.470403e-04
93,0.464157,1,9.141550e-04
94,0.469157,1,9.386468e-04
95,0.474157,1,9.475316e-04
96,0.479157,1,9.394746e-04
97,0.484157,1,9.267993e-04
98,0.489157,1,9.195277e-04
99,0.494157,1,9.402651e-04
100,0.499157,1,9.855006e-04
101,0.504157,1,9.237454e-04
102,0.509157,1,9.322944e-04
103,0.514157,1,9.350907e-04
104,0.519157,1,9.258702e-04
105,0.524157,1,9.751639e-04
106,0.529157,1,9.319273e-04
107,0.534157,1,9.125923e-04
108,0.539157,1,9.446733e-04
109,0.544157,1,9.236868e-04
110,0.549157,1,9.173216e-04
111,0.554157,1,9.080833e-04
112,0.559157,1,8.966122e-04
113,0.564157,1,9.922706e-04
114,0.569157,1,9.103731e-04
115,0.574157,1,9.988688e-04
116,0.579157,1,9.186665e-04
117,0.584157,1,9.835655e-04
118,0.589157,1,8.962282e-04
119,0.594157,1,9.576650e-04
120,0.599157,1,9.996635e-04
121,0.604157,1,9.039667e-04
122,0.609157,1,9.703909e-04
123,0.614157,1,9.846188e-04
124,0.619157,1,9.480017e-04
125,0.624157,1,9.394127e-04
126,0.629157,1,9.738302e-04
127,0.634157,1,9.454597e-04
128,0.639157,1,9.083886e-04
129,0.644157,1,9.199281e-04
130,0.649157,1,8.927926e-04
131,0.654157,1,9.366063e-04
132,0.659157,1,9.251535e-04
133,0.664157,1,9.399628e-04
134,0.669157,1,9.142274e-04
135,0.674157,1,9.128934e-04
136,0.679157,1,9.025680e-04
137,0.684157,1,9.053662e-04
138,0.689157,1,9.950758e-04
139,0.694157,1,9.922515e-04
140,0.699157,1,9.763642e-04
141,0.704157,1,9.971722e-04
142,0.709157,1,9.571156e-04
143,0.714157,1,9.889325e-04
144,0.719157,1,8.917794e-04
145,0.724157,1,8.870127e-04
146,0.729157,1,8.829277e-04
147,0.734157,1,8.780309e-04
148,0.739157,1,8.734407e-04
149,0.744157,1,9.920057e-04
150,0.749157,1,8.819020e-04
151,0.754157,1,8.757727e-04
152,0.759157,1,8.734361e-04
153,0.764157,1,9.413388e-04
154,0.769157,1,9.245116e-04
155,0.774157,1,9.468604e-04
156,0.779157,1,9.529153e-04
157,0.784157,1,9.656514e-04
158,0.789157,1,9.658903e-04
159,0.794157,1,9.498487e-04
160,0.799157,1,9.924796e-04
161,0.804157,1,8.728364e-04
162,0.809157,1,9.194759e-04
163,0.814157,1,9.989156e-04
164,0.819157,1,9.430275e-04
165,0.824157,1,9.978851e-04
166,0.829157,1,9.320463e-04
167,0.834157,1,9.283627e-04
168,0.839157,1,9.800991e-04
169,0.844157,1,9.617555e-04
170,0.849157,1,9.820488e-04
171,0.854157,1,9.561829e-04
172,0.859157,1,9.597348e-04
173,0.864157,1,9.760877e-04
174,0.869157,1,9.770646e-04
175,0.874157,1,9.874852e-04
176,0.879157,1,9.744758e-04
177,0.884157,1,9.164332e-04
178,0.889157,1,9.160250e-04
179,0.894157,1,9.768420e-04
180,0.899157,1,9.825075e-04
181,0.904157,1,9.349032e-04
182,0.909157,1,9.553969e-04
183,0.914157,1,9.224720e-04
184,0.919157,1,9.303706e-04
185,0.924157,1,9.624525e-04
186,0.929157,1,9.381813e-04
187,0.934157,1,9.312272e-04
188,0.939157,1,9.079375e-04
189,0.944157,1,9.848954e-04
190,0.949157,1,9.891548e-04
191,0.954157,1,9.840634e-04
192,0.959157,1,9.349511e-04
193,0.964157,1,9.114835e-04
194,0.969157,1,9.511078e-04
195,0.974157,1,9.373762e-04
196,0.979157,1,9.380107e-04
197,0.984157,1,9.394892e-04
198,0.989157,1,9.755318e-04
199,0.994157,1,9.086769e-04
200,0.999157,1,9.771342e-04
201,1.004157,1,9.798697e-04
202,1.009157,1,9.742473e-04
203,1.014157,1,9.226468e-04
204,1.019157,1,9.502649e-04
205,1.024157,1,9.728596e-04
206,1.029157,1,9.454324e-04
207,1.034157,1,9.160778e-04
208,1.039157,1,9.676464e-04
209,1.044157,1,9.408644e-04
210,1.049157,1,9.426691e-04
211,1.054157,1,9.545705e-04
212,1.059157,1,9.533892e-04
213,1.064157,1,9.464176e-04
214,1.069157,1,8.938445e-04
215,1.074157,1,9.951629e-04
216,1.079157,1,9.992257e-04
217,1.084157,1,9.956991e-04
218,1.089157,1,9.956056e-04
219,1.094157,1,9.460823e-04
220,1.099157,1,9.621754e-04
221,1.104157,1,9.393553e-04
222,1.109157,1,8.290655e-04
223,1.114157,1,9.892186e-04
224,1.119157,1,9.314528e-04
225,1.124157,1,9.380948e-04
226,1.129157,1,9.501381e-04
227,1.134157,1,9.475517e-04
228,1.139157,1,9.418262e-04
229,1.144157,1,9.345068e-04
230,1.149157,1,9.277501e-04
231,1.154157,1,9.167574e-04
232,1.159157,1,9.088520e-04
233,1.164157,1,9.876834e-04
234,1.169157,1,9.397071e-04
235,1.174157,1,9.132022e-04
236,1.179157,1,9.380497e-04
237,1.184157,1,9.902115e-04
238,1.189157,1,9.412083e-04
239,1.194157,1,9.852099e-04
240,1.199157,1,9.289224e-04
241,1.204157,1,9.325484e-04
242,1.209157,1,9.464986e-04
243,1.214157,1,9.457057e-04
244,1.219157,1,9.400371e-04
245,1.224157,1,9.333328e-04
246,1.229157,1,9.369377e-04
247,1.234157,1,9.332538e-04
248,1.239157,1,9.270740e-04
249,1.244157,1,9.201640e-04
250,1.249157,1,9.845955e-04
251,1.254157,1,9.895308e-04
252,1.259157,1,9.477338e-04
253,1.264157,1,9.946729e-04
254,1.269157,1,9.365632e-04
255,1.274157,1,9.526818e-04
256,1.279157,1,9.805859e-04
257,1.284157,1,9.366145e-04
258,1.289157,1,9.860105e-04
259,1.294157,1,9.805716e-04
260,1.299157,1,9.844759e-04
261,1.304157,1,8.981395e-04
262,1.309157,1,9.853144e-04
263,1.314157,1,9.993243e-04
264,1.319157,1,9.987353e-04
265,1.324157,1,9.925839e-04
266,1.329157,1,9.861312e-04
267,1.334157,1,9.799498e-04
268,1.339157,1,9.733717e-04
269,1.344157,1,9.706627e-04
270,1.349157,1,9.916114e-04
271,1.354157,1,9.504750e-04
272,1.359157,1,9.971990e-04
273,1.364157,1,9.009954e-04
274,1.369157,1,9.958024e-04
275,1.374157,1,9.972031e-04
276,1.379157,1,9.956826e-04
277,1.384157,1,8.988960e-04
278,1.389157,1,9.943457e-04
279,1.394157,1,9.834777e-04
280,1.399157,1,8.969986e-04
281,1.404157,1,9.782771e-04
282,1.409157,1,9.959300e-04
283,1.414157,1,8.826352e-04
284,1.419157,1,9.006949e-04
285,1.424157,1,9.886794e-04
286,1.429157,1,9.865809e-04
287,1.434157,1,9.073791e-04
288,1.439157,1,9.038465e-04
289,1.444157,1,9.286443e-04
290,1.449157,1,9.612313e-04
291,1.454157,1,9.952173e-04
292,1.459157,1,9.473849e-04
293,1.464157,1,9.859692e-04
294,1.469157,1,8.888436e-04
295,1.474157,1,8.796612e-04
296,1.479157,1,8.882254e-04
297,1.484157,1,9.838893e-04
298,1.489157,1,9.902624e-04
299,1.494157,1,8.825783e-04
300,1.499157,1,9.918496e-04
301,1.504157,1,9.872541e-04
302,1.509157,1,9.679145e-04
303,1.514157,1,9.859782e-04
304,1.519157,1,9.483997e-04
305,1.524157,1,9.571898e-04
306,1.529157,1,9.896559e-04
307,1.534157,1,9.995346e-04
308,1.539157,1,9.912819e-04
309,1.544157,1,8.950483e-04
310,1.549157,1,9.955154e-04
311,1.554157,1,9.994358e-04
312,1.559157,1,9.815481e-04
313,1.564157,1,9.965710e-04
314,1.569157,1,9.487373e-04
315,1.574157,1,9.228874e-04
316,1.579157,1,9.513677e-04
317,1.584157,1,8.613076e-04
318,1.589157,1,9.617044e-04
319,1.594157,1,9.967988e-04
320,1.599157,1,9.882264e-04
321,1.604157,1,9.969829e-04
322,1.609157,1,9.799093e-04
323,1.614157,1,9.250310e-04
324,1.619157,1,9.745956e-04
325,1.624157,1,9.670750e-04
326,1.629157,1,9.448252e-04
327,1.634157,1,8.591215e-04
328,1.639157,1,9.843711e-04
329,1.644157,1,9.833682e-04
330,1.649157,1,9.645459e-04
331,1.654157,1,9.801093e-04
332,1.659157,1,9.965184e-04
333,1.664157,1,9.532577e-04
334,1.669157,1,9.660431e-04
335,1.674157,1,9.861438e-04
336,1.679157,1,9.905734e-04
337,1.684157,1,9.841493e-04
338,1.689157,1,9.747088e-04
339,1.694157,1,9.723676e-04
340,1.699157,1,9.706913e-04
341,1.704157,1,9.678443e-04
342,1.709157,1,9.639028e-04
343,1.714157,1,9.594241e-04
344,1.719157,1,9.521862e-04
345,1.724157,1,8.607024e-04
346,1.729157,1,9.670610e-04
347,1.734157,1,9.756589e-04
348,1.739157,1,9.539805e-04
349,1.744157,1,9.450541e-04
350,1.749157,1,9.492204e-04
351,1.754157,1,9.506603e-04
352,1.759157,1,9.481676e-04
353,1.764157,1,9.432888e-04
354,1.769157,1,9.705721e-04
355,1.774157,1,9.714591e-04
356,1.779157,1,9.680867e-04
357,1.784157,1,9.626717e-04
358,1.789157,1,9.934392e-04
359,1.794157,1,8.602369e-04
360,1.799157,1,9.759286e-04
361,1.804157,1,8.615971e-04
362,1.809157,1,9.773351e-04
363,1.814157,1,9.560157e-04
364,1.819157,1,9.550517e-04
365,1.824157,1,9.520968e-04
366,1.829157,1,9.497589e-04
367,1.834157,1,9.788101e-04
368,1.839157,1,9.929656e-04
369,1.844157,1,9.668230e-04
370,1.849157,1,9.716135e-04
371,1.854157,1,9.465219e-04
372,1.859157,1,9.576703e-04
373,1.864157,1,9.566696e-04
374,1.869157,1,9.657249e-04
375,1.874157,1,9.647088e-04
376,1.879157,1,9.602789e-04
377,1.884157,1,9.556369e-04
378,1.889157,1,9.558486e-04
379,1.894157,1,9.505616e-04
380,1.899157,1,9.352223e-04
381,1.904157,1,9.919206e-04
382,1.909157,1,9.751814e-04
383,1.914157,1,9.008787e-04
384,1.919157,1,9.470713e-04
385,1.924157,1,9.562212e-04
386,1.929157,1,9.960819e-04
387,1.934157,1,9.640703e-04
388,1.939157,1,9.830881e-04
389,1.944157,1,9.013511e-04
390,1.949157,1,9.987965e-04
391,1.954157,1,9.760583e-04
392,1.959157,1,9.793473e-04
393,1.964157,1,9.883594e-04
394,1.969157,1,9.917896e-04
395,1.974157,1,9.909304e-04
396,1.979157,1,9.855924e-04
397,1.984157,1,9.809622e-04
398,1.989157,1,9.749514e-04
399,1.994157,1,9.707564e-04
400,1.999157,1,9.652886e-04
401,2.004157,1,9.613813e-04
402,2.009157,1,9.562280e-04
403,2.014157,1,9.526178e-04
404,2.019157,1,9.626611e-04
405,2.024157,1,9.594823e-04
406,2.029157,1,9.599579e-04
407,2.034157,1,9.582300e-04
408,2.039157,1,9.593880e-04
409,2.044157,1,9.543987e-04
410,2.049157,1,9.515561e-04
411,2.054157,1,9.510415e-04
412,2.059157,1,9.469548e-04
413,2.064157,1,9.429520e-04
414,2.069157,1,9.375279e-04
415,2.074157,1,8.970497e-04
416,2.079157,1,9.633460e-04
417,2.084157,1,9.573716e-04
418,2.089157,1,9.991748e-04
419,2.094157,1,9.618274e-04
420,2.099157,1,9.984152e-04
421,2.104157,1,9.624367e-04
422,2.109157,1,8.977431e-04
423,2.114157,1,9.419112e-04
424,2.119157,1,8.984145e-04
425,2.124157,1,9.474802e-04
426,2.129157,1,8.982507e-04
427,2.134157,1,9.405340e-04
428,2.139157,1,9.931069e-04
429,2.144157,1,9.506901e-04
430,2.149157,1,9.768871e-04
431,2.154157,1,9.701958e-04
432,2.159157,1,9.777577e-04
433,2.164157,1,8.989719e-04
434,2.169157,1,9.167210e-04
435,2.174157,1,9.709758e-04
436,2.179157,1,8.975853e-04
437,2.184157,1,9.646996e-04
438,2.189157,1,9.998841e-04
439,2.194157,1,9.008815e-04
440,2.199157,1,9.502876e-04
441,2.204157,1,9.917029e-04
442,2.209157,1,9.997851e-04
443,2.214157,1,9.923722e-04
444,2.219157,1,9.808453e-04
445,2.224157,1,9.711716e-04
446,2.229157,1,9.644416e-04
447,2.234157,1,9.598470e-04
448,2.239157,1,9.561412e-04
449,2.244157,1,9.525527e-04
450,2.249157,1,9.486868e-04
451,2.254157,1,9.447119e-04
452,2.259157,1,9.409005e-04
453,2.264157,1,9.373965e-04
454,2.269157,1,9.341640e-04
455,2.274157,1,9.310543e-04
456,2.279157,1,9.279164e-04
457,2.284157,1,9.246632e-04
458,2.289157,1,9.211533e-04
459,2.294157,1,9.224426e-04
460,2.299157,1,9.178034e-04
461,2.304157,1,9.688835e-04
462,2.309157,1,9.607922e-04
463,2.314157,1,9.311113e-04
464,2.319157,1,9.570475e-04
465,2.324157,1,9.438096e-04
466,2.329157,1,9.656607e-04
467,2.334157,1,9.437819e-04
468,2.339157,1,9.616308e-04
469,2.344157,1,9.327718e-04
470,2.349157,1,9.487726e-04
471,2.354157,1,9.219521e-04
472,2.359157,1,9.403542e-04
473,2.364157,1,9.189229e-04
474,2.369157,1,9.372616e-04
475,2.374157,1,9.667820e-04
476,2.379157,1,9.294227e-04
477,2.384157,1,9.303929e-04
478,2.389157,1,9.507876e-04
479,2.394157,1,9.667439e-04
480,2.399157,1,9.183986e-04
481,2.404157,1,9.139036e-04
482,2.409157,1,9.336086e-04
483,2.414157,1,9.510891e-04
484,2.419157,1,9.582982e-04
485,2.424157,1,9.570543e-04
486,2.429157,1,9.514134e-04
487,2.434157,1,9.451277e-04
488,2.439157,1,9.395958e-04
489,2.444157,1,9.352991e-04
490,2.449157,1,9.315979e-04
491,2.454157,1,9.284256e-04
492,2.459157,1,9.247545e-04
493,2.464157,1,9.213216e-04
494,2.469157,1,9.174413e-04
495,2.474157,1,9.142031e-04
496,2.479157,1,9.108103e-04
497,2.484157,1,9.080897e-04
498,2.489157,1,9.761382e-04
499,2.494157,1,9.646407e-04
500,2.499157,1,9.326246e-04
501,2.504157,1,9.741434e-04
502,2.509157,1,9.489048e-04
503,2.514157,1,9.144874e-04
504,2.519157,1,9.565009e-04
