timestep,t,sor_iters,residual
1,0.050000,100,1.691628e+00
2,0.008205,100,5.022943e+00
3,0.014103,100,3.561458e+00
4,0.019103,100,3.856154e+00
5,0.024103,100,1.490666e+00
6,0.029103,100,7.293574e-01
7,0.034103,100,1.208427e+00
8,0.039103,100,7.570744e-01
9,0.044103,100,1.676696e-01
10,0.049103,100,1.417427e-01
11,0.054103,100,1.596256e-01
12,0.059103,100,6.116182e-02
13,0.064103,100,2.220993e-02
14,0.069103,100,4.486045e-02
15,0.074103,100,2.946022e-02
16,0.079103,100,6.841078e-03
17,0.084103,100,6.134685e-03
18,0.089103,100,7.997135e-03
19,0.094103,100,4.880518e-03
20,0.099103,100,2.068407e-03
21,0.104103,100,1.413228e-03
22,0.109103,100,1.942732e-03
23,0.114103,100,2.777388e-03
24,0.119103,100,3.308924e-03
25,0.124103,100,3.429269e-03
26,0.129103,100,3.332456e-03
27,0.134103,100,3.211648e-03
28,0.139103,100,3.144353e-03
29,0.144103,100,3.120034e-03
30,0.149103,100,3.102522e-03
31,0.154103,100,3.068822e-03
32,0.159103,100,3.016118e-03
33,0.164103,100,2.952342e-03
34,0.169103,100,2.885839e-03
35,0.174103,100,2.820765e-03
36,0.179103,100,2.757301e-03
37,0.184103,100,2.694496e-03
38,0.189103,100,2.631876e-03
39,0.194103,100,2.569490e-03
40,0.199103,100,2.507815e-03
41,0.204103,100,2.447332e-03
42,0.209103,100,2.388316e-03
43,0.214103,100,2.330936e-03
44,0.219103,100,2.275156e-03
45,0.224103,100,2.220873e-03
46,0.229103,100,2.168085e-03
47,0.234103,100,2.116820e-03
48,0.239103,100,2.067104e-03
49,0.244103,100,2.018902e-03
50,0.249103,100,1.972215e-03
51,0.254103,100,1.927004e-03
52,0.259103,100,1.883292e-03
53,0.264103,100,1.840987e-03
54,0.269103,100,1.800000e-03
55,0.274103,100,1.760263e-03
56,0.279103,100,1.721769e-03
57,0.284103,100,1.684481e-03
58,0.289103,100,1.648375e-03
59,0.294103,100,1.613410e-03
60,0.299103,100,1.579567e-03
61,0.304103,100,1.546766e-03
62,0.309103,100,1.514959e-03
63,0.314103,100,1.484131e-03
64,0.319103,100,1.454240e-03
65,0.324103,100,1.425260e-03
66,0.329103,100,1.397179e-03
67,0.334103,100,1.369962e-03
68,0.339103,100,1.343520e-03
69,0.344103,100,1.317847e-03
70,0.349103,100,1.292942e-03
71,0.354103,100,1.268733e-03
72,0.359103,100,1.245191e-03
73,0.364103,100,1.222315e-03
74,0.369103,100,1.200108e-03
75,0.374103,100,1.178529e-03
76,0.379103,100,1.157530e-03
77,0.384103,100,1.137078e-03
78,0.389103,100,1.117170e-03
79,0.394103,100,1.097796e-03
80,0.399103,100,1.078942e-03
81,0.404103,100,1.060602e-03
82,0.409103,100,1.042733e-03
83,0.414103,100,1.025316e-03
84,0.419103,100,1.008339e-03
85,0.424103,100,9.917905e-04
86,0.429103,98,9.985963e-04
87,0.434103,98,9.962202e-04
88,0.439103,97,9.958516e-04
89,0.444103,96,9.967608e-04
90,0.449103,95,9.986930e-04
91,0.454103,95,9.893962e-04
92,0.459103,93,9.972416e-04
93,0.464103,93,9.932073e-04
94,0.469103,92,9.923984e-04
95,0.474103,91,9.945082e-04
96,0.479103,90,9.985893e-04
97,0.484103,90,9.911014e-04
98,0.489103,89,9.888075e-04
99,0.494103,88,9.913209e-04
100,0.499103,87,9.969901e-04
101,0.504103,87,9.910417e-04
102,0.509103,86,9.902311e-04
103,0.514103,85,9.938804e-04
104,0.519103,85,9.873725e-04
105,0.524103,84,9.875104e-04
106,0.529103,83,9.926379e-04
107,0.534103,83,9.871787e-04
108,0.539103,82,9.881951e-04
109,0.544103,81,9.940081e-04
110,0.549103,81,9.888725e-04
111,0.554103,80,9.905444e-04
112,0.559103,79,9.972139e-04
113,0.564103,79,9.926199e-04
114,0.569103,78,9.949780e-04
115,0.574103,78,9.882350e-04
116,0.579103,77,9.901082e-04
117,0.584103,76,9.982724e-04
118,0.589103,76,9.951479e-04
119,0.594103,75,9.991792e-04
120,0.599103,75,9.934172e-04
121,0.604103,74,9.962450e-04
122,0.609103,74,9.906081e-04
123,0.614103,73,9.944747e-04
124,0.619103,73,9.898625e-04
125,0.624103,72,9.945238e-04
126,0.629103,72,9.902619e-04
127,0.634103,71,9.951518e-04
128,0.639103,71,9.909657e-04
129,0.644103,70,9.960902e-04
130,0.649103,70,9.921494e-04
131,0.654103,69,9.976916e-04
132,0.659103,69,9.940976e-04
133,0.664103,69,9.844031e-04
134,0.669103,68,9.878468e-04
135,0.674103,67,9.997969e-04
136,0.679103,67,9.996939e-04
137,0.684103,67,9.918969e-04
138,0.689103,66,9.963494e-04
139,0.694103,66,9.923064e-04
140,0.699103,65,9.988997e-04
141,0.704103,65,9.967567e-04
142,0.709103,65,9.883242e-04
143,0.714103,64,9.936971e-04
144,0.719103,64,9.910601e-04
145,0.724103,63,9.991715e-04
146,0.729103,63,9.980920e-04
147,0.734103,63,9.900885e-04
148,0.739103,62,9.960442e-04
149,0.744103,62,9.938243e-04
150,0.749103,62,9.855007e-04
151,0.754103,61,9.921411e-04
152,0.759103,61,9.910006e-04
153,0.764103,61,9.834876e-04
154,0.769103,60,9.908434e-04
155,0.774103,60,9.900492e-04
156,0.779103,59,9.998925e-04
157,0.784103,60,9.827445e-04
158,0.789103,59,9.825991e-04
159,0.794103,58,9.967878e-04
160,0.799103,58,9.986251e-04
161,0.804103,58,9.923375e-04
162,0.809103,58,9.833503e-04
163,0.814103,57,9.906571e-04
164,0.819103,57,9.902287e-04
165,0.824103,57,9.830949e-04
166,0.829103,56,9.920477e-04
167,0.834103,56,9.931501e-04
168,0.839103,56,9.866396e-04
169,0.844103,55,9.956950e-04
170,0.849103,55,9.966341e-04
171,0.854103,55,9.897347e-04
172,0.859103,54,9.988540e-04
173,0.864103,55,9.817245e-04
174,0.869103,54,9.823255e-04
175,0.874103,53,9.998607e-04
176,0.879103,54,9.857578e-04
177,0.884103,53,9.878720e-04
178,0.889103,53,9.879578e-04
179,0.894103,53,9.813775e-04
180,0.899103,52,9.911511e-04
181,0.904103,52,9.935389e-04
