timestep,t,sor_iters,residual
1,0.050000,870,9.959970e-04
2,0.008336,920,9.917969e-04
3,0.014168,755,9.981053e-04
4,0.019168,650,9.966620e-04
5,0.024168,508,9.935931e-04
6,0.029168,484,9.964209e-04
7,0.034168,576,9.973028e-04
8,0.039168,608,9.959700e-04
9,0.044168,624,9.980058e-04
10,0.049168,633,9.998920e-04
11,0.054168,639,9.950593e-04
12,0.059168,642,9.983324e-04
13,0.064168,644,9.984453e-04
14,0.069168,645,9.998620e-04
15,0.074168,646,9.957449e-04
16,0.079168,646,9.973989e-04
17,0.084168,646,9.964166e-04
18,0.089168,646,9.935459e-04
19,0.094168,645,9.988960e-04
20,0.099168,645,9.937281e-04
21,0.104168,644,9.974050e-04
22,0.109168,644,9.910608e-04
23,0.114168,643,9.938889e-04
24,0.119168,642,9.965219e-04
25,0.124168,641,9.990038e-04
26,0.129168,641,9.918285e-04
27,0.134168,640,9.941480e-04
28,0.139168,639,9.965046e-04
29,0.144168,638,9.988884e-04
30,0.149168,638,9.917532e-04
31,0.154168,637,9.942143e-04
32,0.159168,636,9.967937e-04
33,0.164168,635,9.994622e-04
34,0.169168,635,9.926504e-04
35,0.174168,634,9.954737e-04
36,0.179168,633,9.984430e-04
37,0.184168,633,9.919455e-04
38,0.189168,632,9.950813e-04
39,0.194168,631,9.983697e-04
40,0.199168,631,9.921926e-04
41,0.204168,630,9.956492e-04
42,0.209168,629,9.992592e-04
43,0.214168,629,9.933913e-04
44,0.219168,628,9.971626e-04
45,0.224168,628,9.915156e-04
46,0.229168,627,9.954786e-04
47,0.234168,626,9.995911e-04
48,0.239168,626,9.942136e-04
49,0.244168,625,9.984715e-04
50,0.249168,625,9.932899e-04
51,0.254168,624,9.977228e-04
52,0.259168,624,9.927192e-04
53,0.264168,623,9.973195e-04
54,0.269168,623,9.924840e-04
55,0.274168,622,9.972457e-04
56,0.279168,622,9.925690e-04
57,0.284168,621,9.974858e-04
58,0.289168,621,9.929589e-04
59,0.294168,620,9.980249e-04
60,0.299168,620,9.936390e-04
61,0.304168,619,9.988487e-04
62,0.309168,619,9.945962e-04
63,0.314168,618,9.999445e-04
64,0.319168,618,9.958179e-04
65,0.324168,618,9.917308e-04
66,0.329168,617,9.972594e-04
67,0.334168,617,9.933271e-04
68,0.339168,616,9.989750e-04
69,0.344168,616,9.951514e-04
70,0.349168,616,9.913569e-04
71,0.354168,615,9.971679e-04
72,0.359168,615,9.935144e-04
73,0.364168,614,9.994355e-04
74,0.369168,614,9.958765e-04
75,0.374168,614,9.923381e-04
76,0.379168,613,9.984088e-04
77,0.384168,613,9.949995e-04
78,0.389168,613,9.916061e-04
79,0.394168,612,9.978119e-04
80,0.399168,612,9.945412e-04
81,0.404168,612,9.912823e-04
82,0.409168,611,9.976167e-04
83,0.414168,611,9.944749e-04
84,0.419168,611,9.913410e-04
85,0.424168,610,9.977986e-04
86,0.429168,610,9.947768e-04
87,0.434168,610,9.917591e-04
88,0.439168,609,9.983346e-04
89,0.444168,609,9.954243e-04
90,0.449168,609,9.925150e-04
91,0.454168,608,9.992045e-04
92,0.459168,608,9.963988e-04
93,0.464168,608,9.935912e-04
94,0.469168,608,9.908331e-04
95,0.474168,607,9.976467e-04
96,0.479168,607,9.949788e-04
97,0.484168,607,9.923053e-04
98,0.489168,606,9.992243e-04
99,0.494168,606,9.966461e-04
100,0.499168,606,9.940597e-04
101,0.504168,606,9.915179e-04
102,0.509168,605,9.985507e-04
103,0.514168,605,9.960918e-04
104,0.519168,605,9.936215e-04
105,0.524168,605,9.911933e-04
106,0.529168,604,9.983350e-04
107,0.534168,604,9.959863e-04
108,0.539168,604,9.936235e-04
109,0.544168,604,9.913005e-04
110,0.549168,603,9.985468e-04
111,0.554168,603,9.962995e-04
112,0.559168,603,9.940356e-04
113,0.564168,603,9.918096e-04
114,0.569168,602,9.991561e-04
115,0.574168,602,9.970036e-04
116,0.579168,602,9.948321e-04
117,0.584168,602,9.926966e-04
118,0.589168,602,9.905880e-04
119,0.594168,601,9.980386e-04
120,0.599168,601,9.960005e-04
121,0.604168,601,9.939407e-04
122,0.609168,601,9.919149e-04
123,0.614168,600,9.994602e-04
124,0.619168,600,9.975031e-04
125,0.624168,600,9.955223e-04
126,0.629168,600,9.935740e-04
127,0.634168,600,9.916491e-04
128,0.639168,599,9.992913e-04
129,0.644168,599,9.974327e-04
130,0.649168,599,9.955482e-04
131,0.654168,599,9.936945e-04
132,0.659168,599,9.918623e-04
133,0.664168,598,9.995982e-04
134,0.669168,598,9.978303e-04
135,0.674168,598,9.960345e-04
136,0.679168,598,9.942681e-04
137,0.684168,598,9.925219e-04
138,0.689168,598,9.907955e-04
139,0.694168,597,9.986256e-04
140,0.699168,597,9.969613e-04
141,0.704168,597,9.952669e-04
142,0.709168,597,9.936003e-04
143,0.714168,597,9.919524e-04
144,0.719168,596,9.998712e-04
145,0.724168,596,9.982840e-04
146,0.729168,596,9.966649e-04
147,0.734168,596,9.950726e-04
148,0.739168,596,9.934976e-04
149,0.744168,596,9.919395e-04
150,0.749168,595,9.999473e-04
151,0.754168,595,9.984484e-04
152,0.759168,595,9.969158e-04
153,0.764168,595,9.954087e-04
154,0.769168,595,9.939177e-04
155,0.774168,595,9.924424e-04
156,0.779168,595,9.909826e-04
157,0.784168,594,9.990784e-04
158,0.789168,594,9.976762e-04
159,0.794168,594,9.962384e-04
160,0.799168,594,9.948249e-04
161,0.804168,594,9.934258e-04
162,0.809168,594,9.920408e-04
163,0.814168,594,9.906701e-04
164,0.819168,593,9.988511e-04
165,0.824168,593,9.975365e-04
166,0.829168,593,9.961846e-04
167,0.834168,593,9.948557e-04
168,0.839168,593,9.935403e-04
169,0.844168,593,9.922381e-04
170,0.849168,593,9.909490e-04
171,0.854168,592,9.992136e-04
172,0.859168,592,9.979796e-04
173,0.864168,592,9.967068e-04
174,0.869168,592,9.954560e-04
175,0.874168,592,9.942177e-04
176,0.879168,592,9.929916e-04
177,0.884168,592,9.917774e-04
178,0.889168,592,9.905751e-04
179,0.894168,591,9.989222e-04
180,0.899168,591,9.977741e-04
181,0.904168,591,9.965854e-04
182,0.909168,591,9.954178e-04
183,0.914168,591,9.942616e-04
184,0.919168,591,9.931164e-04
185,0.924168,591,9.919823e-04
186,0.929168,591,9.908590e-04
187,0.934168,590,9.992871e-04
188,0.939168,590,9.982169e-04
189,0.944168,590,9.971048e-04
190,0.949168,590,9.960128e-04
191,0.954168,590,9.949313e-04
192,0.959168,590,9.938599e-04
193,0.964168,590,9.927986e-04
194,0.969168,590,9.917473e-04
195,0.974168,590,9.907057e-04
196,0.979168,589,9.992135e-04
197,0.984168,589,9.982245e-04
198,0.989168,589,9.971920e-04
199,0.994168,589,9.961788e-04
200,0.999168,589,9.951751e-04
201,1.004168,589,9.941806e-04
202,1.009168,589,9.931953e-04
203,1.014168,589,9.922189e-04
204,1.019168,589,9.912516e-04
205,1.024168,588,9.998382e-04
206,1.029168,588,9.989227e-04
207,1.034168,588,9.979624e-04
208,1.039168,588,9.970207e-04
209,1.044168,588,9.960876e-04
210,1.049168,588,9.951629e-04
211,1.054168,588,9.942465e-04
212,1.059168,588,9.933384e-04
213,1.064168,588,9.924383e-04
214,1.069168,588,9.915464e-04
215,1.074168,588,9.906624e-04
216,1.079168,587,9.993261e-04
217,1.084168,587,9.984934e-04
218,1.089168,587,9.976143e-04
219,1.094168,587,9.967530e-04
220,1.099168,587,9.958995e-04
221,1.104168,587,9.950534e-04
222,1.109168,587,9.942149e-04
223,1.114168,587,9.933837e-04
224,1.119168,587,9.925597e-04
225,1.124168,587,9.917429e-04
226,1.129168,587,9.909333e-04
227,1.134168,586,9.996735e-04
228,1.139168,586,9.989145e-04
229,1.144168,586,9.981079e-04
230,1.149168,586,9.973183e-04
231,1.154168,586,9.965357e-04
232,1.159168,586,9.957599e-04
233,1.164168,586,9.949907e-04
234,1.169168,586,9.942281e-04
235,1.174168,586,9.934722e-04
236,1.179168,586,9.927227e-04
237,1.184168,586,9.919797e-04
238,1.189168,586,9.912431e-04
239,1.194168,586,9.905128e-04
240,1.199168,585,9.993277e-04
241,1.204168,585,9.986476e-04
242,1.209168,585,9.979186e-04
243,1.214168,585,9.972060e-04
244,1.219168,585,9.964996e-04
245,1.224168,585,9.957991e-04
246,1.229168,585,9.951045e-04
247,1.234168,585,9.944158e-04
248,1.239168,585,9.937330e-04
249,1.244168,585,9.930559e-04
250,1.249168,585,9.923845e-04
251,1.254168,585,9.917187e-04
252,1.259168,585,9.910585e-04
253,1.264168,584,9.999483e-04
254,1.269168,584,9.993382e-04
255,1.274168,584,9.986778e-04
256,1.279168,584,9.980332e-04
257,1.284168,584,9.973941e-04
258,1.289168,584,9.967603e-04
259,1.294168,584,9.961317e-04
260,1.299168,584,9.955084e-04
261,1.304168,584,9.948903e-04
262,1.309168,584,9.942772e-04
263,1.314168,584,9.936693e-04
264,1.319168,584,9.930663e-04
265,1.324168,584,9.924683e-04
266,1.329168,584,9.918752e-04
267,1.334168,584,9.912870e-04
268,1.339168,584,9.907036e-04
269,1.344168,583,9.996663e-04
