timestep,t,sor_iters,residual
1,0.050000,1,8.941253e-06
2,1.355748,1,8.940577e-06
3,2.033623,1,9.069766e-06
4,2.711497,1,9.056102e-06
5,3.389371,1,9.072356e-06
6,4.067245,1,9.859422e-06
7,4.745119,2,9.761348e-06
8,5.422993,2,9.562502e-06
9,6.100868,1,9.190286e-06
10,6.778742,1,9.105364e-06
11,7.456616,2,9.893808e-06
12,8.134490,1,9.114762e-06
13,8.812364,1,8.994751e-06
14,9.490239,1,8.907399e-06
15,10.168113,1,9.032133e-06
16,10.845987,1,8.974999e-06
17,11.523861,1,9.351086e-06
18,12.201735,1,9.359552e-06
19,12.879610,1,9.147252e-06
20,13.557484,1,9.099378e-06
21,14.235358,1,9.049153e-06
22,14.913232,1,8.616928e-06
23,15.591106,1,9.577014e-06
24,16.268980,2,8.799237e-06
25,16.946855,1,9.466900e-06
26,17.624729,1,9.836369e-06
27,18.302603,1,9.319269e-06
28,18.980477,1,9.360583e-06
29,19.658351,1,8.898294e-06
30,20.336226,1,8.782769e-06
31,21.014100,1,9.174646e-06
32,21.691974,1,9.016186e-06
33,22.369848,2,9.520945e-06
34,23.047722,1,8.675204e-06
35,23.725597,2,9.082378e-06
36,24.403471,1,9.145707e-06
37,25.081345,1,9.825229e-06
38,25.759219,1,9.615002e-06
39,26.437093,2,9.804221e-06
40,27.114967,1,9.569992e-06
41,27.792842,2,9.729461e-06
42,28.470716,1,9.164225e-06
43,29.148590,1,9.190653e-06
44,29.826464,2,9.204713e-06
45,30.504338,1,9.390129e-06
46,31.181570,2,9.654365e-06
47,31.835324,1,9.898052e-06
48,32.478972,1,9.036331e-06
49,33.113509,1,9.394792e-06
50,33.739664,1,8.594212e-06
51,34.358023,1,9.409098e-06
52,34.969270,1,9.345036e-06
53,35.573990,1,9.059123e-06
54,36.172693,1,9.749092e-06
55,36.765854,2,9.974697e-06
56,37.353844,2,9.664010e-06
57,37.937032,1,9.982018e-06
58,38.515762,1,9.969112e-06
59,39.090446,1,9.812664e-06
60,39.661403,1,9.324484e-06
61,40.228867,1,9.670221e-06
62,40.793146,2,9.610550e-06
63,41.354519,1,9.122435e-06
64,41.913027,1,8.905276e-06
65,42.468960,2,9.961934e-06
66,43.022443,2,9.771934e-06
67,43.573220,2,9.718216e-06
68,44.121318,2,9.926879e-06
69,44.666858,1,9.473764e-06
70,45.209849,1,9.035627e-06
71,45.750347,2,9.289953e-06
72,46.288389,1,9.180851e-06
73,46.823944,1,9.444776e-06
74,47.357072,1,9.393633e-06
75,47.887452,2,9.520965e-06
76,48.415310,1,9.995527e-06
77,48.940820,2,9.115884e-06
78,49.464223,1,8.927131e-06
79,49.985688,1,9.250980e-06
80,50.505530,1,9.079501e-06
81,51.024046,1,8.666788e-06
82,51.541546,2,9.726985e-06
83,52.057740,1,9.150754e-06
84,52.573126,2,9.969683e-06
85,53.088046,1,9.283922e-06
86,53.602775,1,8.924793e-06
87,54.117661,2,9.869223e-06
88,54.632995,2,9.109143e-06
89,55.149063,2,9.154492e-06
90,55.666106,1,9.154589e-06
91,56.184349,2,8.998625e-06
92,56.703765,1,8.949870e-06
93,57.224288,2,9.833382e-06
94,57.746379,2,9.694171e-06
95,58.270223,2,9.330105e-06
96,58.795919,2,9.139814e-06
97,59.323603,2,9.974048e-06
98,59.853378,1,8.829444e-06
99,60.385289,1,9.168763e-06
100,60.919415,1,8.826363e-06
101,61.455784,1,8.838560e-06
102,61.994412,1,8.768869e-06
103,62.535297,1,8.808957e-06
104,63.078420,1,8.838963e-06
105,63.623757,1,9.307076e-06
106,64.171268,1,8.821805e-06
107,64.720910,1,9.124907e-06
108,65.272629,1,8.699707e-06
109,65.826375,1,9.123921e-06
110,66.382077,1,8.748080e-06
111,66.939678,1,8.607814e-06
112,67.499107,1,8.629887e-06
113,68.060292,1,8.734176e-06
114,68.623162,1,9.123046e-06
115,69.187649,1,8.951949e-06
116,69.753530,1,9.077828e-06
117,70.320810,2,9.895204e-06
118,70.889442,2,9.680223e-06
119,71.459345,1,8.999615e-06
120,72.030479,1,9.069815e-06
121,72.602803,1,8.702731e-06
122,73.176277,1,9.066903e-06
123,73.750858,1,8.705003e-06
124,74.326515,1,8.703034e-06
125,74.903214,1,8.797964e-06
126,75.480926,1,8.660836e-06
127,76.059631,1,9.204527e-06
128,76.639300,1,8.942754e-06
129,77.219930,1,9.126143e-06
130,77.801485,1,8.637922e-06
131,78.383975,1,9.113051e-06
132,78.967383,1,8.795998e-06
133,79.551714,1,9.207907e-06
134,80.136962,2,9.827924e-06
135,80.723070,2,9.317070e-06
136,81.310016,1,8.682129e-06
137,81.897807,1,8.848381e-06
138,82.486467,1,8.768827e-06
139,83.076009,1,8.717676e-06
140,83.666444,1,8.800509e-06
141,84.257783,1,8.561870e-06
142,84.850041,2,9.634833e-06
143,85.424188,2,9.479578e-06
144,86.001509,1,8.776463e-06
145,86.561028,1,9.858023e-06
146,87.130905,1,8.688002e-06
147,87.681301,1,8.708190e-06
148,88.238294,1,9.216103e-06
149,88.786705,1,9.855616e-06
150,89.333400,2,9.603091e-06
151,89.882518,1,8.938270e-06
152,90.421461,2,9.647257e-06
153,90.953026,1,9.464573e-06
154,91.449265,1,9.027358e-06
155,91.934034,1,9.460598e-06
156,92.410896,2,9.631531e-06
157,92.874833,2,9.007460e-06
158,93.328297,2,9.309356e-06
159,93.776845,1,8.734963e-06
160,94.218606,1,9.070862e-06
161,94.650542,1,8.927824e-06
162,95.079465,1,8.763420e-06
163,95.504920,1,8.717462e-06
164,95.921492,1,8.806236e-06
165,96.336319,1,8.931456e-06
166,96.749912,1,9.078421e-06
167,97.155433,1,9.170793e-06
168,97.560099,1,9.242090e-06
169,97.965427,1,9.547339e-06
170,98.363253,1,9.137268e-06
171,98.760878,1,9.857690e-06
172,99.160217,1,9.253868e-06
173,99.553586,2,9.813350e-06
174,99.946883,1,9.905374e-06
175,100.342240,1,9.741141e-06
176,100.734080,1,8.500377e-06
177,101.125530,2,9.821400e-06
178,101.519361,2,9.702958e-06
179,101.912157,2,8.813376e-06
180,102.304204,1,9.402051e-06
181,102.698982,1,9.550431e-06
182,103.095190,1,8.989520e-06
183,103.490336,1,8.448148e-06
184,103.888670,1,9.387338e-06
185,104.284398,1,9.089406e-06
186,104.679606,1,9.367758e-06
187,105.075690,2,9.480334e-06
188,105.471792,1,9.946209e-06
189,105.867172,1,9.731291e-06
190,106.263464,2,9.558907e-06
191,106.661292,2,9.951619e-06
192,107.061246,1,8.944656e-06
193,107.461539,1,8.874647e-06
194,107.863065,1,9.970698e-06
195,108.266838,2,9.622742e-06
196,108.673444,1,8.630693e-06
197,109.083450,1,8.928638e-06
198,109.495504,1,8.946270e-06
199,109.887225,1,8.739155e-06
200,110.267093,2,9.654152e-06
201,110.639915,1,8.870006e-06
202,111.004241,1,8.817762e-06
203,111.363366,1,8.487829e-06
204,111.714670,1,8.598322e-06
205,112.062340,1,8.608353e-06
206,112.402947,2,9.721865e-06
207,112.740324,1,9.705102e-06
208,113.072994,1,8.597737e-06
209,113.402044,1,8.904502e-06
210,113.729149,1,8.849378e-06
211,114.052004,1,8.349434e-06
212,114.374450,1,9.126311e-06
213,114.694388,1,8.500967e-06
214,115.013404,1,8.850353e-06
215,115.333420,1,9.467436e-06
216,115.651776,2,9.291961e-06
217,115.971268,2,8.769134e-06
218,116.292759,2,8.622346e-06
219,116.615172,1,8.619972e-06
220,116.939448,1,8.481362e-06
221,117.266370,1,9.290739e-06
222,117.595957,2,9.778069e-06
223,117.928074,1,9.078477e-06
224,118.262514,1,9.049382e-06
225,118.597443,1,8.511104e-06
226,118.924847,1,9.368452e-06
227,119.249389,1,8.494443e-06
228,119.572241,1,9.924802e-06
229,119.894008,1,9.815087e-06
230,120.213800,2,9.680277e-06
231,120.531945,1,9.859496e-06
232,120.849521,1,8.604982e-06
233,121.167081,1,8.434230e-06
234,121.483792,1,8.458150e-06
235,121.799715,1,8.614045e-06
236,122.115996,1,8.772729e-06
237,122.433153,1,8.902158e-06
238,122.750983,1,9.235661e-06
239,123.068471,1,9.077283e-06
240,123.387103,1,8.740442e-06
241,123.707406,1,9.064871e-06
242,124.029947,1,9.906429e-06
243,124.352986,1,9.132431e-06
244,124.677602,1,9.084761e-06
245,125.004617,1,8.953193e-06
246,125.334595,2,9.916903e-06
247,125.667869,1,8.996695e-06
248,126.002358,1,9.146024e-06
249,126.339967,2,9.863279e-06
250,126.681286,2,8.748282e-06
251,127.026933,2,8.994648e-06
252,127.376994,1,9.231109e-06
253,127.729694,2,9.266407e-06
254,128.086951,1,9.125880e-06
255,128.449436,2,8.929907e-06
256,128.817858,1,9.562904e-06
257,129.192613,1,9.739876e-06
258,129.571522,2,9.585232e-06
259,129.956826,2,9.015989e-06
260,130.349350,2,9.703959e-06
261,130.749951,1,9.957636e-06
262,131.159530,1,9.746231e-06
263,131.575780,2,9.780847e-06
264,131.982763,1,9.248711e-06
265,132.391043,1,9.902168e-06
266,132.793549,2,9.803557e-06
267,133.180866,1,9.825120e-06
268,133.560157,1,9.830177e-06
269,133.936102,1,8.306613e-06
270,134.307180,1,8.886614e-06
271,134.674523,1,9.051703e-06
272,135.040258,2,9.751158e-06
273,135.402134,1,8.148303e-06
274,135.762511,1,8.778967e-06
275,136.122041,1,8.895194e-06
276,136.478894,2,8.919396e-06
277,136.835257,1,8.443632e-06
278,137.191504,1,8.250974e-06
279,137.546251,1,8.275468e-06
280,137.901102,1,9.564489e-06
281,138.256304,1,8.461089e-06
282,138.612065,1,9.579716e-06
283,138.967750,1,8.368888e-06
284,139.323547,1,8.750688e-06
285,139.679955,1,8.510389e-06
286,140.037494,1,8.798880e-06
287,140.396255,2,9.404071e-06
288,140.755006,1,9.163444e-06
289,141.115309,1,9.186188e-06
290,141.477929,1,8.767218e-06
291,141.842323,1,9.203139e-06
292,142.208025,1,9.546065e-06
293,142.576771,1,8.470946e-06
294,142.949431,1,9.155356e-06
295,143.324773,1,8.591130e-06
296,143.703562,1,8.511524e-06
297,144.087343,1,8.874452e-06
298,144.471522,1,9.607910e-06
299,144.839967,1,9.298297e-06
300,145.203057,1,8.557443e-06
301,145.561498,1,9.304000e-06
302,145.915991,1,8.814955e-06
303,146.267222,1,8.771255e-06
304,146.612473,1,8.740626e-06
305,146.954151,1,8.789456e-06
306,147.293045,1,9.608828e-06
307,147.629832,1,8.825861e-06
308,147.965164,2,9.324518e-06
309,148.299663,1,8.449217e-06
310,148.633938,1,8.753408e-06
311,148.968576,1,8.483331e-06
312,149.302528,2,9.357104e-06
313,149.635933,2,9.181090e-06
314,149.970120,2,9.945447e-06
315,150.305706,1,9.753251e-06
316,150.643316,1,8.263975e-06
317,150.983584,1,9.900937e-06
318,151.327162,2,9.277683e-06
319,151.674735,1,8.832915e-06
320,152.024822,1,8.879628e-06
321,152.378669,1,8.795223e-06
322,152.737379,1,9.238450e-06
323,153.091876,1,8.852863e-06
324,153.441406,1,8.888547e-06
325,153.789017,1,8.437181e-06
326,154.134976,2,9.997892e-06
327,154.479550,2,9.240809e-06
328,154.823009,1,8.671527e-06
329,155.165630,2,9.638795e-06
330,155.507706,1,8.537190e-06
331,155.849550,1,9.984587e-06
332,156.191491,1,9.812320e-06
333,156.532764,1,9.650084e-06
