timestep,t,sor_iters,residual
1,0.050000,15,1.054172e-03
2,0.039839,0,9.445163e-06
3,0.059759,1,9.796495e-06
4,0.079679,0,9.725592e-06
5,0.099598,1,9.690826e-06
6,0.119518,0,8.471953e-06
7,0.139438,0,9.673862e-06
8,0.159357,0,9.963228e-06
9,0.179277,0,9.757816e-06
10,0.199197,0,9.703622e-06
11,0.219117,0,9.712579e-06
12,0.239036,0,9.573319e-06
13,0.258956,0,9.811491e-06
14,0.278876,0,9.888559e-06
15,0.298795,0,9.701287e-06
16,0.318715,0,9.915096e-06
17,0.338635,0,9.876918e-06
18,0.358554,0,9.874252e-06
19,0.378474,0,9.617668e-06
20,0.398394,0,9.989905e-06
21,0.418313,0,9.766288e-06
22,0.438233,0,9.854530e-06
23,0.458153,0,9.677630e-06
24,0.478072,0,9.492757e-06
25,0.497992,0,9.256148e-06
26,0.517912,0,8.981415e-06
27,0.537831,0,8.696970e-06
28,0.557751,0,8.417085e-06
29,0.577671,0,9.799859e-06
30,0.597591,0,9.045963e-06
31,0.617510,0,9.409187e-06
32,0.637430,0,8.228173e-06
33,0.657350,0,9.701409e-06
34,0.677269,0,9.020327e-06
35,0.697189,0,9.680707e-06
36,0.717109,0,8.528637e-06
37,0.737028,0,9.995478e-06
38,0.756948,0,9.363246e-06
39,0.776868,0,8.806786e-06
40,0.796787,0,9.504698e-06
41,0.816707,0,8.135007e-06
42,0.836627,0,9.829418e-06
43,0.856546,0,9.560895e-06
44,0.876466,0,8.842000e-06
45,0.896386,0,9.631161e-06
46,0.916305,0,8.149055e-06
47,0.936225,0,9.790100e-06
48,0.956145,0,9.508976e-06
49,0.976065,0,8.704466e-06
50,0.995984,0,9.444621e-06
51,1.015904,0,7.804082e-06
52,1.035824,0,9.534494e-06
53,1.055743,0,9.043853e-06
54,1.075663,0,9.611203e-06
55,1.095583,0,8.204320e-06
56,1.115502,0,9.738929e-06
57,1.135422,0,8.875029e-06
58,1.155342,0,9.260252e-06
59,1.175261,0,8.247872e-06
60,1.195181,0,9.659804e-06
61,1.215101,0,8.899517e-06
62,1.235020,0,9.260552e-06
63,1.254940,0,8.265048e-06
64,1.274860,0,9.676210e-06
65,1.294779,0,8.900844e-06
66,1.314699,0,9.345563e-06
67,1.334619,0,8.305184e-06
68,1.354539,0,9.697280e-06
69,1.374458,0,8.948876e-06
70,1.394378,0,9.511341e-06
71,1.414298,0,8.333397e-06
72,1.434217,0,9.725511e-06
73,1.454137,0,8.975556e-06
74,1.474057,0,9.617216e-06
75,1.493976,0,8.278735e-06
76,1.513896,0,9.674971e-06
77,1.533816,0,8.915971e-06
78,1.553735,0,9.577971e-06
79,1.573655,0,8.123715e-06
80,1.593575,0,9.538134e-06
81,1.613494,0,8.743228e-06
82,1.633414,0,9.337144e-06
83,1.653334,0,7.858012e-06
84,1.673253,0,9.307921e-06
85,1.693173,0,8.467155e-06
86,1.713093,0,9.815779e-06
87,1.733012,0,9.589442e-06
88,1.752932,0,9.518832e-06
89,1.772852,0,7.928754e-06
90,1.792772,0,9.382257e-06
91,1.812691,0,8.342058e-06
92,1.832611,0,9.765506e-06
93,1.852531,0,9.400439e-06
94,1.872450,0,9.531868e-06
95,1.892370,0,7.939028e-06
96,1.912290,0,9.425072e-06
97,1.932209,0,8.413681e-06
98,1.952129,0,9.926596e-06
99,1.972049,0,9.540897e-06
100,1.991968,0,9.794966e-06
101,2.011888,0,8.141783e-06
102,2.031808,0,9.603803e-06
103,2.051727,0,8.564355e-06
104,2.071647,0,8.802057e-06
105,2.091567,0,9.835824e-06
106,2.111486,0,8.697528e-06
107,2.131406,0,8.807020e-06
108,2.151326,0,9.959376e-06
109,2.171246,0,8.912797e-06
110,2.191165,0,8.889524e-06
111,2.211085,0,7.839887e-06
112,2.231005,0,9.237613e-06
113,2.250924,0,8.288751e-06
114,2.270844,0,9.920287e-06
115,2.290764,0,9.369899e-06
116,2.310683,0,9.371081e-06
117,2.330603,0,7.654477e-06
118,2.350523,0,9.150986e-06
119,2.370442,0,8.090448e-06
120,2.390362,0,9.713004e-06
121,2.410282,0,9.207598e-06
122,2.430201,0,9.436929e-06
123,2.450121,0,7.779225e-06
124,2.470041,0,9.280498e-06
125,2.489960,0,8.249703e-06
126,2.509880,0,9.843897e-06
127,2.529800,0,9.388754e-06
128,2.549720,0,9.667714e-06
129,2.569639,0,7.947537e-06
130,2.589559,0,9.419069e-06
131,2.609479,0,8.357055e-06
132,2.629398,0,9.878694e-06
133,2.649318,0,9.438483e-06
134,2.669238,0,9.645354e-06
135,2.689157,0,7.893360e-06
136,2.709077,0,9.359890e-06
137,2.728997,0,8.267512e-06
138,2.748916,0,9.740558e-06
139,2.768836,0,9.294951e-06
140,2.788756,0,9.438496e-06
141,2.808675,0,7.734312e-06
142,2.828595,0,9.225140e-06
143,2.848515,0,8.143660e-06
144,2.868434,0,9.601120e-06
145,2.888354,0,9.170825e-06
146,2.908274,0,9.959252e-06
147,2.928194,0,9.889573e-06
148,2.948113,0,9.627182e-06
149,2.968033,0,8.081761e-06
150,2.987953,0,9.476318e-06
151,3.007872,0,8.364630e-06
152,3.027792,0,9.729496e-06
153,3.047712,0,9.270312e-06
154,3.067631,0,9.301319e-06
155,3.087551,0,7.726882e-06
156,3.107471,0,9.211645e-06
157,3.127390,0,8.144085e-06
