timestep,t,sor_iters,residual
1,0.050000,0,8.941250e-06
2,1.355748,0,8.940577e-06
3,2.033623,0,9.069766e-06
4,2.711497,0,9.056102e-06
5,3.389371,0,9.072356e-06
6,4.067245,0,9.859422e-06
7,4.745119,1,9.761348e-06
8,5.422993,1,9.562506e-06
9,6.100868,0,9.190286e-06
10,6.778742,0,9.105364e-06
11,7.456616,1,9.893808e-06
12,8.134490,0,9.114762e-06
13,8.812364,0,8.994751e-06
14,9.490239,0,8.907398e-06
15,10.168113,0,9.032133e-06
16,10.845987,0,8.974999e-06
17,11.523861,0,9.351086e-06
18,12.201735,0,9.359552e-06
19,12.879610,0,9.147252e-06
20,13.557484,0,9.099378e-06
21,14.235358,0,9.049153e-06
22,14.913232,0,8.616928e-06
23,15.591106,0,9.577014e-06
24,16.268980,1,8.799237e-06
25,16.946855,0,9.466900e-06
26,17.624729,0,9.836370e-06
27,18.302603,0,9.319269e-06
28,18.980477,0,9.360583e-06
29,19.658351,0,8.898294e-06
30,20.336226,0,8.782770e-06
31,21.014100,0,9.174647e-06
32,21.691974,0,9.016186e-06
33,22.369848,1,9.520945e-06
34,23.047722,0,8.675204e-06
35,23.725597,1,9.082377e-06
36,24.403471,0,9.145707e-06
37,25.081345,0,9.825229e-06
38,25.759219,0,9.615002e-06
39,26.437093,1,9.804221e-06
40,27.114967,0,9.569992e-06
41,27.792842,1,9.729461e-06
42,28.470716,0,9.164225e-06
43,29.148590,0,9.190652e-06
44,29.826464,1,9.204713e-06
45,30.504338,0,9.390129e-06
46,31.181570,1,9.654365e-06
47,31.835324,0,9.898052e-06
48,32.478972,0,9.036331e-06
49,33.113509,0,9.394792e-06
50,33.739664,0,8.594212e-06
51,34.358023,0,9.409098e-06
52,34.969270,0,9.345036e-06
53,35.573990,0,9.059123e-06
54,36.172693,0,9.749092e-06
55,36.765854,1,9.974696e-06
56,37.353844,1,9.664010e-06
57,37.937032,0,9.982018e-06
58,38.515762,0,9.969113e-06
59,39.090446,0,9.812664e-06
60,39.661403,0,9.324484e-06
61,40.228867,0,9.670221e-06
62,40.793146,1,9.610550e-06
63,41.354519,0,9.122435e-06
64,41.913027,0,8.905276e-06
65,42.468960,1,9.961934e-06
66,43.022443,1,9.771934e-06
67,43.573220,1,9.718216e-06
68,44.121318,1,9.926880e-06
69,44.666858,0,9.473764e-06
70,45.209849,0,9.035627e-06
71,45.750347,1,9.289954e-06
72,46.288389,0,9.180851e-06
73,46.823944,0,9.444776e-06
74,47.357072,0,9.393633e-06
75,47.887452,1,9.520965e-06
76,48.415310,0,9.995527e-06
77,48.940820,1,9.115886e-06
78,49.464223,0,8.927134e-06
79,49.985688,0,9.250979e-06
80,50.505530,0,9.079497e-06
81,51.024046,0,8.666793e-06
