timestep,t,sor_iters,residual
1,0.050000,16,1.054172e-03
2,0.039839,1,9.445169e-06
3,0.059759,2,9.796133e-06
4,0.079679,1,9.725645e-06
5,0.099598,2,9.690726e-06
6,0.119518,1,8.471972e-06
7,0.139438,1,9.673806e-06
8,0.159357,1,9.963175e-06
9,0.179277,1,9.757763e-06
10,0.199197,1,9.703581e-06
11,0.219117,1,9.712558e-06
12,0.239036,1,9.573316e-06
13,0.258956,1,9.811510e-06
14,0.278876,1,9.888595e-06
15,0.298795,1,9.701339e-06
16,0.318715,1,9.915151e-06
17,0.338635,1,9.876992e-06
18,0.358554,1,9.874323e-06
19,0.378474,1,9.617744e-06
20,0.398394,1,9.989976e-06
21,0.418313,1,9.766350e-06
22,0.438233,1,9.854587e-06
23,0.458153,1,9.677675e-06
24,0.478072,1,9.492793e-06
25,0.497992,1,9.256173e-06
26,0.517912,1,8.981429e-06
27,0.537831,1,8.696973e-06
28,0.557751,1,8.417079e-06
29,0.577671,0,9.799850e-06
30,0.597591,1,9.045947e-06
31,0.617510,1,9.409159e-06
32,0.637430,1,8.228148e-06
33,0.657350,0,9.701387e-06
34,0.677269,1,9.020305e-06
35,0.697189,1,9.680681e-06
36,0.717109,1,8.528623e-06
37,0.737028,0,9.995468e-06
38,0.756948,1,9.363242e-06
39,0.776868,1,8.806793e-06
40,0.796787,0,9.504708e-06
41,0.816707,1,8.135025e-06
42,0.836627,0,9.829436e-06
43,0.856546,1,9.560925e-06
44,0.876466,1,8.842038e-06
45,0.896386,0,9.631199e-06
46,0.916305,1,8.149100e-06
47,0.936225,0,9.790136e-06
48,0.956145,1,9.509023e-06
49,0.976065,1,8.704515e-06
50,0.995984,0,9.444667e-06
51,1.015904,1,7.804127e-06
52,1.035824,0,9.534529e-06
53,1.055743,1,9.043892e-06
54,1.075663,1,9.611244e-06
55,1.095583,1,8.204350e-06
56,1.115502,0,9.738955e-06
57,1.135422,1,8.875050e-06
58,1.155342,1,9.260270e-06
59,1.175261,1,8.247881e-06
60,1.195181,0,9.659811e-06
61,1.215101,1,8.899520e-06
62,1.235020,1,9.260551e-06
63,1.254940,1,8.265046e-06
64,1.274860,0,9.676207e-06
65,1.294779,1,8.900841e-06
66,1.314699,1,9.345561e-06
67,1.334619,1,8.305183e-06
68,1.354539,0,9.697280e-06
69,1.374458,1,8.948879e-06
70,1.394378,1,9.511352e-06
71,1.414298,1,8.333407e-06
72,1.434217,0,9.725521e-06
73,1.454137,1,8.975572e-06
74,1.474057,1,9.617246e-06
75,1.493976,1,8.278758e-06
76,1.513896,0,9.674992e-06
77,1.533816,1,8.915997e-06
78,1.553735,1,9.578012e-06
79,1.573655,1,8.123743e-06
80,1.593575,0,9.538158e-06
81,1.613494,1,8.743256e-06
82,1.633414,1,9.337181e-06
83,1.653334,1,7.858034e-06
84,1.673253,0,9.307940e-06
85,1.693173,1,8.467173e-06
86,1.713093,0,9.815790e-06
87,1.733012,1,9.589457e-06
88,1.752932,1,9.518835e-06
89,1.772852,1,7.928762e-06
90,1.792772,0,9.382262e-06
91,1.812691,1,8.342061e-06
92,1.832611,0,9.765509e-06
93,1.852531,1,9.400439e-06
94,1.872450,1,9.531863e-06
95,1.892370,1,7.939026e-06
96,1.912290,0,9.425070e-06
97,1.932209,1,8.413680e-06
98,1.952129,0,9.926597e-06
99,1.972049,1,9.540898e-06
100,1.991968,1,9.794970e-06
101,2.011888,1,8.141788e-06
102,2.031808,0,9.603808e-06
103,2.051727,1,8.564362e-06
104,2.071647,1,8.802068e-06
105,2.091567,0,9.835835e-06
106,2.111486,1,8.697540e-06
107,2.131406,1,8.807036e-06
108,2.151326,0,9.959392e-06
109,2.171246,1,8.912812e-06
110,2.191165,1,8.889542e-06
111,2.211085,1,7.839903e-06
112,2.231005,0,9.237626e-06
113,2.250924,1,8.288765e-06
114,2.270844,0,9.920298e-06
115,2.290764,1,9.369912e-06
116,2.310683,1,9.371094e-06
117,2.330603,1,7.654488e-06
118,2.350523,0,9.150995e-06
119,2.370442,1,8.090457e-06
120,2.390362,0,9.713011e-06
121,2.410282,1,9.207606e-06
122,2.430201,1,9.436935e-06
123,2.450121,1,7.779230e-06
124,2.470041,0,9.280502e-06
125,2.489960,1,8.249707e-06
126,2.509880,0,9.843899e-06
127,2.529800,1,9.388757e-06
128,2.549720,1,9.667717e-06
129,2.569639,1,7.947540e-06
130,2.589559,0,9.419071e-06
131,2.609479,1,8.357059e-06
132,2.629398,0,9.878696e-06
133,2.649318,1,9.438487e-06
134,2.669238,1,9.645361e-06
135,2.689157,1,7.893366e-06
136,2.709077,0,9.359895e-06
137,2.728997,1,8.267519e-06
138,2.748916,0,9.740562e-06
139,2.768836,1,9.294960e-06
140,2.788756,1,9.438507e-06
141,2.808675,1,7.734323e-06
142,2.828595,0,9.225149e-06
143,2.848515,1,8.143671e-06
144,2.868434,0,9.601126e-06
145,2.888354,1,9.170836e-06
146,2.908274,0,9.959260e-06
147,2.928194,1,9.889581e-06
148,2.948113,1,9.627187e-06
149,2.968033,1,8.081770e-06
150,2.987953,0,9.476325e-06
151,3.007872,1,8.364636e-06
152,3.027792,0,9.729500e-06
153,3.047712,1,9.270317e-06
154,3.067631,1,9.301321e-06
155,3.087551,1,7.726885e-06
156,3.107471,0,9.211647e-06
157,3.127390,1,8.144087e-06
158,3.147310,0,9.652623e-06
159,3.167230,1,9.167197e-06
160,3.187149,1,9.258067e-06
161,3.207069,1,7.587885e-06
162,3.226989,0,9.115312e-06
163,3.246908,1,8.003039e-06
164,3.266828,0,9.584062e-06
165,3.286748,1,9.015401e-06
166,3.306668,0,9.916839e-06
167,3.326587,1,9.754982e-06
168,3.346507,1,9.502245e-06
169,3.366427,1,7.828102e-06
170,3.386346,0,9.301833e-06
171,3.406266,1,8.131469e-06
172,3.426186,0,9.654615e-06
173,3.446105,1,9.056584e-06
174,3.466025,1,9.107158e-06
175,3.485945,1,7.533565e-06
176,3.505864,0,9.065709e-06
177,3.525784,1,7.996462e-06
178,3.545704,0,9.656400e-06
179,3.565623,1,9.087232e-06
180,3.585543,1,9.220555e-06
181,3.605463,1,7.538143e-06
182,3.625382,0,9.077498e-06
183,3.645302,1,7.968074e-06
184,3.665222,0,9.630045e-06
185,3.685142,1,9.028572e-06
186,3.705061,0,9.971630e-06
187,3.724981,1,9.822356e-06
188,3.744901,1,9.619457e-06
189,3.764820,1,7.878519e-06
190,3.784740,0,9.353960e-06
191,3.804660,1,8.167674e-06
192,3.824579,0,9.672760e-06
193,3.844499,1,9.084533e-06
194,3.864419,1,9.160380e-06
195,3.884338,1,7.566777e-06
196,3.904258,0,9.090035e-06
197,3.924178,1,8.009229e-06
198,3.944097,0,9.614999e-06
199,3.964017,1,9.072946e-06
200,3.983937,0,9.975285e-06
201,4.003856,1,9.874879e-06
202,4.023776,1,9.682515e-06
203,4.043696,1,7.988425e-06
204,4.063616,0,9.435718e-06
205,4.083535,1,8.251618e-06
206,4.103455,0,9.688672e-06
207,4.123375,1,9.137223e-06
208,4.143294,1,9.170089e-06
209,4.163214,1,7.559820e-06
210,4.183134,0,9.082322e-06
211,4.203053,1,7.980769e-06
212,4.222973,0,9.527833e-06
213,4.242893,1,8.999291e-06
214,4.262812,0,9.870707e-06
215,4.282732,1,9.737280e-06
216,4.302652,1,9.486722e-06
217,4.322571,1,7.868306e-06
218,4.342491,0,9.331940e-06
219,4.362411,1,8.150448e-06
220,4.382330,0,9.604179e-06
221,4.402250,1,9.031696e-06
222,4.422170,0,9.932857e-06
223,4.442089,1,9.697413e-06
224,4.462009,1,9.438756e-06
225,4.481929,1,7.885715e-06
226,4.501849,0,9.351061e-06
227,4.521768,1,8.187159e-06
228,4.541688,0,9.678317e-06
229,4.561608,1,9.103900e-06
230,4.581527,1,9.138998e-06
231,4.601447,1,7.529066e-06
232,4.621367,0,9.070819e-06
233,4.641286,1,7.939887e-06
234,4.661206,0,9.565847e-06
235,4.681126,1,8.949430e-06
236,4.701045,0,9.891121e-06
237,4.720965,1,9.683708e-06
238,4.740885,1,9.425677e-06
239,4.760804,1,7.735715e-06
240,4.780724,0,9.243004e-06
241,4.800644,1,8.024701e-06
242,4.820563,0,9.572835e-06
243,4.840483,1,8.920415e-06
244,4.860403,0,9.889516e-06
245,4.880323,1,9.636351e-06
246,4.900242,1,9.431361e-06
247,4.920162,1,7.813236e-06
248,4.940082,0,9.320089e-06
249,4.960001,1,8.140576e-06
250,4.979921,0,9.689574e-06
251,4.999841,1,9.085169e-06
252,5.019760,1,9.147349e-06
253,5.039680,1,7.532433e-06
254,5.059600,0,9.082975e-06
255,5.079519,1,7.946943e-06
256,5.099439,0,9.600940e-06
257,5.119359,1,8.975047e-06
258,5.139278,0,9.929515e-06
259,5.159198,1,9.725544e-06
260,5.179118,1,9.477065e-06
261,5.199037,1,7.768265e-06
262,5.218957,0,9.275882e-06
263,5.238877,1,8.044389e-06
264,5.258797,0,9.571625e-06
265,5.278716,1,8.929872e-06
266,5.298636,0,9.882202e-06
267,5.318556,1,9.627551e-06
268,5.338475,1,9.406341e-06
269,5.358395,1,7.816458e-06
270,5.378315,0,9.320723e-06
271,5.398234,1,8.137456e-06
272,5.418154,0,9.650649e-06
273,5.438074,1,9.069361e-06
274,5.457993,1,9.137653e-06
275,5.477913,1,7.525827e-06
276,5.497833,0,9.087522e-06
277,5.517752,1,7.945987e-06
278,5.537672,0,9.555460e-06
279,5.557592,1,8.959569e-06
280,5.577511,0,9.888465e-06
281,5.597431,1,9.680142e-06
282,5.617351,1,9.398436e-06
283,5.637271,1,7.750689e-06
284,5.657190,0,9.262681e-06
285,5.677110,1,8.029224e-06
286,5.697030,0,9.543459e-06
287,5.716949,1,8.903537e-06
288,5.736869,0,9.860075e-06
289,5.756789,1,9.573082e-06
290,5.776708,1,9.315737e-06
291,5.796628,1,7.755860e-06
292,5.816548,0,9.276772e-06
293,5.836467,1,8.080263e-06
294,5.856387,0,9.619576e-06
295,5.876307,1,9.007894e-06
296,5.896226,0,9.987877e-06
297,5.916146,1,9.736033e-06
298,5.936066,1,9.504319e-06
299,5.955985,1,7.884994e-06
300,5.975905,0,9.391294e-06
301,5.995825,1,8.158407e-06
302,6.015745,0,9.695717e-06
303,6.035664,1,9.048299e-06
304,6.055584,1,9.024622e-06
305,6.075504,1,7.417825e-06
306,6.095423,0,8.999907e-06
307,6.115343,1,7.822353e-06
308,6.135263,0,9.497119e-06
309,6.155182,1,8.823813e-06
310,6.175102,0,9.811596e-06
311,6.195022,1,9.544822e-06
312,6.214941,1,9.267922e-06
313,6.234861,1,7.588501e-06
314,6.254781,0,9.153088e-06
315,6.274700,1,7.902562e-06
316,6.294620,0,9.489673e-06
317,6.314540,1,8.807797e-06
318,6.334459,0,9.815770e-06
319,6.354379,1,9.527047e-06
320,6.374299,1,9.323701e-06
321,6.394219,1,7.734845e-06
322,6.414138,0,9.292151e-06
323,6.434058,1,8.086400e-06
324,6.453978,0,9.662296e-06
325,6.473897,1,9.040836e-06
326,6.493817,1,9.100782e-06
327,6.513737,1,7.498836e-06
328,6.533656,0,9.091280e-06
329,6.553576,1,7.918185e-06
330,6.573496,0,9.590127e-06
331,6.593415,1,8.940185e-06
332,6.613335,0,9.929468e-06
333,6.633255,1,9.668750e-06
334,6.653174,1,9.386313e-06
335,6.673094,1,7.706118e-06
336,6.693014,0,9.254581e-06
337,6.712933,1,7.979941e-06
338,6.732853,0,9.542385e-06
339,6.752773,1,8.856243e-06
340,6.772693,0,9.858014e-06
341,6.792612,1,9.533560e-06
342,6.812532,1,9.280136e-06
343,6.832452,1,7.710478e-06
344,6.852371,0,9.267881e-06
345,6.872291,1,8.040238e-06
346,6.892211,0,9.608057e-06
347,6.912130,1,8.971962e-06
348,6.932050,0,9.982786e-06
349,6.951970,1,9.698460e-06
350,6.971889,1,9.458398e-06
351,6.991809,1,7.850356e-06
352,7.011729,0,9.389183e-06
353,7.031648,1,8.127154e-06
354,7.051568,0,9.678763e-06
355,7.071488,1,9.016067e-06
356,7.091407,1,8.987107e-06
357,7.111327,1,7.393391e-06
358,7.131247,0,9.006524e-06
359,7.151166,1,7.802730e-06
360,7.171086,0,9.480523e-06
361,7.191006,1,8.799352e-06
362,7.210926,0,9.805533e-06
363,7.230845,1,9.503199e-06
364,7.250765,1,9.201373e-06
365,7.270685,1,7.557106e-06
366,7.290604,0,9.148989e-06
367,7.310524,1,7.870517e-06
368,7.330444,0,9.472205e-06
369,7.350363,1,8.768798e-06
370,7.370283,0,9.806557e-06
371,7.390203,1,9.468969e-06
372,7.410122,1,9.236516e-06
373,7.430042,1,7.674707e-06
374,7.449962,0,9.267473e-06
375,7.469881,1,8.030075e-06
376,7.489801,0,9.638411e-06
377,7.509721,1,8.982988e-06
378,7.529640,1,9.016520e-06
379,7.549560,1,7.434992e-06
380,7.569480,0,9.066805e-06
381,7.589400,1,7.863197e-06
382,7.609319,0,9.575383e-06
383,7.629239,1,8.888672e-06
384,7.649159,0,9.926765e-06
385,7.669078,1,9.614245e-06
386,7.688998,1,9.320610e-06
387,7.708918,1,7.644024e-06
388,7.728837,0,9.235464e-06
389,7.748757,1,7.924894e-06
390,7.768677,0,9.538653e-06
391,7.788596,1,8.807684e-06
392,7.808516,0,9.864173e-06
393,7.828436,1,9.489758e-06
394,7.848355,1,9.230840e-06
395,7.868275,1,7.655092e-06
396,7.888195,0,9.256554e-06
397,7.908114,1,7.990196e-06
398,7.928034,0,9.610291e-06
399,7.947954,1,8.928390e-06
400,7.967874,0,9.993699e-06
401,7.987793,1,9.660446e-06
402,8.007713,1,9.417120e-06
403,8.027633,1,7.800682e-06
404,8.047552,0,9.383900e-06
405,8.067472,1,8.080475e-06
406,8.087392,0,9.678942e-06
407,8.107311,1,8.974084e-06
408,8.127231,1,8.932736e-06
409,8.147151,1,7.350770e-06
410,8.167070,0,9.001267e-06
411,8.186990,1,7.764144e-06
412,8.206910,0,9.479727e-06
413,8.226829,1,8.766958e-06
414,8.246749,0,9.815160e-06
415,8.266669,1,9.468902e-06
416,8.286588,1,9.156061e-06
417,8.306508,1,7.520790e-06
418,8.326428,0,9.150341e-06
419,8.346348,1,7.835325e-06
420,8.366267,0,9.464725e-06
421,8.386187,1,8.733646e-06
422,8.406107,0,9.809405e-06
423,8.426026,1,9.424202e-06
424,8.445946,1,9.173892e-06
425,8.465866,1,7.632128e-06
426,8.485785,0,9.264086e-06
427,8.505705,1,7.988289e-06
428,8.525625,0,9.625027e-06
429,8.545544,1,8.938619e-06
430,8.565464,1,8.952276e-06
431,8.585384,1,7.386816e-06
432,8.605303,0,9.061162e-06
433,8.625223,1,7.818965e-06
434,8.645143,0,9.558948e-06
435,8.665062,1,8.841445e-06
436,8.684982,0,9.921510e-06
437,8.704902,1,9.552813e-06
438,8.724822,1,9.236290e-06
439,8.744741,1,7.582922e-06
440,8.764661,0,9.218779e-06
441,8.784581,1,7.868074e-06
442,8.804500,0,9.522153e-06
443,8.824420,1,8.751859e-06
444,8.844340,0,9.859153e-06
445,8.864259,1,9.426055e-06
446,8.884179,1,9.147540e-06
447,8.904099,1,7.586708e-06
448,8.924018,0,9.237177e-06
449,8.943938,1,7.928046e-06
450,8.963858,0,9.597635e-06
451,8.983777,1,8.870463e-06
452,9.003697,0,9.993710e-06
453,9.023617,1,9.599432e-06
454,9.043536,1,9.341348e-06
455,9.063456,1,7.732081e-06
456,9.083376,0,9.368868e-06
457,9.103296,1,8.017413e-06
