timestep,t,sor_iters,residual
1,0.050000,3,1.053176e-03
2,0.039839,1,9.350416e-06
3,0.059759,1,9.782593e-06
4,0.079679,1,9.212816e-06
5,0.099598,1,9.803753e-06
6,0.119518,1,9.842034e-06
7,0.139438,1,9.778858e-06
8,0.159357,1,9.351036e-06
9,0.179277,1,8.481061e-06
10,0.199197,0,9.167576e-06
11,0.219117,1,7.394641e-06
12,0.239036,0,7.540269e-06
13,0.258956,1,5.659633e-06
14,0.278876,0,5.922651e-06
15,0.298795,1,4.134799e-06
16,0.318715,0,5.011353e-06
17,0.338635,0,9.367499e-06
18,0.358554,1,3.390568e-06
19,0.378474,0,3.963666e-06
20,0.398394,0,6.716623e-06
21,0.418313,1,4.276807e-06
22,0.438233,0,5.052149e-06
23,0.458153,0,9.224467e-06
24,0.478072,1,4.844354e-06
25,0.497992,0,6.139761e-06
26,0.517912,0,8.982231e-06
27,0.537831,1,4.325831e-06
28,0.557751,0,4.913760e-06
29,0.577671,1,3.975660e-06
30,0.597591,0,7.229241e-06
31,0.617510,1,2.703321e-06
32,0.637430,0,4.475883e-06
33,0.657350,0,9.928121e-06
34,0.677269,1,2.979476e-06
35,0.697189,0,6.671275e-06
36,0.717109,1,3.101282e-06
37,0.737028,0,7.377167e-06
38,0.756948,1,3.094044e-06
39,0.776868,0,7.140711e-06
40,0.796787,1,2.930161e-06
41,0.816707,0,6.507553e-06
42,0.836627,1,2.517241e-06
43,0.856546,0,7.230610e-06
44,0.876466,1,2.282503e-06
45,0.896386,0,5.406096e-06
46,0.916305,1,2.312433e-06
47,0.936225,0,7.250255e-06
48,0.956145,1,2.179413e-06
49,0.976065,0,4.694127e-06
50,0.995984,0,9.707630e-06
51,1.015904,1,3.175030e-06
52,1.035824,0,8.483891e-06
53,1.055743,1,2.555957e-06
54,1.075663,0,6.027997e-06
55,1.095583,1,2.919465e-06
56,1.115502,0,8.474827e-06
57,1.135422,1,2.163479e-06
58,1.155342,0,5.389364e-06
59,1.175261,1,2.290030e-06
60,1.195181,0,7.425411e-06
61,1.215101,1,2.139107e-06
62,1.235020,0,5.291943e-06
63,1.254940,1,2.094752e-06
64,1.274860,0,6.446929e-06
65,1.294779,1,2.262978e-06
66,1.314699,0,5.189857e-06
67,1.334619,1,2.025691e-06
68,1.354539,0,5.788634e-06
69,1.374458,1,2.167177e-06
70,1.394378,0,4.901261e-06
71,1.414298,0,9.930161e-06
72,1.434217,1,2.317222e-06
73,1.454137,0,5.798837e-06
74,1.474057,1,2.214764e-06
75,1.493976,0,5.791299e-06
76,1.513896,1,2.298515e-06
77,1.533816,0,6.376058e-06
78,1.553735,1,2.051747e-06
79,1.573655,0,4.927399e-06
80,1.593575,1,2.058296e-06
81,1.613494,0,6.148021e-06
82,1.633414,1,1.932351e-06
83,1.653334,0,4.694881e-06
84,1.673253,0,9.859477e-06
85,1.693173,1,2.299902e-06
86,1.713093,0,6.263330e-06
87,1.733012,1,2.114980e-06
88,1.752932,0,6.024982e-06
89,1.772852,1,2.186663e-06
90,1.792772,0,6.666558e-06
91,1.812691,1,1.940302e-06
92,1.832611,0,5.197299e-06
93,1.852531,1,1.951743e-06
94,1.872450,0,6.418512e-06
95,1.892370,1,1.903709e-06
96,1.912290,0,4.837364e-06
97,1.932209,0,9.993314e-06
98,1.952129,1,2.460066e-06
99,1.972049,0,7.017612e-06
100,1.991968,1,2.202873e-06
101,2.011888,0,6.161255e-06
102,2.031808,1,2.517179e-06
103,2.051727,0,7.544419e-06
104,2.071647,1,2.105097e-06
105,2.091567,0,5.241954e-06
106,2.111486,1,2.350864e-06
107,2.131406,0,7.244158e-06
108,2.151326,1,2.109001e-06
109,2.171246,0,4.866243e-06
110,2.191165,0,9.983366e-06
111,2.211085,1,2.831918e-06
112,2.231005,0,7.988663e-06
113,2.250924,1,2.407321e-06
114,2.270844,0,6.392381e-06
115,2.290764,1,2.772061e-06
116,2.310683,0,8.237267e-06
117,2.330603,1,2.262141e-06
118,2.350523,0,5.495441e-06
119,2.370442,1,2.473719e-06
