timestep,t,sor_iters,residual
1,0.050000,8,1.053711e-03
2,0.039839,1,9.647400e-06
3,0.059759,1,9.533589e-06
4,0.079679,1,9.454953e-06
5,0.099598,1,9.865247e-06
6,0.119518,1,8.622531e-06
7,0.139438,0,9.894809e-06
8,0.159357,1,9.591334e-06
9,0.179277,1,8.486095e-06
10,0.199197,0,9.734578e-06
11,0.219117,1,8.338471e-06
12,0.239036,0,8.701927e-06
13,0.258956,1,7.170979e-06
14,0.278876,0,8.791908e-06
15,0.298795,1,6.105761e-06
16,0.318715,0,6.628458e-06
17,0.338635,1,6.186691e-06
18,0.358554,0,7.684752e-06
19,0.378474,1,6.436788e-06
20,0.398394,0,7.648894e-06
21,0.418313,1,7.105724e-06
22,0.438233,0,8.816460e-06
23,0.458153,1,7.296116e-06
24,0.478072,0,8.864131e-06
25,0.497992,1,7.737245e-06
26,0.517912,1,7.384367e-06
27,0.537831,0,9.036943e-06
28,0.557751,1,6.426682e-06
29,0.577671,0,9.016212e-06
30,0.597591,1,6.269670e-06
31,0.617510,0,8.778588e-06
32,0.637430,1,6.585865e-06
33,0.657350,0,9.059717e-06
34,0.677269,1,6.482664e-06
35,0.697189,0,8.643429e-06
36,0.717109,1,6.655672e-06
37,0.737028,0,8.861787e-06
38,0.756948,1,6.671759e-06
39,0.776868,0,8.721589e-06
40,0.796787,1,6.914604e-06
41,0.816707,0,8.999526e-06
42,0.836627,1,6.939019e-06
43,0.856546,0,8.968747e-06
44,0.876466,1,6.991679e-06
45,0.896386,0,9.079629e-06
46,0.916305,1,6.864082e-06
47,0.936225,0,8.931118e-06
48,0.956145,1,6.744261e-06
49,0.976065,0,8.839465e-06
50,0.995984,1,6.575093e-06
51,1.015904,0,8.637005e-06
52,1.035824,1,6.422983e-06
53,1.055743,0,8.484830e-06
54,1.075663,1,6.306426e-06
55,1.095583,0,8.327468e-06
56,1.115502,1,6.191147e-06
57,1.135422,0,8.214460e-06
58,1.155342,1,6.144520e-06
59,1.175261,0,8.126025e-06
60,1.195181,1,6.082664e-06
61,1.215101,0,8.081848e-06
62,1.235020,1,6.087861e-06
63,1.254940,0,8.042576e-06
64,1.274860,1,6.064358e-06
65,1.294779,0,8.054701e-06
66,1.314699,1,6.079925e-06
67,1.334619,0,8.025245e-06
68,1.354539,1,6.058948e-06
69,1.374458,0,8.057459e-06
70,1.394378,1,6.041985e-06
71,1.414298,0,7.991879e-06
72,1.434217,1,5.997110e-06
73,1.454137,0,8.002986e-06
74,1.474057,1,5.935761e-06
75,1.493976,0,7.876269e-06
76,1.513896,1,5.876203e-06
77,1.533816,0,7.853874e-06
78,1.553735,1,5.803891e-06
79,1.573655,0,7.696164e-06
80,1.593575,1,5.768330e-06
81,1.613494,0,7.671395e-06
82,1.633414,1,5.732073e-06
83,1.653334,0,7.541436e-06
84,1.673253,1,5.742723e-06
85,1.693173,0,7.541068e-06
86,1.713093,1,5.748521e-06
87,1.733012,0,7.455368e-06
88,1.752932,1,5.779588e-06
89,1.772852,0,7.463871e-06
90,1.792772,1,5.789836e-06
91,1.812691,0,7.394417e-06
92,1.832611,1,5.798228e-06
93,1.852531,0,7.385007e-06
94,1.872450,1,5.780401e-06
95,1.892370,0,7.309220e-06
96,1.912290,1,5.750530e-06
97,1.932209,0,7.277351e-06
98,1.952129,1,5.706573e-06
99,1.972049,0,7.197121e-06
100,1.991968,1,5.656255e-06
101,2.011888,0,7.157132e-06
102,2.031808,1,5.610205e-06
103,2.051727,0,7.085098e-06
104,2.071647,1,5.566149e-06
105,2.091567,0,7.051742e-06
106,2.111486,1,5.537549e-06
107,2.131406,0,6.994897e-06
108,2.151326,1,5.511992e-06
109,2.171246,0,6.972165e-06
110,2.191165,1,5.501119e-06
111,2.211085,0,6.927396e-06
112,2.231005,1,5.486737e-06
113,2.250924,0,6.911327e-06
114,2.270844,1,5.479716e-06
115,2.290764,0,6.872890e-06
116,2.310683,1,5.463086e-06
117,2.330603,0,6.861960e-06
118,2.350523,1,5.449416e-06
119,2.370442,0,6.830486e-06
120,2.390362,1,5.427945e-06
121,2.410282,0,6.830459e-06
122,2.430201,1,5.411920e-06
123,2.450121,0,6.812891e-06
124,2.470041,1,5.396753e-06
125,2.489960,0,6.830884e-06
126,2.509880,1,5.391962e-06
127,2.529800,0,6.832089e-06
128,2.549720,1,5.395469e-06
129,2.569639,0,6.867396e-06
130,2.589559,1,5.409679e-06
131,2.609479,0,6.883050e-06
132,2.629398,1,5.431752e-06
133,2.649318,0,6.924919e-06
134,2.669238,1,5.458128e-06
135,2.689157,0,6.942877e-06
136,2.709077,1,5.485289e-06
137,2.728997,0,6.977239e-06
138,2.748916,1,5.508422e-06
139,2.768836,0,6.985824e-06
140,2.788756,1,5.525659e-06
141,2.808675,0,7.004252e-06
142,2.828595,1,5.534933e-06
143,2.848515,0,6.999352e-06
144,2.868434,1,5.537062e-06
145,2.888354,0,7.002438e-06
146,2.908274,1,5.533180e-06
147,2.928194,0,6.987560e-06
148,2.948113,1,5.525371e-06
149,2.968033,0,6.981354e-06
150,2.987953,1,5.515996e-06
151,3.007872,0,6.962556e-06
152,3.027792,1,5.506356e-06
153,3.047712,0,6.952966e-06
154,3.067631,1,5.498205e-06
155,3.087551,0,6.934253e-06
156,3.107471,1,5.491110e-06
157,3.127390,0,6.924044e-06
158,3.147310,1,5.485738e-06
159,3.167230,0,6.906313e-06
160,3.187149,1,5.480407e-06
161,3.207069,0,6.895888e-06
162,3.226989,1,5.475439e-06
163,3.246908,0,6.879052e-06
164,3.266828,1,5.469147e-06
165,3.286748,0,6.869192e-06
166,3.306668,1,5.462463e-06
167,3.326587,0,6.854706e-06
168,3.346507,1,5.454586e-06
169,3.366427,0,6.848113e-06
170,3.386346,1,5.447253e-06
171,3.406266,0,6.839155e-06
172,3.426186,1,5.440474e-06
173,3.446105,0,6.839238e-06
174,3.466025,1,5.436104e-06
175,3.485945,0,6.838476e-06
176,3.505864,1,5.434196e-06
177,3.525784,0,6.846678e-06
178,3.545704,1,5.435785e-06
179,3.565623,0,6.853829e-06
180,3.585543,1,5.440246e-06
181,3.605463,0,6.868041e-06
182,3.625382,1,5.447394e-06
183,3.645302,0,6.879472e-06
184,3.665222,1,5.455914e-06
185,3.685142,0,6.895003e-06
186,3.705061,1,5.464890e-06
187,3.724981,0,6.905751e-06
188,3.744901,1,5.472994e-06
189,3.764820,0,6.918013e-06
190,3.784740,1,5.479485e-06
191,3.804660,0,6.924463e-06
192,3.824579,1,5.483702e-06
193,3.844499,0,6.931144e-06
194,3.864419,1,5.485597e-06
195,3.884338,0,6.932313e-06
196,3.904258,1,5.485266e-06
197,3.924178,0,6.933641e-06
198,3.944097,1,5.483196e-06
199,3.964017,0,6.930565e-06
200,3.983937,1,5.479814e-06
201,4.003856,0,6.928092e-06
202,4.023776,1,5.475667e-06
203,4.043696,0,6.922394e-06
204,4.063616,1,5.471050e-06
205,4.083535,0,6.917659e-06
206,4.103455,1,5.466252e-06
207,4.123375,0,6.910568e-06
208,4.143294,1,5.461289e-06
209,4.163214,0,6.904597e-06
210,4.183134,1,5.456228e-06
211,4.203053,0,6.896932e-06
212,4.222973,1,5.450970e-06
213,4.242893,0,6.890573e-06
214,4.262812,1,5.445595e-06
215,4.282732,0,6.883251e-06
216,4.302652,1,5.440125e-06
217,4.322571,0,6.877651e-06
218,4.342491,1,5.434812e-06
219,4.362411,0,6.871954e-06
220,4.382330,1,5.429865e-06
221,4.402250,0,6.868511e-06
222,4.422170,1,5.425651e-06
223,4.442089,0,6.865731e-06
224,4.462009,1,5.422425e-06
225,4.481929,0,6.865498e-06
226,4.501849,1,5.420464e-06
227,4.521768,0,6.866238e-06
228,4.541688,1,5.419857e-06
229,4.561608,0,6.869292e-06
230,4.581527,1,5.420618e-06
231,4.601447,0,6.873025e-06
232,4.621367,1,5.422572e-06
233,4.641286,0,6.878319e-06
234,4.661206,1,5.425469e-06
235,4.681126,0,6.883577e-06
236,4.701045,1,5.428955e-06
237,4.720965,0,6.889424e-06
238,4.740885,1,5.432676e-06
239,4.760804,0,6.894474e-06
240,4.780724,1,5.436288e-06
241,4.800644,0,6.899296e-06
242,4.820563,1,5.439526e-06
243,4.840483,0,6.902832e-06
244,4.860403,1,5.442201e-06
245,4.880323,0,6.905694e-06
246,4.900242,1,5.444223e-06
247,4.920162,0,6.907147e-06
248,4.940082,1,5.445574e-06
249,4.960001,0,6.907837e-06
250,4.979921,1,5.446299e-06
251,4.999841,0,6.907267e-06
252,5.019760,1,5.446471e-06
253,5.039680,0,6.906060e-06
254,5.059600,1,5.446175e-06
255,5.079519,0,6.903867e-06
256,5.099439,1,5.445491e-06
257,5.119359,0,6.901248e-06
258,5.139278,1,5.444487e-06
259,5.159198,0,6.897953e-06
260,5.179118,1,5.443223e-06
261,5.199037,0,6.894486e-06
262,5.218957,1,5.441754e-06
263,5.238877,0,6.890679e-06
264,5.258797,1,5.440139e-06
265,5.278716,0,6.886995e-06
266,5.298636,1,5.438453e-06
267,5.318556,0,6.883339e-06
268,5.338475,1,5.436783e-06
269,5.358395,0,6.880129e-06
270,5.378315,1,5.435230e-06
271,5.398234,0,6.877298e-06
272,5.418154,1,5.433900e-06
273,5.438074,0,6.875188e-06
274,5.457993,1,5.432896e-06
275,5.477913,0,6.873703e-06
276,5.497833,1,5.432298e-06
277,5.517752,0,6.873066e-06
278,5.537672,1,5.432159e-06
279,5.557592,0,6.873109e-06
280,5.577511,1,5.432492e-06
281,5.597431,0,6.873920e-06
282,5.617351,1,5.433270e-06
283,5.637271,0,6.875255e-06
284,5.657190,1,5.434427e-06
285,5.677110,0,6.877096e-06
286,5.697030,1,5.435866e-06
287,5.716949,0,6.879164e-06
288,5.736869,1,5.437468e-06
289,5.756789,0,6.881393e-06
290,5.776708,1,5.439109e-06
291,5.796628,0,6.883521e-06
292,5.816548,1,5.440671e-06
293,5.836467,0,6.885493e-06
294,5.856387,1,5.442049e-06
295,5.876307,0,6.887111e-06
296,5.896226,1,5.443162e-06
297,5.916146,0,6.888362e-06
298,5.936066,1,5.443953e-06
299,5.955985,0,6.889126e-06
300,5.975905,1,5.444392e-06
301,5.995825,0,6.889441e-06
302,6.015745,1,5.444470e-06
303,6.035664,0,6.889253e-06
304,6.055584,1,5.444193e-06
305,6.075504,0,6.888640e-06
306,6.095423,1,5.443585e-06
307,6.115343,0,6.887600e-06
308,6.135263,1,5.442677e-06
309,6.155182,0,6.886235e-06
310,6.175102,1,5.441508e-06
311,6.195022,0,6.884577e-06
312,6.214941,1,5.440123e-06
313,6.234861,0,6.882744e-06
314,6.254781,1,5.438570e-06
315,6.274700,0,6.880789e-06
316,6.294620,1,5.436905e-06
317,6.314540,0,6.878832e-06
318,6.334459,1,5.435185e-06
319,6.354379,0,6.876936e-06
320,6.374299,1,5.433470e-06
321,6.394219,0,6.875208e-06
322,6.414138,1,5.431819e-06
323,6.434058,0,6.873699e-06
324,6.453978,1,5.430288e-06
325,6.473897,0,6.872489e-06
326,6.493817,1,5.428927e-06
327,6.513737,0,6.871600e-06
328,6.533656,1,5.427773e-06
329,6.553576,0,6.871067e-06
330,6.573496,1,5.426851e-06
331,6.593415,0,6.870872e-06
332,6.613335,1,5.426171e-06
333,6.633255,0,6.871006e-06
334,6.653174,1,5.425727e-06
335,6.673094,0,6.871410e-06
336,6.693014,1,5.425497e-06
337,6.712933,0,6.872038e-06
338,6.732853,1,5.425448e-06
339,6.752773,0,6.872810e-06
340,6.772693,1,5.425538e-06
341,6.792612,0,6.873662e-06
342,6.812532,1,5.425720e-06
343,6.832452,0,6.874513e-06
344,6.852371,1,5.425946e-06
345,6.872291,0,6.875300e-06
346,6.892211,1,5.426172e-06
347,6.912130,0,6.875959e-06
348,6.932050,1,5.426357e-06
349,6.951970,0,6.876448e-06
350,6.971889,1,5.426472e-06
351,6.991809,0,6.876725e-06
352,7.011729,1,5.426492e-06
353,7.031648,0,6.876777e-06
354,7.051568,1,5.426404e-06
355,7.071488,0,6.876591e-06
356,7.091407,1,5.426202e-06
357,7.111327,0,6.876176e-06
358,7.131247,1,5.425888e-06
359,7.151166,0,6.875546e-06
360,7.171086,1,5.425472e-06
361,7.191006,0,6.874731e-06
