timestep,t,sor_iters,residual
1,0.050000,9,1.053258e-03
2,0.039839,1,9.429889e-06
3,0.059759,1,9.096151e-06
4,0.079679,1,9.745760e-06
5,0.099598,1,9.887907e-06
6,0.119518,1,8.770843e-06
7,0.139438,1,9.805973e-06
8,0.159357,1,9.990264e-06
9,0.179277,1,9.583970e-06
10,0.199197,1,9.684436e-06
11,0.219117,1,8.555629e-06
12,0.239036,1,8.766524e-06
13,0.258956,1,8.746705e-06
14,0.278876,1,8.660813e-06
15,0.298795,1,8.517749e-06
16,0.318715,1,8.296532e-06
17,0.338635,1,8.012413e-06
18,0.358554,1,7.703485e-06
19,0.378474,1,7.339958e-06
20,0.398394,1,6.961520e-06
21,0.418313,1,6.544749e-06
22,0.438233,0,9.882855e-06
23,0.458153,1,7.428160e-06
24,0.478072,1,6.664002e-06
25,0.497992,0,9.892069e-06
26,0.517912,1,7.481133e-06
27,0.537831,1,6.780700e-06
28,0.557751,0,9.977981e-06
29,0.577671,1,7.619863e-06
30,0.597591,1,7.086701e-06
31,0.617510,1,6.579283e-06
32,0.637430,0,9.828079e-06
33,0.657350,1,7.535668e-06
34,0.677269,1,6.992278e-06
35,0.697189,1,6.461929e-06
36,0.717109,0,9.707452e-06
37,0.737028,1,7.383882e-06
38,0.756948,1,6.698019e-06
39,0.776868,0,9.905651e-06
40,0.796787,1,7.478690e-06
41,0.816707,1,6.705638e-06
42,0.836627,0,9.883170e-06
43,0.856546,1,7.422257e-06
44,0.876466,1,6.667946e-06
45,0.896386,0,9.834547e-06
46,0.916305,1,7.411607e-06
47,0.936225,1,6.673209e-06
48,0.956145,0,9.820238e-06
49,0.976065,1,7.386888e-06
50,0.995984,1,6.622479e-06
51,1.015904,0,9.744045e-06
52,1.035824,1,7.284382e-06
53,1.055743,1,6.505988e-06
54,1.075663,0,9.605369e-06
55,1.095583,1,7.155848e-06
56,1.115502,1,6.402538e-06
57,1.135422,0,9.496592e-06
58,1.155342,1,7.072276e-06
59,1.175261,1,6.342202e-06
60,1.195181,0,9.441287e-06
61,1.215101,1,7.027582e-06
62,1.235020,1,6.293525e-06
63,1.254940,0,9.399599e-06
64,1.274860,1,6.986231e-06
65,1.294779,1,6.229008e-06
66,1.314699,0,9.339361e-06
67,1.334619,1,6.929332e-06
68,1.354539,1,6.143464e-06
69,1.374458,0,9.255217e-06
70,1.394378,1,6.855227e-06
71,1.414298,1,6.043183e-06
72,1.434217,0,9.155132e-06
73,1.454137,1,6.772244e-06
74,1.474057,1,5.944064e-06
75,1.493976,0,9.056504e-06
76,1.513896,1,6.698179e-06
77,1.533816,1,5.869617e-06
78,1.553735,0,8.982856e-06
79,1.573655,1,6.652737e-06
80,1.593575,1,5.836803e-06
81,1.613494,0,8.950433e-06
82,1.633414,1,6.643244e-06
83,1.653334,0,9.999063e-06
84,1.673253,1,7.650111e-06
85,1.693173,1,6.517339e-06
86,1.713093,0,9.629431e-06
87,1.733012,1,7.091165e-06
88,1.752932,1,6.210734e-06
89,1.772852,0,9.309249e-06
90,1.792772,1,6.889279e-06
91,1.812691,1,6.026442e-06
92,1.832611,0,9.126109e-06
93,1.852531,1,6.736369e-06
94,1.872450,1,5.851012e-06
95,1.892370,0,8.942771e-06
96,1.912290,1,6.563604e-06
97,1.932209,0,9.884783e-06
98,1.952129,1,7.469550e-06
99,1.972049,1,6.275556e-06
100,1.991968,0,9.359653e-06
101,2.011888,1,6.832426e-06
102,2.031808,1,5.977683e-06
103,2.051727,0,9.045597e-06
104,2.071647,1,6.703237e-06
105,2.091567,1,5.932662e-06
106,2.111486,0,9.012525e-06
107,2.131406,1,6.689496e-06
108,2.151326,1,5.893725e-06
109,2.171246,0,8.976751e-06
110,2.191165,1,6.614269e-06
111,2.211085,0,9.951663e-06
112,2.231005,1,7.524554e-06
113,2.250924,1,6.322510e-06
114,2.270844,0,9.409452e-06
115,2.290764,1,6.843699e-06
116,2.310683,1,5.938837e-06
117,2.330603,0,9.009412e-06
118,2.350523,1,6.634954e-06
119,2.370442,0,9.990568e-06
120,2.390362,1,7.570836e-06
121,2.410282,1,6.394372e-06
122,2.430201,0,9.484330e-06
123,2.450121,1,6.921199e-06
124,2.470041,1,5.964037e-06
125,2.489960,0,9.037397e-06
126,2.509880,1,6.614819e-06
127,2.529800,0,9.961142e-06
128,2.549720,1,7.503490e-06
129,2.569639,1,6.287337e-06
130,2.589559,0,9.372391e-06
131,2.609479,1,6.823352e-06
132,2.629398,1,5.867587e-06
133,2.649318,0,8.943685e-06
134,2.669238,1,6.558563e-06
135,2.689157,0,9.886067e-06
136,2.709077,1,7.474245e-06
137,2.728997,1,6.286625e-06
138,2.748916,0,9.370974e-06
139,2.768836,1,6.844344e-06
140,2.788756,1,5.908093e-06
141,2.808675,0,8.980133e-06
142,2.828595,1,6.597613e-06
143,2.848515,0,9.928019e-06
144,2.868434,1,7.511244e-06
