timestep,t,sor_iters,residual
1,0.050000,100,9.512872e-03
2,0.039839,100,1.095710e-02
3,0.059759,100,4.161294e-03
4,0.079679,100,1.297264e-03
5,0.099598,100,3.604916e-03
6,0.119518,100,3.237780e-03
7,0.139438,100,1.623966e-03
8,0.159357,100,6.222507e-05
9,0.179277,100,7.864624e-04
10,0.199197,100,8.868922e-04
11,0.219117,100,5.491578e-04
12,0.239036,100,1.291410e-04
13,0.258956,100,1.495100e-04
14,0.278876,100,2.311030e-04
15,0.298795,100,1.729169e-04
16,0.318715,100,6.658247e-05
17,0.338635,100,1.844221e-05
18,0.358554,100,5.491098e-05
19,0.378474,100,4.979787e-05
20,0.398394,100,2.504618e-05
21,0.418313,1,3.648628e-06
22,0.438233,100,1.167406e-05
23,0.458153,100,1.362576e-05
24,0.478072,79,9.954520e-06
25,0.497992,1,7.341624e-06
26,0.517912,1,5.254024e-06
27,0.537831,1,4.016470e-06
28,0.557751,1,4.316597e-06
29,0.577671,1,5.888792e-06
30,0.597591,1,8.098072e-06
31,0.617510,2,9.764063e-06
32,0.637430,8,9.886499e-06
33,0.657350,5,9.942292e-06
34,0.677269,3,9.849894e-06
35,0.697189,9,9.993800e-06
36,0.717109,4,9.974568e-06
37,0.737028,2,9.858290e-06
38,0.756948,1,9.819052e-06
39,0.776868,1,9.593403e-06
40,0.796787,1,9.417798e-06
41,0.816707,1,9.574426e-06
42,0.836627,2,9.096438e-06
43,0.856546,2,9.600728e-06
44,0.876466,3,8.478333e-06
45,0.896386,2,8.110907e-06
46,0.916305,2,8.465461e-06
47,0.936225,1,8.873119e-06
48,0.956145,2,7.453774e-06
49,0.976065,2,8.936580e-06
50,0.995984,2,9.539299e-06
51,1.015904,3,8.411256e-06
52,1.035824,2,9.241674e-06
53,1.055743,3,8.451882e-06
54,1.075663,3,9.024264e-06
55,1.095583,3,9.434207e-06
56,1.115502,3,9.581559e-06
57,1.135422,3,9.586579e-06
58,1.155342,3,9.550838e-06
59,1.175261,3,9.668664e-06
60,1.195181,3,9.772327e-06
61,1.215101,3,9.797706e-06
62,1.235020,3,9.617625e-06
63,1.254940,3,9.123480e-06
64,1.274860,2,9.194663e-06
65,1.294779,2,9.064227e-06
66,1.314699,2,8.943192e-06
67,1.334619,2,8.837849e-06
68,1.354539,2,9.213496e-06
69,1.374458,2,9.922448e-06
70,1.394378,3,8.553520e-06
71,1.414298,2,9.910206e-06
72,1.434217,3,7.295533e-06
73,1.454137,2,9.084964e-06
74,1.474057,2,8.828010e-06
75,1.493976,2,9.574825e-06
76,1.513896,3,7.490398e-06
77,1.533816,2,9.184780e-06
78,1.553735,2,9.779585e-06
79,1.573655,3,7.490196e-06
80,1.593575,2,8.636801e-06
81,1.613494,2,8.388283e-06
82,1.633414,2,9.712422e-06
83,1.653334,3,8.397371e-06
84,1.673253,3,8.004435e-06
85,1.693173,2,9.936889e-06
86,1.713093,3,8.681419e-06
87,1.733012,3,8.014697e-06
88,1.752932,2,9.856549e-06
89,1.772852,3,8.893885e-06
90,1.792772,3,8.604466e-06
91,1.812691,3,7.942756e-06
92,1.832611,2,9.269690e-06
93,1.852531,2,9.488303e-06
94,1.872450,3,8.192725e-06
95,1.892370,2,9.621345e-06
96,1.912290,3,7.987076e-06
97,1.932209,3,7.583840e-06
98,1.952129,2,9.414512e-06
99,1.972049,2,9.562174e-06
100,1.991968,3,7.525737e-06
101,2.011888,2,9.071347e-06
102,2.031808,2,9.354495e-06
103,2.051727,3,7.594212e-06
104,2.071647,2,9.654684e-06
105,2.091567,3,8.111154e-06
106,2.111486,3,8.142915e-06
107,2.131406,3,7.656392e-06
108,2.151326,2,9.653977e-06
109,2.171246,3,7.435529e-06
110,2.191165,2,9.678712e-06
111,2.211085,2,9.612241e-06
112,2.231005,3,7.702511e-06
113,2.250924,2,8.940206e-06
114,2.270844,2,9.878450e-06
115,2.290764,3,9.094619e-06
116,2.310683,3,9.122934e-06
117,2.330603,3,8.896997e-06
118,2.350523,3,8.430305e-06
119,2.370442,3,7.696307e-06
120,2.390362,2,9.198582e-06
121,2.410282,2,8.696147e-06
122,2.430201,2,9.207660e-06
123,2.450121,2,9.597725e-06
124,2.470041,2,9.725971e-06
125,2.489960,3,7.863960e-06
126,2.509880,3,7.517223e-06
127,2.529800,2,9.995084e-06
128,2.549720,3,8.132496e-06
129,2.569639,3,7.809170e-06
130,2.589559,3,7.212179e-06
131,2.609479,2,9.406540e-06
132,2.629398,3,7.590095e-06
133,2.649318,2,9.978011e-06
134,2.669238,3,7.419280e-06
135,2.689157,2,9.156037e-06
136,2.709077,2,9.038710e-06
137,2.728997,3,7.428767e-06
138,2.748916,2,9.647088e-06
139,2.768836,3,8.007675e-06
140,2.788756,3,7.954564e-06
141,2.808675,3,7.651194e-06
142,2.828595,2,9.433880e-06
143,2.848515,3,7.360416e-06
144,2.868434,2,9.533762e-06
145,2.888354,2,9.566737e-06
146,2.908274,3,7.284199e-06
147,2.928194,2,8.542663e-06
148,2.948113,2,8.164263e-06
149,2.968033,2,9.539024e-06
150,2.987953,3,8.051699e-06
151,3.007872,3,8.006423e-06
152,3.027792,3,8.045667e-06
153,3.047712,3,7.868592e-06
154,3.067631,3,7.284251e-06
155,3.087551,2,9.485691e-06
156,3.107471,3,7.464703e-06
157,3.127390,2,9.743722e-06
158,3.147310,2,9.657662e-06
159,3.167230,3,7.411488e-06
160,3.187149,2,9.019544e-06
161,3.207069,2,8.873599e-06
162,3.226989,2,9.409412e-06
163,3.246908,3,7.345577e-06
164,3.266828,2,9.534044e-06
165,3.286748,3,8.337065e-06
166,3.306668,3,8.557132e-06
167,3.326587,3,7.960040e-06
168,3.346507,3,7.151097e-06
169,3.366427,2,9.053562e-06
170,3.386346,2,8.821801e-06
171,3.406266,2,9.077294e-06
172,3.426186,2,9.788503e-06
173,3.446105,3,7.203725e-06
174,3.466025,2,8.557808e-06
175,3.485945,2,8.942135e-06
176,3.505864,3,7.393690e-06
177,3.525784,2,9.016758e-06
178,3.545704,2,9.165988e-06
179,3.565623,3,7.268698e-06
180,3.585543,2,8.331599e-06
181,3.605463,2,8.983783e-06
182,3.625382,3,7.985338e-06
