timestep,t,sor_iters,residual
1,0.050000,1000,2.370466e-05
2,0.039839,1000,3.437683e-05
3,0.059759,1000,3.945303e-05
4,0.079679,1000,4.170423e-05
5,0.099598,1000,4.266009e-05
6,0.119518,1000,4.307114e-05
7,0.139438,1000,4.324797e-05
8,0.159357,1000,4.332404e-05
9,0.179277,1000,4.335677e-05
10,0.199197,1000,4.337087e-05
11,0.219117,1000,4.337694e-05
12,0.239036,1000,4.337957e-05
13,0.258956,1000,4.338071e-05
14,0.278876,1000,4.338121e-05
15,0.298795,1000,4.338144e-05
16,0.318715,1000,4.338154e-05
17,0.338635,1000,4.338160e-05
18,0.358554,1000,4.338163e-05
19,0.378474,1000,4.338165e-05
20,0.398394,1000,4.338167e-05
21,0.418313,1000,4.338168e-05
22,0.438233,1000,4.338170e-05
23,0.458153,1000,4.338171e-05
24,0.478072,1000,4.338172e-05
25,0.497992,1000,4.338173e-05
26,0.517912,1000,4.338175e-05
27,0.537831,1000,4.338176e-05
28,0.557751,1000,4.338177e-05
29,0.577671,1000,4.338178e-05
30,0.597591,1000,4.338179e-05
31,0.617510,1000,4.338180e-05
32,0.637430,1000,4.338181e-05
33,0.657350,1000,4.338182e-05
34,0.677269,1000,4.338184e-05
35,0.697189,1000,4.338185e-05
36,0.717109,1000,4.338186e-05
37,0.737028,1000,4.338187e-05
38,0.756948,1000,4.338188e-05
39,0.776868,1000,4.338189e-05
40,0.796787,1000,4.338190e-05
41,0.816707,1000,4.338191e-05
42,0.836627,1000,4.338192e-05
43,0.856546,1000,4.338193e-05
44,0.876466,1000,4.338194e-05
45,0.896386,1000,4.338194e-05
46,0.916305,1000,4.338195e-05
47,0.936225,1000,4.338196e-05
48,0.956145,1000,4.338197e-05
49,0.976065,1000,4.338198e-05
50,0.995984,1000,4.338199e-05
51,1.015904,1000,4.338200e-05
52,1.035824,1000,4.338201e-05
53,1.055743,1000,4.338202e-05
54,1.075663,1000,4.338203e-05
55,1.095583,1000,4.338204e-05
56,1.115502,1000,4.338205e-05
57,1.135422,1000,4.338206e-05
58,1.155342,1000,4.338206e-05
59,1.175261,1000,4.338207e-05
60,1.195181,1000,4.338208e-05
61,1.215101,1000,4.338209e-05
62,1.235020,1000,4.338210e-05
63,1.254940,1000,4.338211e-05
64,1.274860,1000,4.338212e-05
65,1.294779,1000,4.338213e-05
66,1.314699,1000,4.338214e-05
67,1.334619,1000,4.338214e-05
68,1.354539,1000,4.338215e-05
69,1.374458,1000,4.338216e-05
70,1.394378,1000,4.338217e-05
71,1.414298,1000,4.338218e-05
72,1.434217,1000,4.338219e-05
73,1.454137,1000,4.338220e-05
74,1.474057,1000,4.338221e-05
75,1.493976,1000,4.338221e-05
76,1.513896,1000,4.338222e-05
77,1.533816,1000,4.338223e-05
78,1.553735,1000,4.338224e-05
79,1.573655,1000,4.338225e-05
80,1.593575,1000,4.338226e-05
81,1.613494,1000,4.338227e-05
82,1.633414,1000,4.338227e-05
83,1.653334,1000,4.338228e-05
84,1.673253,1000,4.338229e-05
85,1.693173,1000,4.338230e-05
86,1.713093,1000,4.338231e-05
87,1.733012,1000,4.338232e-05
88,1.752932,1000,4.338233e-05
89,1.772852,1000,4.338233e-05
90,1.792772,1000,4.338234e-05
91,1.812691,1000,4.338235e-05
92,1.832611,1000,4.338236e-05
93,1.852531,1000,4.338237e-05
94,1.872450,1000,4.338238e-05
95,1.892370,1000,4.338239e-05
96,1.912290,1000,4.338239e-05
97,1.932209,1000,4.338240e-05
98,1.952129,1000,4.338241e-05
99,1.972049,1000,4.338242e-05
100,1.991968,1000,4.338243e-05
101,2.011888,1000,4.338244e-05
102,2.031808,1000,4.338245e-05
103,2.051727,1000,4.338245e-05
104,2.071647,1000,4.338246e-05
105,2.091567,1000,4.338247e-05
106,2.111486,1000,4.338248e-05
107,2.131406,1000,4.338249e-05
108,2.151326,1000,4.338250e-05
109,2.171246,1000,4.338250e-05
110,2.191165,1000,4.338251e-05
111,2.211085,1000,4.338252e-05
112,2.231005,1000,4.338253e-05
113,2.250924,1000,4.338254e-05
114,2.270844,1000,4.338255e-05
115,2.290764,1000,4.338256e-05
116,2.310683,1000,4.338256e-05
117,2.330603,1000,4.338257e-05
118,2.350523,1000,4.338258e-05
119,2.370442,1000,4.338259e-05
120,2.390362,1000,4.338260e-05
121,2.410282,1000,4.338261e-05
122,2.430201,1000,4.338261e-05
123,2.450121,1000,4.338262e-05
124,2.470041,1000,4.338263e-05
125,2.489960,1000,4.338264e-05
126,2.509880,1000,4.338265e-05
127,2.529800,1000,4.338266e-05
128,2.549720,1000,4.338267e-05
129,2.569639,1000,4.338267e-05
130,2.589559,1000,4.338268e-05
131,2.609479,1000,4.338269e-05
132,2.629398,1000,4.338270e-05
133,2.649318,1000,4.338271e-05
134,2.669238,1000,4.338272e-05
135,2.689157,1000,4.338272e-05
136,2.709077,1000,4.338273e-05
137,2.728997,1000,4.338274e-05
138,2.748916,1000,4.338275e-05
139,2.768836,1000,4.338276e-05
140,2.788756,1000,4.338277e-05
141,2.808675,1000,4.338277e-05
142,2.828595,1000,4.338278e-05
143,2.848515,1000,4.338279e-05
144,2.868434,1000,4.338280e-05
145,2.888354,1000,4.338281e-05
146,2.908274,1000,4.338282e-05
147,2.928194,1000,4.338283e-05
148,2.948113,1000,4.338283e-05
149,2.968033,1000,4.338284e-05
150,2.987953,1000,4.338285e-05
151,3.007872,1000,4.338286e-05
